x-coord,y-coord,radius,Velocity_Magnitude
0.006,0.006,0.008485281,1.429086203
0.0063,0.0063,0.008909545,1.304956016
0.0066,0.0066,0.00933381,1.367788527
0.0069,0.0069,0.009758074,1.365288274
0.0072,0.0072,0.010182338,1.363162668
0.0075,0.0075,0.010606602,1.395536198
0.0078,0.0078,0.011030866,1.503998937
0.0081,0.0081,0.01145513,1.766673574
0.0084,0.0084,0.011879394,2.131084059
0.0087,0.0087,0.012303658,2.564652634
0.009,0.009,0.012727922,2.9573649
0.0093,0.0093,0.013152186,3.313595391
0.0096,0.0096,0.01357645,3.610486085
0.0099,0.0099,0.014000714,3.821313116
0.0102,0.0102,0.014424978,3.910514019
0.0105,0.0105,0.014849242,3.976263163
0.0108,0.0108,0.015273506,4.05031181
0.0111,0.0111,0.015697771,4.175811106
0.0114,0.0114,0.016122035,4.338112394
0.0117,0.0117,0.016546299,4.565736372
0.012,0.012,0.016970563,4.794594996
0.0123,0.0123,0.017394827,4.987590166
0.0126,0.0126,0.017819091,5.179486734
0.0129,0.0129,0.018243355,5.34828983
0.0132,0.0132,0.018667619,5.556650452
0.0135,0.0135,0.019091883,5.721097751
0.0138,0.0138,0.019516147,5.866459835
0.0141,0.0141,0.019940411,5.971336071
0.0144,0.0144,0.020364675,6.013008044
0.0147,0.0147,0.020788939,6.125078276
0.015,0.015,0.021213203,6.274260795
0.0153,0.0153,0.021637468,6.40723831
0.0156,0.0156,0.022061732,6.39907134
0.0159,0.0159,0.022485996,6.551348589
0.0162,0.0162,0.02291026,6.702272034
0.0165,0.0165,0.023334524,6.849695643
0.0168,0.0168,0.023758788,7.020861637
0.0171,0.0171,0.024183052,7.16965677
0.0174,0.0174,0.024607316,7.317306884
0.0177,0.0177,0.02503158,7.444685165
0.018,0.018,0.025455844,7.514078225
0.0183,0.0183,0.025880108,7.479776027
0.0186,0.0186,0.026304372,7.249534935
0.0189,0.0189,0.026728636,6.987652804
0.0192,0.0192,0.0271529,6.696612744
0.0195,0.0195,0.027577164,6.470819547
0.0198,0.0198,0.028001429,6.36717822
0.0201,0.0201,0.028425693,6.338974905
0.0204,0.0204,0.028849957,6.350509296
0.0207,0.0207,0.029274221,6.098506782
0.021,0.021,0.029698485,4.525339649
