x-coord,y-coord,radius,Velocity_Magnitude
0.0075,-0.0075,0.010606602,2.388529604
0.0078,-0.0078,0.011030866,2.782821263
0.0081,-0.0081,0.01145513,3.048730881
0.0084,-0.0084,0.011879394,3.300982443
0.0087,-0.0087,0.012303658,3.5220561
0.009,-0.009,0.012727922,3.751692116
0.0093,-0.0093,0.013152186,4.034038335
0.0096,-0.0096,0.01357645,4.36277436
0.0099,-0.0099,0.014000714,4.670491803
0.0102,-0.0102,0.014424978,4.891481049
0.0105,-0.0105,0.014849242,5.127681626
0.0108,-0.0108,0.015273506,5.296215065
0.0111,-0.0111,0.015697771,5.445017601
0.0114,-0.0114,0.016122035,5.571099213
0.0117,-0.0117,0.016546299,5.685633719
0.012,-0.012,0.016970563,5.820896966
0.0123,-0.0123,0.017394827,5.940701689
0.0126,-0.0126,0.017819091,6.059609815
0.0129,-0.0129,0.018243355,6.165522533
0.0132,-0.0132,0.018667619,6.272161984
0.0135,-0.0135,0.019091883,6.398504795
0.0138,-0.0138,0.019516147,6.529746582
0.0141,-0.0141,0.019940411,6.663091559
0.0144,-0.0144,0.020364675,6.803802676
0.0147,-0.0147,0.020788939,6.942890342
0.015,-0.015,0.021213203,7.090152623
0.0153,-0.0153,0.021637468,7.240952375
0.0156,-0.0156,0.022061732,7.397010836
0.0159,-0.0159,0.022485996,7.539178199
0.0162,-0.0162,0.02291026,7.633240036
0.0165,-0.0165,0.023334524,7.715486218
0.0168,-0.0168,0.023758788,7.76341337
0.0171,-0.0171,0.024183052,7.76445379
0.0174,-0.0174,0.024607316,7.714246068
0.0177,-0.0177,0.02503158,7.544122707
0.018,-0.018,0.025455844,7.320170107
0.0183,-0.0183,0.025880108,7.049112858
0.0186,-0.0186,0.026304372,6.716155032
0.0189,-0.0189,0.026728636,6.353321145
0.0192,-0.0192,0.0271529,6.218657845
0.0195,-0.0195,0.027577164,6.179327491
0.0198,-0.0198,0.028001429,6.242483333
0.0201,-0.0201,0.028425693,6.310694927
0.0204,-0.0204,0.028849957,6.34820787
0.0207,-0.0207,0.029274221,6.432506486
0.021,-0.021,0.029698485,5.761625565
0.0213,-0.0213,0.030122749,0
