index Bins bin_centres Counts "Bin Variance" x-coordinate_bin_mean x-coordinate_std x-coordinate_sem y-coordinate_bin_mean y-coordinate_std y-coordinate_sem z-coordinate_bin_mean z-coordinate_std z-coordinate_sem velocity-magnitude_bin_mean velocity-magnitude_std velocity-magnitude_sem
0 "(0.969, 1.969]" 1.469 34 0.0 0.019999997249411768 9.340741954647303e-09 1.6019240294032849e-09 -0.028134888365294118 0.001906718653120769 0.00032699955127504196 0.006562000031352941 2.0064168032060637e-10 3.440976429559955e-11 2.3960068800088234 0.9946881363059044 0.17058760803450157
1 "(1.969, 2.938]" 2.4535 34 0.0 0.019999988047058825 1.808826901625608e-08 3.102112543964998e-09 -0.028180381887941173 0.0018250730500697454 0.0003129974458686845 0.006562000127294117 7.991834067961496e-11 1.3705882353490972e-11 2.503286468229412 0.9514186852532492 0.1631669583990782
2 "(2.938, 3.906]" 3.422 34 0.0 0.019999982404411767 2.4580187167757822e-08 4.215467321808518e-09 -0.028176062190588238 0.0017332614202073633 0.0002972518812476583 0.006562000195705882 1.5207126132112617e-10 2.6080006157409865e-11 2.624987510276471 0.8313372541427669 0.14257316286174282
3 "(3.906, 4.875]" 4.3905 34 0.0 0.01999999494764706 6.325329101192239e-09 1.084784991415206e-09 -0.028137314900588236 0.00165485760052928 0.0002838057371030986 0.006562000141 0.0 0.0 2.836507967352941 0.7599459724884433 0.13032965906651597
4 "(4.875, 5.844]" 5.359500000000001 34 0.0 0.01999999801617647 8.94365121556971e-09 1.5338235294782846e-09 -0.028114159975 0.001564122487756515 0.0002682447936398234 0.006562000141 0.0 0.0 2.9901214552058826 0.6890109008887314 0.11816439465018282
5 "(5.844, 6.812]" 6.328 34 0.0 0.019999998399705884 6.707309665263458e-09 1.1502941177053575e-09 -0.02809844204382353 0.001444939720046858 0.00024780511760424896 0.006562000141 0.0 0.0 3.084033406411765 0.6441549128807693 0.11047165617164798
6 "(6.812, 7.781]" 7.2965 34 0.0 0.01999999955 0.0 0.0 -0.028083047994411765 0.0013301544372640018 0.00022811960401180633 0.006562000127294117 7.99183406569083e-11 1.3705882349596814e-11 3.1451881338235292 0.6422547175119447 0.1101457753544002
7 "(7.781, 8.75]" 8.2655 34 0.0 0.01999999955 0.0 0.0 -0.02816397209117647 0.0012728515904035398 0.00021829224685059926 0.006562000127294117 7.99183406549147e-11 1.3705882349254914e-11 3.1224189305000003 0.7462423135480261 0.12797950094695892
8 "(8.75, 9.719]" 9.2345 34 0.0 0.019999998399705884 6.707309665326022e-09 1.1502941177160872e-09 -0.028100159293235293 0.0011721083740063776 0.00020101492777578034 0.006562000141 0.0 0.0 3.1909606740588234 0.6797848160455076 0.11658213415316518
9 "(9.719, 10.688]" 10.2035 34 0.0 0.01999999796147059 8.939672603488491e-09 1.5331412031355246e-09 -0.02808337083382353 0.001074476000019441 0.00018427111377291642 0.006562000141 0.0 0.0 3.1728872919411764 0.6273419530190911 0.10758825734331237
10 "(10.688, 11.656]" 11.172 34 0.0 0.019999999166470588 2.2363415500974748e-09 3.8352941173712196e-10 -0.028061184539117646 0.0009841207758177603 0.00016877532066209401 0.006562000141 0.0 0.0 3.1631590250294117 0.5955051851817189 0.10212829670369251
11 "(11.656, 12.625]" 12.1405 34 0.0 0.01999999955 0.0 0.0 -0.02792077303382353 0.0009196090146252548 0.0001577116448925279 0.006562000140970588 1.1459824043497682e-10 1.965343609441957e-11 3.2539874281764707 0.4640784580441555 0.07958879894968982
12 "(12.625, 13.594]" 13.1095 34 0.0 0.019999998399705884 6.707309665266475e-09 1.1502941177058749e-09 -0.027900908909117648 0.0008356925082895567 0.0001433200827858533 0.006562000141 0.0 0.0 3.3230407204705883 0.4372077838498781 0.07498051634354591
13 "(13.594, 14.562]" 14.078 34 0.0 0.01999999801617647 8.94365121563836e-09 1.5338235294900578e-09 -0.027879650978529413 0.0007637118716003745 0.0001309755054360016 0.006562000141 0.0 0.0 3.3872314433235293 0.5109401312916856 0.08762550960905179
14 "(14.562, 15.531]" 15.0465 34 0.0 0.019999999166470588 2.236341550002683e-09 3.8352941172086533e-10 -0.027737521949705884 0.0007061957131696126 0.00012111156564229356 0.006562000127294117 7.991834069288854e-11 1.3705882355767375e-11 3.445877692970588 0.4526601613966253 0.07763057722990094
15 "(15.531, 16.5]" 16.0155 34 0.0 0.019999998399705884 6.7073096654160455e-09 1.1502941177315262e-09 -0.02771726551941176 0.0006666132177062282 0.00011432322367391334 0.006562000141 0.0 0.0 3.4527235887941177 0.43663944956336903 0.07488304781752163
16 "(16.5, 17.469]" 16.9845 34 0.0 0.019999997632647062 9.153028745102491e-09 1.5697314795537903e-09 -0.027702482581470587 0.0008138019389582964 0.00013956588111757817 0.006562000141 0.0 0.0 3.3540388832941175 0.4789224774859401 0.08213452728178376
17 "(17.469, 18.438]" 17.9535 34 0.0 0.01999999648235294 1.1145457849473555e-08 1.9114302519501837e-09 -0.02768708727147059 0.0008128106595478791 0.0001393958781012107 0.006562000141 0.0 0.0 3.3493137714705883 0.4872350065857597 0.08356011426135876
18 "(18.438, 19.406]" 18.921999999999997 34 0.0 0.019999996865882354 1.1015501507102025e-08 1.8891429231031707e-09 -0.027718362782058824 0.0009066984976874199 0.00015549750950423082 0.006562000141 0.0 0.0 3.3102807629705886 0.5270567728654084 0.09038949083619419
