TA DIFFUSER 0.020,,,,TA DIFFUSER 0.025,,,,TA DIFFUSER 0.030,,,,TA DIFFUSER 0.035,,,,TA QUADRANT 1,,TA QUADRANT 2,
X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,radius,inst_Vmag,radius,inst_Vmag
0.02,-0.02918047,0.035376551,3.271660689,0.025,-0.029628456,0.038766707,1.593598762,,,,,0.035,-0.03082443,0.046638608,0.837586084,0.029248703,4.661347608,0.029248642,4.54535042
0.02,-0.029207651,0.035398984,3.209435404,0.025,-0.029667718,0.038796702,1.566468681,,,,,0.035,-0.030887852,0.046680539,0.822529464,0.029451781,4.693372692,0.029451795,4.477292413
0.02,-0.029234832,0.035421416,3.146399827,0.025,-0.02970698,0.038826698,1.5393386,,,,,0.035,-0.030951275,0.046722475,0.805422009,0.029654911,4.745949637,0.029654925,4.276302899
0.02,-0.029262013,0.035443849,3.08396514,0.025,-0.029746242,0.038856695,1.512193834,,,,,0.035,-0.031014698,0.046764549,0.785301758,0.029858028,4.015231185,0.02985803,3.185657093
0.02,-0.029289195,0.035466281,3.018944534,0.025,-0.029785503,0.038886749,1.484251589,,,,,0.035,-0.031078121,0.046806668,0.753709095,,,,
0.02,-0.029316376,0.035488743,2.946717054,0.025,-0.029824765,0.038916834,1.46297919,,,,,0.035,-0.031141544,0.046848781,0.722054925,,,,
0.02,-0.029343557,0.035511205,2.874933985,0.025,-0.029864027,0.038946917,1.441187075,,,,,0.035,-0.031204966,0.0468909,0.681672037,,,,
0.02,-0.029370738,0.035533666,2.803408432,0.025,-0.029903289,0.038977039,1.419694803,,,,,0.035,-0.031268389,0.046933195,0.638424251,,,,
0.02,-0.029397919,0.035556128,2.731180952,0.025,-0.02994255,0.039007176,1.396566708,,,,,0.035,-0.031331812,0.046975489,0.61073202,,,,
0.02,-0.029425101,0.035578604,2.659401718,0.025,-0.029981812,0.039037307,1.374196516,,,,,0.035,-0.031395235,0.047017789,0.582908364,,,,
0.02,-0.029452282,0.035601091,2.583315337,0.025,-0.030021074,0.039067476,1.340835222,,,,,0.035,-0.031458658,0.047060121,0.569723227,,,,
0.02,-0.029479463,0.035623581,2.511323299,0.025,-0.030060336,0.039097664,1.298406449,,,,,0.035,-0.031522081,0.047102594,0.555457058,,,,
0.02,-0.029506644,0.035646073,2.439197563,0.025,-0.030099597,0.039127842,1.270658191,,,,,0.035,-0.031585503,0.047145066,0.545089401,,,,
0.02,-0.029533826,0.035668584,2.371050764,0.025,-0.030138859,0.039158058,1.251310425,,,,,0.035,-0.031648926,0.047187511,0.535191236,,,,
0.02,-0.029561007,0.035691109,2.312000366,0.025,-0.030178121,0.039188296,1.217564637,,,,,0.035,-0.031712349,0.047230016,0.523295098,,,,
0.02,-0.029588188,0.035713624,2.251220481,0.025,-0.030217383,0.039218522,1.170043745,,,,,0.035,-0.031775772,0.047272628,0.50809355,,,,
0.02,-0.029615369,0.035736141,2.170202597,0.025,-0.030256644,0.039248783,1.119585682,,,,,0.035,-0.031839195,0.047315282,0.486310619,,,,
0.02,-0.02964255,0.035758662,2.103738649,0.025,-0.030295906,0.039279075,1.090117625,,,,,0.035,-0.031902617,0.047357982,0.458271748,,,,
0.02,-0.029669732,0.035781199,2.061052697,0.025,-0.030335168,0.039309347,1.049973085,,,,,0.035,-0.03196604,0.047400731,0.429793848,,,,
0.02,-0.029696913,0.035803741,2.021277484,0.025,-0.03037443,0.039339639,1.015653399,,,,,0.035,-0.032029463,0.047443519,0.403260117,,,,
0.02,-0.029724094,0.035826287,1.97441098,0.025,-0.030413691,0.039369958,0.975598236,,,,,0.035,-0.032092886,0.047486361,0.382603444,,,,
0.02,-0.029751275,0.035848828,1.938183056,0.025,-0.030452953,0.039400296,0.947765553,,,,,0.035,-0.032156309,0.047529246,0.371616279,,,,
0.02,-0.029778456,0.035871399,1.882936554,0.025,-0.030492215,0.03943065,0.925643787,,,,,0.035,-0.032219732,0.047572177,0.374451533,,,,
0.02,-0.029805638,0.03589398,1.815560876,0.025,-0.030531477,0.039461019,0.903632662,,,,,0.035,-0.032283154,0.047615168,0.378687514,,,,
0.02,-0.029832819,0.035916551,1.753664968,0.025,-0.030570738,0.039491403,0.856683368,,,,,0.035,-0.032346577,0.047658189,0.379613314,,,,
0.02,-0.02986,0.035939127,1.669606647,0.025,-0.03061,0.039521817,0.827859619,,,,,0.035,-0.03241,0.047701244,0.3698814,,,,
