TA DIFFUSER 0.020,,,,TA DIFFUSER 0.025,,,,TA DIFFUSER 0.030,,,,TA DIFFUSER 0.035,,,,TA QUADRANT 1,,TA QUADRANT 2,
X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,X,Y,radius,inst_Vmag,radius,inst_Vmag,radius,inst_Vmag
0.02,-0.026516711,0.033213501,3.214605401,0.025,-0.025780805,0.035911826,2.034734361,0.03,-0.028328711,0.041261808,2.487746702,0.035,-0.024608993,0.042785707,0.878564716,0.009344029,0.871574811,0.009344029,1.783018309
0.02,-0.026543893,0.033235206,3.219904116,0.025,-0.025820067,0.035940004,2.112860291,0.03,-0.028496148,0.041377073,2.446476485,0.035,-0.024672416,0.042822185,0.904203307,0.009546604,0.97183322,0.009546604,1.954173863
0.02,-0.026571074,0.033256929,3.227197482,0.025,-0.025859329,0.035968183,2.190986221,0.03,-0.028663584,0.041492731,2.373466201,0.035,-0.024735839,0.042858697,0.919456502,0.009749941,1.08669793,0.009749941,2.07090785
0.02,-0.026598255,0.033278651,3.234562859,0.025,-0.025898591,0.035996406,2.266744533,0.03,-0.02883102,0.041608143,2.196031466,0.035,-0.024799262,0.042895413,0.937831975,0.009953111,1.257944669,0.009953111,2.133182339
0.02,-0.026625436,0.033300373,3.241862644,0.025,-0.025937852,0.03602469,2.342545009,0.03,-0.028998456,0.041724325,2.06910182,0.035,-0.024862685,0.042932122,0.948620289,0.010155874,1.471217866,0.010155874,2.191158045
0.02,-0.026652617,0.033322105,3.25039421,0.025,-0.025977114,0.036053039,2.425778126,0.03,-0.029165893,0.041840924,1.890633219,0.035,-0.024926107,0.042968837,0.958483954,0.010359545,1.690058341,0.010359545,2.258447361
0.02,-0.026679799,0.03334388,3.259975931,0.025,-0.026016376,0.036081344,2.488957971,0.03,-0.029333329,0.041957799,1.715016907,0.035,-0.02498953,0.043005637,0.960136073,0.010562152,1.898539245,0.010562152,2.330268523
0.02,-0.02670698,0.033365655,3.266435957,0.025,-0.026055638,0.036109649,2.552137816,0.03,-0.029500765,0.04207497,1.560360821,0.035,-0.025052953,0.043042587,0.971851528,0.010765489,2.091208395,0.010765489,2.39215963
0.02,-0.026734161,0.03338743,3.272452596,0.025,-0.026094899,0.036137954,2.615317661,0.03,-0.029668201,0.04219258,1.44403964,0.035,-0.025116376,0.043079531,0.988475614,0.010968635,2.260033937,0.010968635,2.47337849
0.02,-0.026761342,0.033409205,3.278469235,0.025,-0.026134161,0.036166268,2.678250564,0.03,-0.029835638,0.042310523,1.364310394,0.035,-0.025179799,0.043116481,1.010083811,0.01117145,2.355819005,0.01117145,2.541961017
0.02,-0.026788523,0.03343098,3.284485874,0.025,-0.026173423,0.036194659,2.727324504,0.03,-0.030003074,0.042428658,1.273431226,0.035,-0.025243221,0.043153564,1.040922368,0.011375071,2.417613223,0.011375071,2.63279399
0.02,-0.026815705,0.033452755,3.290502513,0.025,-0.026212685,0.03622314,2.768838118,0.03,-0.03017051,0.042547256,1.157653585,0.035,-0.025306644,0.043190747,1.063838112,0.011577705,2.41516028,0.011577705,2.736190846
0.02,-0.026842886,0.03347453,3.296892906,0.025,-0.026251946,0.036251569,2.80088951,0.03,-0.030337946,0.04266622,1.052497733,0.035,-0.025370067,0.043227923,1.085422833,0.011781041,2.42786458,0.011781041,2.813477289
0.02,-0.026870067,0.033496305,3.303756223,0.025,-0.026291208,0.036279999,2.832930062,0.03,-0.030505383,0.042785365,0.935566546,0.035,-0.02543349,0.043265105,1.104691962,0.011984167,2.451941792,0.011984167,2.862730883
