index Bins bin_centres Counts "Bin Variance" x-coordinate_bin_mean x-coordinate_std x-coordinate_sem y-coordinate_bin_mean y-coordinate_std y-coordinate_sem z-coordinate_bin_mean z-coordinate_std z-coordinate_sem velocity-magnitude_bin_mean velocity-magnitude_std velocity-magnitude_sem
0 "(0.954, 1.979]" 1.4665 34 0.0 0.02500000037 0.0 0.0 -0.028863897877647062 0.002271414189399834 0.00038954431975469014 0.0065620001134117645 3.019492347769186e-10 5.178386654910477e-11 1.1001885097705881 0.9300417183767815 0.1595008388251257
1 "(1.979, 2.957]" 2.468 34 0.0 0.025000000535 5.383771904726878e-10 9.233092643906493e-11 -0.028785741340588235 0.0022393280790120765 0.00038404159722046335 0.006561999990235294 2.2128386481766922e-10 3.794986973109646e-11 1.1554131459617647 0.9416917839848985 0.16149880859373514
2 "(2.957, 3.936]" 3.4465 34 0.0 0.025000000425000002 3.207023540215914e-10 5.49999999665749e-11 -0.02886116493882353 0.0021062928273015784 0.0003612262397780354 0.006561999866882353 2.3279224246092998e-10 3.992354021420136e-11 1.2360429057058824 0.9254860493824761 0.15871954803822472
3 "(3.936, 4.915]" 4.4254999999999995 34 0.0 0.0250000007 7.236020998693588e-10 1.240967363337434e-10 -0.028759712407352943 0.0020652391164007675 0.00035418558644369674 0.006561999770941177 1.9125834363753656e-10 3.2800535330537273e-11 1.2524806218088234 0.8867541807263472 0.15207708736377312
4 "(4.915, 5.894]" 5.4045000000000005 34 0.0 0.0250000007 7.236021000956108e-10 1.2409673637254531e-10 -0.02865789704911765 0.0020249488633377146 0.00034727586504834955 0.006561999825764706 2.2128386515644272e-10 3.7949869789195636e-11 1.2997885851441175 0.8880353390555021 0.15229680420456673
5 "(5.894, 6.872]" 6.383 34 0.0 0.025000000589999998 6.115553937401653e-10 1.0488088476270825e-10 -0.028487886192058824 0.002101553431382646 0.00036041344008350834 0.006561999839441176 2.533969446195775e-10 4.34572174816922e-11 1.2881827838 0.8552960051867657 0.1466820547675702
6 "(6.872, 7.851]" 7.3614999999999995 34 0.0 0.025000000535 5.383771909985466e-10 9.233092652924898e-11 -0.02826522685264706 0.0021353073175581568 0.0003662021838056697 0.006561999866852942 2.5943857014673484e-10 4.4493347711560557e-11 1.3928584988676471 0.8966028286483139 0.1537661165479571
7 "(7.851, 8.83]" 8.3405 34 0.0 0.025000000535 5.383771906238906e-10 9.233092646499601e-11 -0.028166192364117645 0.0020565194898343807 0.00035269018282459033 0.00656199985317647 2.298639214537876e-10 3.942133730463335e-11 1.4507178481588234 0.8917477220838036 0.15293347264142748
8 "(8.83, 9.809]" 9.3195 34 0.0 0.025000000535 5.383771906817101e-10 9.233092647491197e-11 -0.028094684871176473 0.001978528691861069 0.00033931487131803217 0.006561999812058824 2.1552373705101582e-10 3.696201596887532e-11 1.5481125846000001 0.9170001362529979 0.15726422594287695
9 "(9.809, 10.787]" 10.298 34 0.0 0.025000000755 7.674959275193689e-10 1.3162446567220927e-10 -0.027707003932058823 0.0019652984545969927 0.0003370459043461434 0.006561999880529412 2.8529614978612046e-10 4.892788603492493e-11 1.624933143767647 0.955364726066921 0.16384369881553748
10 "(10.787, 11.766]" 11.2765 34 0.0 0.025000000755 7.674959275560267e-10 1.3162446567849603e-10 -0.027640297846764705 0.001877501447186026 0.00032198884179541625 0.00656199985317647 2.29863921418818e-10 3.942133729863611e-11 1.7797603173147059 0.98536424725531 0.16898857425429892
11 "(11.766, 12.745]" 12.2555 34 0.0 0.025000000865 8.374067110793132e-10 1.4361406613894387e-10 -0.027508849385882356 0.0018467975173469824 0.00031672316126970536 0.006561999853147059 2.5681264679698186e-10 4.404300557238524e-11 1.869542027420588 1.018818638890634 0.17472595508656036
12 "(12.745, 13.723]" 13.234 34 0.0 0.025000000535 5.383771907718388e-10 9.233092649036891e-11 -0.027447248427058823 0.001834012237252634 0.000314530503822874 0.006561999894264706 2.6240880724936587e-10 4.500273917219956e-11 2.048713047164706 1.0579708895811923 0.18144051068513592
13 "(13.723, 14.702]" 14.2125 34 0.0 0.025000000535 5.383771909089246e-10 9.233092651387893e-11 -0.027557466944705882 0.001770151844682038 0.00030357853685037154 0.006561999812058824 2.1552373754066996e-10 3.6962016052850316e-11 2.242169737135294 1.0824351401088412 0.18563609503719958
14 "(14.702, 15.681]" 15.1915 34 0.0 0.025000000589999998 6.115553931650247e-10 1.0488088466407244e-10 -0.027507225710588237 0.0016990117924771829 0.0002913781185502747 0.006561999853147059 2.5681264627875553e-10 4.404300548351016e-11 2.3260294298138238 1.1330699497943888 0.1943198932572312
15 "(15.681, 16.66]" 16.1705 34 0.0 0.02500000103 9.070832372740554e-10 1.5556349179898713e-10 -0.02747293692970588 0.0016271441986546763 0.0002790529278921183 0.006561999812058824 2.1552373699049267e-10 3.6962015958495684e-11 2.429334368885294 1.0272026097794371 0.17616379423186607
16 "(16.66, 17.638]" 17.149 34 0.0 0.025000000589999998 6.115553931087927e-10 1.0488088465442875e-10 -0.027696331581176473 0.0016819583197891566 0.0002884534721125118 0.006561999880588235 2.3486154752492845e-10 4.027842310490533e-11 2.419182841667647 1.0861048598522547 0.18626544678106452
17 "(17.638, 18.617]" 18.1275 34 0.0 0.025000000425000002 3.2070235377440276e-10 5.49999999241824e-11 -0.02764752841294118 0.001614883877989649 0.00027695030024467264 0.006561999784647059 2.0064167991592963e-10 3.4409764226198064e-11 2.4714510034764707 1.0913655976098269 0.18716765586329392
