index Bins bin_centres Counts "Bin Variance" x-coordinate_bin_mean x-coordinate_std x-coordinate_sem y-coordinate_bin_mean y-coordinate_std y-coordinate_sem z-coordinate_bin_mean z-coordinate_std z-coordinate_sem velocity-magnitude_bin_mean velocity-magnitude_std velocity-magnitude_sem radius_bin_mean radius_std radius_sem
0 "(0.904, 1.48]" 1.192 34 0.0 -0.014214473899735295 0.006392927209303338 0.00109637797131457 -0.014214473037176472 0.006392927308478431 0.001096377988322958 0.006562000428205882 2.2937065175387194e-10 3.933674224900415e-11 3.234324039411471 2.026377824424977 0.3475209298530387 0.020102301161082886 0.00904096443278806 0.001550512608546897
1 "(1.96, 2.44]" 2.2 34 0.0 -0.014253234107499999 0.006597308914965957 0.0011314291446647216 -0.014253233491176472 0.006597309018782799 0.0011314291624691633 0.006562000469235295 2.150612400024098e-10 3.68826983794068e-11 3.1605583516941174 1.9245171515618886 0.3300519685753551 0.020157116546698765 0.009330003816119307 0.0016000824538386694
2 "(2.92, 3.4]" 3.16 34 0.0 -0.014388466678911763 0.006674186025376156 0.0011446134603299153 -0.014388465871088234 0.0066741861276585065 0.0011446134778711936 0.006562000455558823 2.2080900732039475e-10 3.7868432342169574e-11 3.176939574911765 1.8691331351274871 0.3205536881173458 0.02034836414785293 0.009438724467212412 0.001618727891676909
3 "(3.88, 4.36]" 4.12 34 0.0 -0.014426682979088236 0.006685520639163952 0.001146557330557659 -0.01442668223935294 0.00668552070994139 0.0011465573426958895 0.006562000469235295 2.15061239967395e-10 3.6882698373401813e-11 3.228483023367647 1.9082909255767235 0.3272691937766967 0.020402410206011863 0.009454754009478043 0.0016214769354959467
4 "(4.84, 5.32]" 5.08 34 0.0 -0.014450982254205883 0.006708635518459022 0.0011505214996525035 -0.014450981213 0.00670863550588745 0.0011505214974964967 0.006562000441882354 2.2555813142853013e-10 3.868290040738097e-11 3.331486819882353 1.8994856722553082 0.3257591052902526 0.020436774357267186 0.009487443326333087 0.0016270831070858622
5 "(5.8, 6.28]" 6.04 34 0.0 -0.014463003341617646 0.006737404677426529 0.0011554553697111709 -0.014463002190647058 0.006737404641863236 0.0011554553636121164 0.006562000482882353 2.3772695903463713e-10 4.076983712467142e-11 3.349539080114706 1.9325680805090761 0.33143269149888066 0.020453774664504015 0.009528129044865396 0.0016340606502496594
6 "(6.76, 7.24]" 7.0 34 0.0 -0.014979998546999999 0.0066201049301140204 0.0011353386290095019 -0.014979997478764707 0.006620104882414263 0.001135338620829061 0.006562000565088235 2.6544934662929163e-10 4.552418737392691e-11 3.362138938430294 1.8993007930996766 0.3257273987766394 0.021184916354140288 0.009362242142771331 0.0016056112812468533
7 "(7.72, 8.2]" 7.959999999999999 34 0.0 -0.014824197738205883 0.006742564478345414 0.0011563402682683765 -0.014824196922823529 0.006742564427329602 0.0011563402595192369 0.006562000523941176 1.799331427587432e-10 3.085827940336951e-11 3.382247312264706 1.8602650265636576 0.3190328200457589 0.020964580916108966 0.009535426094377462 0.0016353120839166936
8 "(8.68, 9.16]" 8.92 34 0.0 -0.0151418539185 0.00648580126659315 0.0011123057407362168 -0.015141853014588235 0.006485801094815346 0.0011123057112765666 0.006562000455529411 2.4881406425409025e-10 4.267125998313376e-11 3.618132950764706 1.8537244402937807 0.3179111187544725 0.021413814531852794 0.009172307992607308 0.0015730378432234787
9 "(9.64, 10.12]" 9.879999999999999 34 0.0 -0.015215207048441178 0.006411651762014856 0.0010995892056120215 -0.015215205980117648 0.006411651572596396 0.0010995891731270236 0.006562000496588235 2.0021111857465756e-10 3.433592356535284e-11 3.858671521814706 1.8116266928309632 0.31069141462691263 0.021517551406801453 0.009067444745115609 0.0015550539446452035
