EX DIFFUSER 0.020,,,EX DIFFUSER 0.025,,,EX DIFFUSER 0.030,,,EX DIFFUSER 0.035,,,QUADRANT 1,,,,QUADRANT 2,,,
Y,X,inst_Vmag,Y,X,inst_Vmag,Y,X,inst_Vmag,Y,X,inst_Vmag,x-coord,y-coord,radius,velocity-mag (m/s),x-coord,y-coord,radius,velocity-mag (m/s)
,,,-0.02896,0.025,1.881436041,-0.02821,0.03,1.977023708,-0.02716,0.035,1.696847961,0.0144,-0.0144,0.020364675,4.502662314,0.0159,0.0159,0.02249,5.35603
,,,-0.02911,0.025,1.70636821,-0.02836,0.03,1.858578328,-0.02731,0.035,1.660003992,0.0147,-0.0147,0.020788939,4.58027178,0.0162,0.0162,0.02291,5.44342
,,,-0.02926,0.025,1.521683551,-0.02851,0.03,1.728467952,-0.02746,0.035,1.613245396,0.015,-0.015,0.021213203,4.673343609,0.0165,0.0165,0.02333,5.52608
,,,-0.02941,0.025,1.331615842,-0.02866,0.03,1.588420007,-0.02761,0.035,1.560452374,0.0153,-0.0153,0.021637468,4.721134329,0.0168,0.0168,0.02376,5.57162
,,,-0.02956,0.025,1.115299211,-0.02881,0.03,1.443802623,-0.02776,0.035,1.49922294,0.0156,-0.0156,0.022061732,4.781326548,0.0171,0.0171,0.02418,5.57639
,,,-0.02971,0.025,0.926023657,-0.02896,0.03,1.297774311,-0.02791,0.035,1.427433725,0.0159,-0.0159,0.022485996,4.839278,0.0174,0.0174,0.02461,5.5434
,,,-0.02986,0.025,0.73398611,-0.02911,0.03,1.140590707,-0.02806,0.035,1.360207238,0.0162,-0.0162,0.02291026,4.909591092,0.0177,0.0177,0.02503,5.42824
,,,-0.03001,0.025,0.562826399,-0.02926,0.03,0.994971345,-0.02821,0.035,1.285901731,0.0165,-0.0165,0.023334524,5.02074711,0.018,0.018,0.02546,5.25141
,,,-0.03016,0.025,0.391244899,-0.02941,0.03,0.846214737,-0.02836,0.035,1.204417385,0.0168,-0.0168,0.023758788,5.149359622,0.0183,0.0183,0.02588,5.08096
,,,-0.03031,0.025,0.266316986,-0.02956,0.03,0.698943933,-0.02851,0.035,1.120717664,0.0171,-0.0171,0.024183052,5.269731581,0.0186,0.0186,0.0263,4.76247
,,,-0.03046,0.025,0.189500729,-0.02971,0.03,0.572529836,-0.02866,0.035,1.032467925,0.0174,-0.0174,0.024607316,5.357850011,0.0189,0.0189,0.02673,4.51257
,,,-0.03061,0.025,0.10290935,-0.02986,0.03,0.444839969,-0.02881,0.035,0.943437906,0.0177,-0.0177,0.02503158,5.406321828,0.0192,0.0192,0.02715,4.36589
,,,,,,-0.03001,0.03,0.333078595,-0.02896,0.035,0.856416993,0.018,-0.018,0.025455844,5.40030105,0.0195,0.0195,0.02758,4.35827
,,,,,,-0.03016,0.03,0.229246124,-0.02911,0.035,0.77044799,0.0183,-0.0183,0.025880108,5.314902669,0.0198,0.0198,0.028,4.42139
,,,,,,-0.03031,0.03,0.158926649,-0.02926,0.035,0.685163254,0.0186,-0.0186,0.026304372,5.115032561,0.0201,0.0201,0.02843,4.49598
,,,,,,-0.03046,0.03,0.10651698,-0.02941,0.035,0.60374189,0.0189,-0.0189,0.026728636,4.861499968,0.0204,0.0204,0.02885,4.52459
,,,,,,-0.03061,0.03,0.101970425,-0.02956,0.035,0.524162598,0.0192,-0.0192,0.0271529,4.644570132,0.0207,0.0207,0.02927,4.59235
,,,,,,-0.03076,0.03,0.142524423,-0.02971,0.035,0.451531591,0.0195,-0.0195,0.027577164,4.497446114,0.021,0.021,0.0297,4.14807
,,,,,,-0.03091,0.03,0.179258759,-0.02986,0.035,0.367920499,0.0198,-0.0198,0.028001429,4.453832279,,,,
,,,,,,-0.03106,0.03,0.197284957,-0.03001,0.035,0.297132032,0.0201,-0.0201,0.028425693,4.480541552,,,,
,,,,,,-0.03121,0.03,0.198498612,-0.03016,0.035,0.234215769,0.0204,-0.0204,0.028849957,4.565164788,,,,
,,,,,,-0.03136,0.03,0.18924325,-0.03031,0.035,0.185583011,0.0207,-0.0207,0.029274221,4.388353222,,,,
,,,,,,-0.03151,0.03,0.156990309,-0.03046,0.035,0.140500143,0.021,-0.021,0.029698485,3.277908052,,,,
,,,,,,,,,-0.03061,0.035,0.111615428,,,,,,,,
,,,,,,,,,-0.03076,0.035,0.096311273,,,,,,,,
,,,,,,,,,-0.03091,0.035,0.113836126,,,,,,,,
,,,,,,,,,-0.03106,0.035,0.139460405,,,,,,,,
,,,,,,,,,-0.03121,0.035,0.169835869,,,,,,,,
,,,,,,,,,-0.03136,0.035,0.205341961,,,,,,,,
,,,,,,,,,-0.03151,0.035,0.230864226,,,,,,,,
,,,,,,,,,-0.03166,0.035,0.242240647,,,,,,,,
,,,,,,,,,-0.03181,0.035,0.243585857,,,,,,,,
,,,,,,,,,-0.03196,0.035,0.230410649,,,,,,,,
,,,,,,,,,-0.03211,0.035,0.214268005,,,,,,,,
,,,,,,,,,-0.03226,0.035,0.1894482,,,,,,,,
,,,,,,,,,-0.03241,0.035,0.220576112,,,,,,,,
