"point-shear-a"
"Time_Step" "point-shear-a"
("Time_Step" "point-shear-a")
0 529.185302734375
10 550.9419555664062
20 553.9003295898438
30 557.5877075195312
40 562.2035522460938
50 567.0874633789062
60 570.9970703125
70 573.5380859375
80 575.302001953125
90 576.1970825195312
100 576.0164794921875
110 575.1779174804688
120 573.4248657226562
130 571.017822265625
140 568.823486328125
150 566.595947265625
160 564.2464599609375
170 561.20849609375
180 557.5399169921875
190 553.8939819335938
200 551.1920166015625
210 549.6942138671875
220 549.4310913085938
230 550.0977783203125
240 550.9871826171875
250 551.5067138671875
260 551.4879760742188
270 550.9385375976562
280 550.01513671875
290 548.8684692382812
300 547.9595336914062
310 547.414794921875
320 547.5775146484375
330 547.9661254882812
340 548.5438232421875
350 549.4421997070312
360 550.4297485351562
370 551.5049438476562
380 551.9803466796875
390 551.96826171875
400 551.676513671875
410 551.28076171875
420 551.8125610351562
430 553.319580078125
440 555.607666015625
450 558.3404541015625
460 561.0733032226562
470 563.4907836914062
480 565.4029541015625
490 566.6588134765625
500 567.0244140625
510 567.4442138671875
520 567.7425537109375
530 567.7872924804688
540 567.4442138671875
550 566.9140014648438
560 566.3121337890625
570 565.446044921875
580 564.2056884765625
590 562.9755859375
600 562.1881713867188
610 561.9595336914062
620 561.8243408203125
630 561.41357421875
640 560.6373291015625
650 559.1229248046875
660 556.8670654296875
670 554.8270263671875
680 553.806884765625
690 553.8663330078125
700 554.8635864257812
710 556.1929931640625
720 557.2344970703125
730 557.724365234375
740 557.4007568359375
750 556.6920166015625
760 555.5712890625
770 554.191650390625
780 552.8419799804688
790 551.5906372070312
800 550.8340454101562
810 550.1337890625
820 549.5530395507812
830 549.48046875
840 549.7081298828125
850 550.1002197265625
860 550.1492309570312
870 549.9620971679688
880 549.649658203125
890 549.6834106445312
900 550.7476806640625
910 552.7012329101562
920 555.4124755859375
930 558.4857177734375
940 561.5487670898438
950 564.2738647460938
960 566.5857543945312
970 568.4351196289062
980 569.6513061523438
990 570.404052734375
1000 570.4762573242188
1010 570.3245849609375
1020 569.8790893554688
1030 569.0394897460938
1040 568.2119140625
1050 567.1367797851562
1060 565.6944580078125
1070 564.1653442382812
1080 562.811279296875
1090 561.8047485351562
1100 561.067626953125
1110 560.4861450195312
1120 559.7569580078125
1130 558.1260375976562
1140 555.623046875
1150 552.9771728515625
1160 551.078369140625
1170 550.3827514648438
1180 550.8936767578125
1190 551.9619140625
1200 553.064208984375
1210 553.8411254882812
1220 553.8753662109375
1230 553.3961181640625
1240 552.538330078125
1250 551.4736938476562
1260 550.4654541015625
1270 549.56494140625
1280 549.2452392578125
1290 548.772216796875
1300 548.2499389648438
1310 548.0609130859375
1320 548.1007690429688
1330 548.2650756835938
1340 548.0001831054688
1350 547.675537109375
1360 547.3211059570312
1370 547.2027587890625
1380 548.2685546875
1390 550.2454833984375
1400 552.6974487304688
1410 555.4593505859375
1420 558.2808837890625
1430 560.8638305664062
1440 563.2360229492188
1450 565.1143798828125
1460 566.4444580078125
1470 567.1721801757812
1480 567.6221923828125
1490 567.9716186523438
1500 568.3035888671875
1510 568.478759765625
1520 568.60498046875
1530 568.4144287109375
1540 567.4718017578125
1550 566.320556640625
1560 565.2540893554688
1570 564.3491821289062
1580 563.82666015625
1590 563.1946411132812
1600 562.320068359375
1610 560.9569702148438
1620 559.0902709960938
1630 557.264892578125
1640 556.044189453125
1650 555.6631469726562
1660 556.1962890625
1670 557.0964965820312
1680 557.6422729492188
1690 557.4580078125
1700 556.4949951171875
1710 555.04638671875
1720 553.27392578125
1730 551.4056396484375
1740 549.6456298828125
1750 548.2039184570312
1760 547.4102783203125
1770 546.8914794921875
1780 546.6362915039062
1790 546.8052978515625
1800 547.217529296875
1810 547.7907104492188
1820 548.0735473632812
1830 548.0769653320312
1840 547.9645385742188
1850 548.2503051757812
1860 549.5829467773438
1870 551.8540649414062
1880 554.9222412109375
1890 558.2749633789062
1900 561.4820556640625
1910 564.1196899414062
1920 566.2908325195312
1930 567.786865234375
1940 568.730224609375
1950 569.02880859375
1960 569.1464233398438
1970 569.0894775390625
1980 568.7406616210938
1990 568.2967529296875
2000 567.96044921875
2010 567.4302368164062
2020 566.3954467773438
2030 565.3948364257812
2040 564.521728515625
2050 563.7158813476562
2060 563.1641235351562
2070 562.45703125
2080 561.5075073242188
2090 560.0370483398438
2100 557.960205078125
2110 555.8761596679688
2120 554.3970336914062
2130 553.9330444335938
2140 554.4800415039062
2150 555.4613037109375
2160 556.3479614257812
2170 556.790771484375
2180 556.552734375
2190 555.7965698242188
2200 554.5172729492188
2210 552.9402465820312
2220 551.4058227539062
2230 550.1289672851562
2240 549.5033569335938
2250 548.981689453125
2260 548.51904296875
2270 548.4889526367188
2280 548.6951293945312
2290 549.0286865234375
2300 548.9515380859375
2310 548.6571044921875
2320 548.3026123046875
2330 548.1450805664062
2340 548.9957885742188
2350 550.7818603515625
2360 553.27685546875
2370 556.0289306640625
2380 558.664794921875
2390 560.9746704101562
2400 563.0380859375
