Time_Step point-gw-e point-pressure-a point-vel-b point-vel-c gw-hemolysis point-vel-e point-vel-d point-shear-a point-gw-b point-gw-c mass-flux eds-hemolysis point-pressure-b point-pressure-c p-in point-vel-a point-shear-d point-shear-e point-gw-a point-shear-c point-shear-b max-vel-rotor point-pressure-e point-pressure-d
140 3.636865585576743e-05 -21730.232421875 4.566696643829346 5.944753170013428 5.170979237472753e-09 3.619735717773438 3.619735717773438 583.3676147460938 2.924393129433156e-06 6.563598162756534e-07 -3.043513551459487e-07 1.17765219926091e-10 -4630.9951171875 -6152.0537109375 -21626.70887629237 0.1798672676086426 2704.916748046875 2704.916748046875 1.218551233250764e-07 752.931640625 1250.93212890625 8.867975457285409 -215.4361724853516 -3530.612548828125
150 2.249490353278816e-05 -21988.28125 4.552558898925781 5.947717189788818 5.532657055533617e-09 3.56684422492981 3.56684422492981 585.9595336914062 3.812451041085296e-06 1.323859464719135e-06 -4.250316109136176e-07 1.261194151165805e-10 -4812.1376953125 -6347.0361328125 -21879.85803946103 0.1798870414495468 2148.808837890625 2148.808837890625 1.274321874689122e-07 930.7997436523438 1302.53955078125 8.784244125269424 -205.6144256591797 -3521.654296875
160 0.0001732860691845417 -22288.44921875 4.471376895904541 5.909192085266113 5.89345083277885e-09 4.197916030883789 4.197916030883789 588.3801879882812 8.550875463697594e-06 3.229718913644319e-06 -3.619418393399632e-07 1.344620502131323e-10 -5026.296875 -6637.76171875 -22179.00563839398 0.1799433082342148 5508.525390625 5508.525390625 1.326500154164023e-07 1094.3955078125 1633.827270507812 8.641281917931369 -134.3231811523438 -3266.7470703125
170 0.0001751208328641951 -22620.23046875 4.395114421844482 5.726163864135742 6.253467463975341e-09 5.267054557800293 5.267054557800293 590.6276245117188 1.478634840168525e-05 9.479717846261337e-06 -1.645885811807357e-07 1.427936863100505e-10 -5270.59423828125 -7123.43017578125 -22511.54073400725 0.1800247877836227 3123.8994140625 3123.8994140625 1.375045854956625e-07 1450.13525390625 2246.731689453125 8.477081001866887 -61.06111145019531 -4296.03271484375
180 0.0001163591587101109 -22932.833984375 4.299996852874756 5.191202640533447 6.613019514538689e-09 5.280617713928223 5.280617713928223 592.7265625 1.805767715268303e-05 2.520745329093188e-05 -7.582354557764126e-07 1.511151461710923e-10 -5528.14453125 -7641.9775390625 -22823.49129018328 0.1801250129938126 1690.54443359375 1690.54443359375 1.419923165713044e-07 2586.806884765625 2431.240966796875 8.449334337463922 -34.99312210083008 -4710.41015625
190 0.0001149813615484163 -23224.65234375 4.16718578338623 5.103891372680664 6.971783130074685e-09 4.687230110168457 4.687230110168457 594.723388671875 1.677563523116987e-05 6.467063212767243e-05 -4.896369066725859e-07 1.594264102021727e-10 -5788.66015625 -7765.62255859375 -23116.22763569288 0.1802381724119186 1795.338134765625 1795.338134765625 1.461153686932448e-07 1780.391235351562 2120.51611328125 8.506127325376919 7.667125701904297 -5330.5810546875
200 0.0001410477998433635 -23657.41796875 4.036018371582031 5.252803802490234 7.330122515296034e-09 4.292464256286621 4.292464256286621 596.5224609375 1.296139726036927e-05 0.0002808352583087981 -4.497354968505118e-07 1.67728485204915e-10 -6195.4833984375 -7944.458984375 -23546.55482179864 0.1803581416606903 1594.6328125 1594.6328125 1.498759303331099e-07 1499.983520507812 1524.921142578125 8.634212465306074 -22.02086067199707 -5979.0087890625
210 2.88792434730567e-05 -24114.8203125 3.933532476425171 5.445494651794434 7.688124460663336e-09 3.821556568145752 3.821556568145752 598.137939453125 8.239295311796013e-06 0.0009888386121019721 -4.98591604988774e-07 1.760217221896975e-10 -6642.72998046875 -8059.44677734375 -24007.06800572472 0.1804855763912201 2073.998291015625 2073.998291015625 1.532718130192734e-07 1583.94140625 970.757080078125 8.579463656587214 -6.274669170379639 -5634.6728515625
220 2.700587538129184e-05 -24568.091796875 3.870479583740234 5.92537784576416 8.04578450920303e-09 3.873213768005371 3.873213768005371 599.5336303710938 3.313831939522061e-06 9.977218724088743e-05 -5.208691797736753e-07 1.843063743894002e-10 -7092.978515625 -8388.419921875 -24459.02308231225 0.1806219071149826 3322.327880859375 3322.327880859375 1.56301737774811e-07 1955.972900390625 656.5802001953125 8.551417373320522 -5.580511093139648 -5516.9326171875
230 7.396052387775853e-05 -24824.388671875 3.852205991744995 6.042099952697754 8.40297949246514e-09 4.043391227722168 4.043391227722168 600.7391967773438 6.433662633753556e-07 1.430453448847402e-05 9.129897640680618e-08 1.925823506278019e-10 -7340.25 -8609.8193359375 -24708.98009679423 0.1807636916637421 3202.9609375 3202.9609375 1.589677935953659e-07 918.2374267578125 519.0569458007812 8.637002609892443 -38.69067764282227 -5855.5400390625
240 5.353643427952193e-05 -24798.818359375 3.853979587554932 5.97365665435791 8.760304668835995e-09 3.838281631469727 3.838281631469727 601.76953125 2.809028387673607e-07 1.280724336538697e-05 -3.834678908715139e-07 2.008505723397813e-10 -7297.572265625 -8629.1494140625 -24702.7458587912 0.1809128671884537 2420.62841796875 2420.62841796875 1.612733484535056e-07 1081.00244140625 470.9875183105469 8.871948845878752 -21.73537826538086 -6065.8291015625
250 2.100645724567585e-05 -24897.107421875 3.858293056488037 5.924659729003906 9.117293165237873e-09 3.649372816085815 3.649372816085815 602.5697021484375 2.679566648566833e-07 4.201045157969929e-06 -4.31425718858125e-07 2.091105212747294e-10 -7379.2119140625 -8821.5634765625 -24785.99623748284 0.181074783205986 1733.44921875 1733.44921875 1.63219851856411e-07 1324.653564453125 508.4769897460938 8.807220537867121 -92.96217346191406 -6095.0615234375
260 9.149394827545621e-06 -24938.88671875 3.85955023765564 5.91272497177124 9.473914778534918e-09 3.686543703079224 3.686543703079224 603.1917724609375 3.079090618030023e-07 1.858940049714874e-05 5.012996836389894e-08 2.173621853108569e-10 -7415.43115234375 -8795.0537109375 -24831.19424299033 0.18123859167099 931.2984619140625 931.2984619140625 1.648161713774243e-07 3485.556640625 525.3998413085938 8.628258787831667 -101.3468627929688 -5937.330078125
270 3.80738219973864e-06 -25112.3046875 3.843033790588379 5.350173950195312 9.830652079775011e-09 3.798399686813354 3.798399686813354 603.62890625 4.024913664579799e-07 4.422246274771169e-05 -1.738718209201573e-07 2.256063897033544e-10 -7574.470703125 -8791.7158203125 -25005.54705652296 0.181393176317215 1318.470947265625 1318.470947265625 1.660722404039916e-07 4336.900390625 519.67919921875 8.529029478936495 -94.94399261474609 -5851.77734375
280 4.951399387209676e-05 -25492.33984375 3.810730695724487 5.311122894287109 1.018715973983347e-08 4.083660125732422 4.083660125732422 603.8310546875 5.51544417248806e-07 4.169553358224221e-05 -1.19745581048103e-07 2.338428678868701e-10 -7934.9501953125 -9304.49609375 -25387.18007283816 0.1815370172262192 1799.526245117188 1799.526245117188 1.669973244133871e-07 2151.892578125 602.5263061523438 8.670800035266112 -159.6952819824219 -5930.38134765625
290 0.0001835075090639293 -25502.380859375 3.79852557182312 4.979426383972168 1.054342551367807e-08 4.650612831115723 4.650612831115723 603.8094482421875 6.989529879319889e-07 7.005930820014328e-05 3.918637137487191e-07 2.420714457593616e-10 -7938.60595703125 -8785.2783203125 -25397.92967664928 0.181671142578125 2502.23828125 2502.23828125 1.675997367556192e-07 3840.245361328125 726.16357421875 8.666555951062627 -180.7212371826172 -5897.4580078125
300 0.0002198429574491456 -25233.693359375 3.824286460876465 5.519083976745605 1.08999916532727e-08 4.661081314086914 4.661081314086914 603.5834350585938 8.616265745331475e-07 0.0001876452297437936 5.244780368340862e-08 2.502926948244281e-10 -7651.2099609375 -8623.896484375 -25121.16385041122 0.1817872077226639 2054.73095703125 2054.73095703125 1.678958199136105e-07 6069.19970703125 761.4730834960938 8.704042173796708 -230.5604095458984 -6099.25
310 0.000100854980701115 -24929.02734375 3.868508338928223 6.287534713745117 1.125621938758067e-08 4.431303977966309 4.431303977966309 603.1474609375 1.094515141630836e-06 0.0001018650291371159 4.082269738359123e-07 2.585054965608856e-10 -7329.9296875 -8555.564453125 -24810.50336144093 0.1818817853927612 1988.084838867188 1988.084838867188 1.679103291962747e-07 2523.738037109375 676.361083984375 8.745291750769672 -310.4297485351562 -5760.83056640625
320 0.0002413640904705971 -24714.96875 3.90885066986084 5.580808639526367 1.161273114910866e-08 4.708749771118164 4.708749771118164 602.50244140625 1.306694002778386e-06 0.0003884427424054593 -2.838284390849211e-08 2.667107026404294e-10 -7084.83349609375 -9008.3837890625 -24615.82936780485 0.1819531172513962 2505.41796875 2505.41796875 1.676680483342352e-07 3333.8564453125 586.3347778320312 8.924416480655841 -407.096435546875 -5703.6123046875
330 2.037241574726067e-05 -24663.927734375 3.933573484420776 5.027743816375732 1.196920030426533e-08 4.812827587127686 4.812827587127686 601.6838989257812 1.433929014638124e-06 0.0001837973250076175 -4.344861721239379e-07 2.749076787929141e-10 -6980.533203125 -8921.2041015625 -24558.52369505761 0.1820012629032135 1258.5498046875 1258.5498046875 1.67197370615213e-07 3068.93212890625 588.3074340820312 9.103994630315494 -502.7514038085938 -5674.380859375
340 9.422397124581039e-05 -24702.8984375 3.947089433670044 4.85505485534668 1.232505899624083e-08 4.938638687133789 4.938638687133789 600.6972045898438 1.707997512312431e-06 7.257790275616571e-05 3.165828716955588e-07 2.83095546185602e-10 -6991.87890625 -8490.4580078125 -24601.30827344498 0.1820304691791534 1392.445556640625 1392.445556640625 1.665312083787285e-07 2055.93798828125 628.9431762695312 9.130395760210856 -686.2303466796875 -5511.96044921875
350 0.0005183421308174729 -24684.357421875 3.952219009399414 5.012932300567627 1.268111097752966e-08 4.9636549949646 4.9636549949646 599.6243286132812 3.651810402516276e-06 0.0001755267439875752 5.585111388442532e-07 2.912755718778118e-10 -6919.224609375 -8100.11865234375 -24571.70984733481 0.1820410490036011 1804.542358398438 1804.542358398438 1.657028150248152e-07 2255.7822265625 684.4918212890625 8.875735384639725 -787.7573852539062 -5524.5498046875
360 0.0007567807333543897 -25125.626953125 3.939058303833008 5.110772132873535 1.303801725133525e-08 4.957145690917969 4.957145690917969 598.5245971679688 1.130583223130088e-05 0.000403269223170355 -1.105921948747757e-06 2.994491914692006e-10 -7331.52685546875 -8537.451171875 -25020.87617624689 0.1820270568132401 1709.102294921875 1709.102294921875 1.647547378524905e-07 4120.05712890625 794.4466552734375 8.977972326806851 -986.0126953125 -5950.7998046875
370 0.000380794401280582 -25572.861328125 3.890729904174805 5.28867244720459 1.339330274197775e-08 5.624631881713867 5.624631881713867 597.4201049804688 5.607747880276293e-05 0.0003777667297981679 3.655718608941427e-07 3.076124050544015e-10 -7802.892578125 -8921.8232421875 -25466.01832530344 0.1819818913936615 2036.563720703125 2036.563720703125 1.63727065682906e-07 4396.44775390625 1024.172973632812 8.871056884504556 -1001.9306640625 -6245.66943359375
380 0.0002438558149151504 -26037.95703125 3.745849370956421 5.62205982208252 1.374864368458629e-08 5.603148460388184 5.603148460388184 596.3526000976562 0.0001397453306708485 4.993032416678034e-05 1.774053219272265e-06 3.157673337612328e-10 -8807.6474609375 -9825.283203125 -25933.15545764793 0.1819170713424683 2313.22265625 2313.22265625 1.626600294457603e-07 1926.69482421875 1367.772705078125 8.613126534595255 -899.3802490234375 -6635.2578125
390 0.0001703841553535312 -25994.83984375 3.437107086181641 5.443900585174561 1.410488140494278e-08 5.239513397216797 5.239513397216797 595.2747192382812 0.0001300800067838281 0.00212003500200808 1.37563275850322e-06 3.23915368871929e-10 -9977.865234375 -10728.3359375 -25880.28772910162 0.1818369477987289 2295.4716796875 2295.4716796875 1.615830029777499e-07 3511.407958984375 1573.589599609375 8.731359721150641 -812.9520874023438 -6621.22314453125
400 0.0004816162399947643 -26643.43359375 3.425824880599976 5.608787536621094 1.446225423739894e-08 4.766203880310059 4.766203880310059 594.1845703125 8.963677100837231e-05 0.01551508624106646 -8.236886817267197e-07 3.320564717068665e-10 -10611.609375 -12613.216796875 -26536.23331285582 0.1817418485879898 4447.9990234375 4447.9990234375 1.605169046570154e-07 5829.841796875 1806.616943359375 8.876272683634616 -954.40283203125 -6943.80322265625
410 0.0005513405194506049 -26524.193359375 3.528423070907593 5.030381202697754 1.481801662917016e-08 4.142268180847168 4.142268180847168 593.1465454101562 6.419133569579571e-05 0.0007555154152214527 -4.593576497374796e-07 3.40186955514222e-10 -9990.375 -12734.7177734375 -26409.51464296728 0.1816399097442627 4504.01904296875 4504.01904296875 1.594740837163044e-07 3047.46533203125 1982.403930664062 8.873620213042607 -838.8638305664062 -6461.0556640625
420 0.0004574049089569598 -26491.1875 3.644791126251221 5.883420944213867 1.517318349040278e-08 4.163181304931641 4.163181304931641 592.2244262695312 4.111178350285627e-05 0.01180750317871571 7.132227533707125e-07 3.483085899514053e-10 -9497.283203125 -11129.3115234375 -26384.18482307624 0.1815318167209625 3802.88818359375 3802.88818359375 1.584688220646058e-07 5088.6923828125 2248.925048828125 8.950199773192876 -960.9749755859375 -6383.6279296875
430 0.0004793002153746784 -26195.5078125 3.657956600189209 6.722305297851562 1.552972413163657e-08 5.254741191864014 5.254741191864014 591.346923828125 4.098664430784993e-05 0.008627118542790413 -5.732559636290047e-07 3.564244757223951e-10 -9273.923828125 -12309.080078125 -26082.83118736631 0.1814128011465073 4324.32568359375 4324.32568359375 1.575082677618411e-07 6278.51025390625 2341.2734375 9.102996313778771 -1173.58837890625 -6439.5478515625
440 0.0007666582241654396 -25569.8125 4.325976371765137 5.801210880279541 1.588501492641964e-08 5.068263053894043 5.068263053894043 590.4967651367188 0.00200601271353662 0.004283932968974113 1.4921087524572e-07 3.645310334584207e-10 -8633.0771484375 -10571.05078125 -25464.23543619255 0.1812823265790939 5091.45556640625 5091.45556640625 1.565884701903997e-07 5874.20263671875 6486.31640625 9.063756645220044 -1281.87890625 -6603.1259765625
450 0.0004756619455292821 -25350.228515625 4.937828063964844 5.385694026947021 1.624081702307028e-08 4.075150489807129 4.075150489807129 589.6710205078125 0.003338208189234138 0.0008511121850460768 7.49097795599285e-09 3.726303413873234e-10 -9648.2685546875 -10336.7880859375 -25244.44641869401 0.1811433434486389 3549.06396484375 3549.06396484375 1.55703261839335e-07 1624.987182617188 6747.009765625 8.822974048907666 -1562.781616210938 -7166.6611328125
460 0.0001018676557578146 -25024.146484375 4.905672073364258 5.053219795227051 1.659656689204003e-08 4.180789947509766 4.180789947509766 588.8531494140625 0.003697609761729836 0.001471062307246029 -1.363587432412494e-07 3.807217640489592e-10 -8279.2001953125 -10880 -24916.40013054875 0.1810020059347153 2705.05615234375 2705.05615234375 1.54843917243852e-07 1351.25634765625 7229.77587890625 8.680604624591558 -1691.402465820312 -6294.6552734375
470 6.239210051717237e-06 -24898.041015625 4.566580295562744 5.425787925720215 1.695243539772316e-08 3.747586250305176 3.747586250305176 588.0576782226562 0.004504201002418995 0.001284586498513818 -5.136168683902986e-07 3.888052683474603e-10 -8121.7294921875 -10690.2421875 -24788.16212288747 0.1808663308620453 1601.531005859375 1601.531005859375 1.539985845511183e-07 2525.05126953125 6186.83544921875 8.694509587960448 -1552.660400390625 -6048.2861328125
480 8.567643021706317e-07 -24923.435546875 3.778343677520752 5.109716892242432 1.730733509952191e-08 3.939361095428467 3.939361095428467 587.2252807617188 0.005537446122616529 0.001105810981243849 4.304475110239459e-07 3.968794997186031e-10 -8952.2177734375 -10271.78125 -24817.54684393105 0.1807348132133484 945.5648193359375 945.5648193359375 1.531552840106087e-07 5532.97802734375 3654.992431640625 8.666216631092558 -1290.841552734375 -6148.2236328125
490 8.198508112400305e-07 -24519.759765625 4.268192768096924 4.505745887756348 1.766242754420455e-08 3.917093276977539 3.917093276977539 586.303466796875 0.004486559424549341 0.0008101868443191051 1.069602435309347e-06 4.04945947348521e-10 -8543.1357421875 -9830.8916015625 -24411.74795389888 0.1806099265813828 532.0541381835938 532.0541381835938 1.523013253290628e-07 3588.5390625 4806.216796875 8.615336707766224 -762.1463623046875 -5878.841796875
500 2.075844577120733e-06 -23827.310546875 4.243871212005615 5.393454551696777 1.801824619686324e-08 3.96090841293335 3.96090841293335 585.2579956054688 0.002264472655951977 0.00103104196023196 4.697590802599239e-07 4.130060058353801e-10 -8562.39453125 -8816.3828125 -23719.96677394254 0.1804912984371185 771.5877075195312 771.5877075195312 1.514258087809139e-07 3196.592041015625 4487.3935546875 8.538235106187498 -217.07080078125 -5292.185546875
510 0.0002054939686786383 -23366.662109375 4.015902996063232 5.683483600616455 1.837321606808237e-08 4.100619316101074 4.100619316101074 584.1054077148438 0.0004992795875295997 0.0008008608710952103 8.32514524540251e-07 4.210578962839209e-10 -7009.60595703125 -8224.65234375 -23255.71858863713 0.1803770065307617 1259.15283203125 1259.15283203125 1.505214157759838e-07 2195.489013671875 3767.289794921875 8.409776050464048 78.84196472167969 -4744.5107421875
520 0.0006508984370157123 -22763.806640625 4.986586093902588 6.152332305908203 1.872872764508068e-08 4.091128826141357 4.091128826141357 582.8734130859375 0.0005772368749603629 0.000121744982607197 5.231358390991869e-07 4.291031358182659e-10 -5643.4296875 -7255.02001953125 -22655.13471376289 0.1802693903446198 3428.69091796875 3428.69091796875 1.495890558089741e-07 3332.91650390625 5268.67138671875 8.5007822572399 518.7009887695312 -3942.18896484375
530 0.0003848463529720902 -22740.439453125 5.832667827606201 5.57132625579834 1.908386353575327e-08 3.830232620239258 3.830232620239258 581.5926513671875 0.001931531238369644 0.0001363765040878206 5.870160089127552e-07 4.371399565090794e-10 -6353.74658203125 -6931.00390625 -22628.23162609894 0.1801687777042389 3456.939453125 3456.939453125 1.486317131593751e-07 2169.887939453125 3567.01123046875 8.846036671594222 507.2532958984375 -3923.8046875
540 0.00165059941355139 -23076.2265625 5.594837665557861 5.377464294433594 1.943970724209687e-08 4.124335765838623 4.124335765838623 580.33837890625 0.001590350409969687 0.0003331063780933619 -3.808831711415994e-07 4.451698078523279e-10 -6240.36328125 -7112.8583984375 -22962.89101979151 0.180084615945816 2212.821044921875 2212.821044921875 1.476598612271118e-07 1047.462524414062 5483.69384765625 9.008995285259642 318.4552001953125 -4394.9384765625
550 0.005568176507949829 -23470.181640625 4.483083724975586 5.368258953094482 1.97949289001811e-08 4.089268684387207 4.089268684387207 579.1038208007812 0.001086122705601156 0.0005356618203222752 -6.05686094626301e-07 4.531906716086353e-10 -6318.03662109375 -7398.7587890625 -23364.60771181802 0.1800210326910019 2794.576171875 2794.576171875 1.466907519898086e-07 1352.313842773438 5816.0087890625 8.917971507269002 7.259923934936523 -4765.5419921875
560 0.00408646184951067 -23820.462890625 4.735248565673828 5.600406646728516 2.014986869146519e-08 4.50267505645752 4.50267505645752 577.8046264648438 0.001034888671711087 0.0008910764008760452 -6.32250615917318e-07 4.612032844911451e-10 -6837.953125 -7757.46484375 -23709.05589701729 0.1799777001142502 3423.8818359375 3423.8818359375 1.45736436252264e-07 2171.101806640625 4556.6025390625 8.697633397656629 -463.9861450195312 -4906.7470703125
570 0.001593875465914607 -24044.544921875 5.155945777893066 5.87856388092041 2.05045689586312e-08 4.422114849090576 4.422114849090576 576.4392700195312 0.0006228394922800362 0.001545948558486998 -4.779914344332781e-07 4.692077348770955e-10 -7052.11376953125 -8096.83056640625 -23938.234208762 0.1799605339765549 1556.2705078125 1556.2705078125 1.448028115191846e-07 1176.43017578125 1585.545166015625 8.720882785423319 -832.3890991210938 -5916.83203125
580 0.00223855022341013 -24151.619140625 5.019211769104004 5.606683731079102 2.085869237578609e-08 4.261368274688721 4.261368274688721 575.0665893554688 0.001130358781665564 0.001406465424224734 2.509127990241167e-07 4.772038658344986e-10 -6993.86474609375 -7902.36328125 -24041.6313905481 0.1799761950969696 3775.12744140625 3775.12744140625 1.438951215959605e-07 2989.260986328125 1707.75439453125 8.902041117792091 -1059.16015625 -6854.2998046875
590 0.004521753173321486 -24130.916015625 4.885669708251953 5.663960456848145 2.121408727739322e-08 4.34831428527832 4.34831428527832 573.7138061523438 0.001632891711778939 0.001010324223898351 -6.143381698631156e-07 4.851937830105419e-10 -7019.12353515625 -7686.248046875 -24018.89637474343 0.1800225228071213 3291.462646484375 3291.462646484375 1.430253888656807e-07 2305.597900390625 2996.068115234375 9.002601206188503 -1040.904663085938 -6997.53515625
600 0.002982890699058771 -24316.54296875 5.261519908905029 5.662938594818115 2.156880458379735e-08 4.611001968383789 4.611001968383789 572.4002075195312 0.0008866639109328389 0.0008714143186807632 -7.701565973572411e-07 4.931743389724092e-10 -7367.06494140625 -7925.908203125 -24211.10711455579 0.1800943613052368 4016.24462890625 4016.24462890625 1.422060620370758e-07 1037.85693359375 2806.807861328125 8.894497153215744 -953.862060546875 -6257.916015625
610 0.001883091987110674 -24595.46484375 5.434929370880127 5.658817768096924 2.192253477569395e-08 4.069136142730713 4.069136142730713 571.14892578125 0.003139885840937495 0.001095317769795656 4.302018875856906e-08 5.011451457101347e-10 -8002.1728515625 -8222.8935546875 -24486.97021330629 0.1801926791667938 3013.5546875 3013.5546875 1.414483818962253e-07 910.4990844726562 1873.084228515625 8.801222824325299 -825.9761352539062 -5719.0634765625
620 0.001410857308655977 -24181.15234375 5.436587333679199 5.722212314605713 2.227649799210308e-08 3.723241329193115 3.723241329193115 569.9895629882812 0.002201719442382455 0.002446075901389122 4.924349000928752e-07 5.091078791261141e-10 -7681.904296875 -7830.5185546875 -24072.33379794931 0.1803153157234192 3217.7919921875 3217.7919921875 1.407623955174131e-07 1256.946166992188 918.952392578125 8.878763058895828 -1420.155151367188 -4918.7763671875
