"Time Step" "point-ho-out"
2890 1.303525181128862e-07
2900 1.444533950234472e-07
2910 1.591426439517818e-07
2920 1.739003181455701e-07
2930 1.884310023569924e-07
2940 2.026049941150632e-07
2950 2.162897487778537e-07
2960 2.293240584094747e-07
2970 2.413637503195787e-07
2980 2.533847691665869e-07
2990 2.65518565356615e-07
3000 2.771906508769462e-07
3010 2.875591462725424e-07
3020 2.95830261620722e-07
3030 3.019736709575227e-07
3040 3.06126366922399e-07
3050 3.082885768890264e-07
3060 3.084230115746323e-07
3070 3.066775207116734e-07
3080 3.031570088296576e-07
3090 2.979551823045767e-07
3100 2.914358674388495e-07
3110 2.837168153746461e-07
3120 2.751796728261979e-07
3130 2.654286959113961e-07
3140 2.54228240237353e-07
3150 2.420889870791143e-07
3160 2.290815217520503e-07
3170 2.156381384565975e-07
3180 2.020697564830698e-07
3190 1.88380823828993e-07
3200 1.745816859965998e-07
3210 1.608460280522195e-07
3220 1.472390351864306e-07
3230 1.339342929895793e-07
3240 1.210796227724131e-07
3250 1.086788046222864e-07
3260 9.690472779766424e-08
3270 8.595387868126636e-08
3280 7.592509376763701e-08
3290 6.680739517150869e-08
3300 5.855151030687011e-08
3310 5.112669043683127e-08
3320 4.446847512440399e-08
3330 3.852847285656935e-08
3340 3.330821840563658e-08
3350 2.878797644711995e-08
3360 2.490586936687578e-08
3370 2.159723777594991e-08
3380 1.880265543263704e-08
3390 1.647135761118079e-08
3400 1.454604081629896e-08
3410 1.296668372674503e-08
3420 1.167234753296498e-08
3430 1.061914112199247e-08
3440 9.778701404172807e-09
3450 9.12836206623524e-09
3460 8.645127280715315e-09
3470 8.305746312942119e-09
3480 8.089064529315237e-09
3490 7.981064698014961e-09
3500 7.970354154451798e-09
3510 8.042920995876557e-09
3520 8.190853328926551e-09
3530 8.399855921936705e-09
3540 8.674013507459222e-09
3550 9.018312319142296e-09
3560 9.431902370238276e-09
3570 9.911815368468524e-09
3580 1.045976194546938e-08
3590 1.108621550116595e-08
3600 1.178518438393894e-08
0 0
10 6.317112631604171e-12
20 1.299257056108782e-11
30 1.919628171698218e-11
40 2.491850649433136e-11
50 3.028763351231589e-11
60 3.546372917551111e-11
70 4.059058297811724e-11
80 4.576636986053373e-11
90 5.105328312882129e-11
100 5.649391024431516e-11
110 6.212581143971718e-11
120 6.799320828587696e-11
130 7.413954172807991e-11
140 8.060682676891417e-11
150 8.744762552970187e-11
160 9.471941286864904e-11
170 1.024871923438475e-10
180 1.108226496682185e-10
190 1.198085936016113e-10
200 1.295464152617498e-10
210 1.40158940009627e-10
220 1.517818093432766e-10
230 1.645698161079068e-10
240 1.787001102648844e-10
250 1.943818855876245e-10
260 2.118458464206441e-10
270 2.313491204164464e-10
280 2.531728160448665e-10
290 2.776325003228663e-10
300 3.050617258804067e-10
310 3.358764932848146e-10
320 3.706327467156711e-10
330 4.098826000831224e-10
340 4.542700382526021e-10
350 5.045183160135025e-10
360 5.614029796596753e-10
370 6.257526719011253e-10
380 6.984432476819791e-10
390 7.803919177540308e-10
400 8.725663525055438e-10
410 9.759589802982305e-10
420 1.091577495060392e-09
430 1.220412104707691e-09
440 1.363466006765179e-09
450 1.521689663164238e-09
460 1.69615888001573e-09
470 1.888286194073885e-09
480 2.100008833494371e-09
490 2.332702253582397e-09
500 2.587714487134463e-09
510 2.866102466470011e-09
520 3.168964646249606e-09
530 3.496613665276982e-09
540 3.848932284000739e-09
550 4.227586725136234e-09
560 4.633106787110819e-09
570 5.06523534227199e-09
580 5.522875934360627e-09
590 6.002894181733609e-09
600 6.503697136395203e-09
610 7.024904657981779e-09
620 7.565390092167945e-09
630 8.12368039504463e-09
640 8.698384235117373e-09
650 9.287713709227319e-09
660 9.890616325947121e-09
670 1.050542586256142e-08
680 1.112977354722489e-08
690 1.176125685731222e-08
700 1.239818381293389e-08
710 1.303741825608995e-08
720 1.367450686018401e-08
730 1.430554785741833e-08
740 1.492537471392552e-08
750 1.552700368279147e-08
760 1.610162314591435e-08
770 1.663879167779214e-08
780 1.71275011950911e-08
790 1.7555487730192e-08
800 1.791154957686558e-08
810 1.818449035795311e-08
820 1.835990204313021e-08
830 1.84266859548643e-08
840 1.837487317857267e-08
850 1.819692840854259e-08
860 1.788843917438498e-08
870 1.745043221035303e-08
880 1.689142870020532e-08
890 1.622474421481002e-08
900 1.546349892578291e-08
910 1.462396337359451e-08
920 1.372569169433291e-08
930 1.27881687461695e-08
940 1.183049391784152e-08
950 1.087177547987039e-08
960 9.924508326264458e-09
970 9.001700718158645e-09
980 8.121905814562069e-09
990 7.296977244664049e-09
1000 6.528946716599648e-09
1010 5.818386661360364e-09
1020 5.165378791360808e-09
1030 4.570041678420012e-09
1040 4.031543987537134e-09
1050 3.547886207044826e-09
1060 3.116846780670812e-09
1070 2.735724313751575e-09
1080 2.400407428382323e-09
1090 2.10812678425043e-09
1100 1.857553555417724e-09
1110 1.641851321565468e-09
1120 1.455741860389992e-09
1130 1.294964357967388e-09
1140 1.155972984001608e-09
1150 1.035696750584236e-09
1160 9.315518356700636e-10
1170 8.41138436680211e-10
1180 7.627022902134684e-10
1190 6.951847431047042e-10
1200 6.363682913956836e-10
1210 5.846791939490004e-10
1220 5.389811374989506e-10
1230 4.982116941221193e-10
1240 4.616237947452362e-10
1250 4.287300237049152e-10
1260 3.991074415399254e-10
1270 3.7241512651498e-10
1280 3.484754707017146e-10
1290 3.270965998058983e-10
1300 3.080631860719052e-10
1310 2.911821062046016e-10
1320 2.763788919946109e-10
1330 2.635613116641622e-10
1340 2.524482289878449e-10
1350 2.426450707027072e-10
1360 2.338659821354838e-10
1370 2.259769593671024e-10
1380 2.189200626334653e-10
1390 2.12552142553335e-10
1400 2.067787885362549e-10
1410 2.015277389411096e-10
1420 1.967301876959482e-10
1430 1.922116632524506e-10
1440 1.879489619494024e-10
1450 1.840971541877678e-10
1460 1.806147731375773e-10
1470 1.7742389502029e-10
1480 1.74495404237085e-10
1490 1.717642833520827e-10
1500 1.691410900228618e-10
1510 1.666478621764611e-10
1520 1.642923436184773e-10
1530 1.620625716958202e-10
1540 1.599450433209526e-10
1550 1.578935732160502e-10
1560 1.559589679622775e-10
1570 1.541606564625653e-10
1580 1.524916581896463e-10
1590 1.509398162014008e-10
1600 1.495044366084386e-10
1610 1.482014649889507e-10
1620 1.470534943814883e-10
1630 1.460920828755263e-10
1640 1.452848952254726e-10
1650 1.446253256043306e-10
1660 1.441259195322786e-10
1670 1.438025115652053e-10
1680 1.436746555061319e-10
1690 1.437530372516704e-10
1700 1.440455255075079e-10
1710 1.445467773253384e-10
1720 1.452565984161325e-10
1730 1.461893661680591e-10
1740 1.47336004507892e-10
1750 1.487050343973451e-10
1760 1.503332180963213e-10
1770 1.522669768050378e-10
1780 1.545664707336414e-10
1790 1.572853236542215e-10
1800 1.604292670931429e-10
1810 1.640039631878309e-10
1820 1.680362515799061e-10
1830 1.724977383155135e-10
1840 1.773371866020668e-10
1850 1.824509154868537e-10
1860 1.876906408071477e-10
1870 1.929433834924055e-10
1880 1.981465685974015e-10
1890 2.033026941239413e-10
1900 2.082713446149853e-10
1910 2.130897819307975e-10
1920 2.178504182603902e-10
1930 2.22630539004065e-10
1940 2.273615740122636e-10
1950 2.32262320487564e-10
1960 2.37619895981922e-10
1970 2.435928680988297e-10
1980 2.502351381661327e-10
1990 2.575353541534042e-10
2000 2.655257125283583e-10
2010 2.740892790509264e-10
2020 2.828469403137746e-10
2030 2.922518615999792e-10
2040 3.031732365155193e-10
2050 3.165054329734573e-10
2060 3.329545805730305e-10
2070 3.530046810418241e-10
2080 3.754463406835384e-10
2090 3.997369379948879e-10
2100 4.273217613093294e-10
2110 4.603190051355455e-10
2120 4.997754432523038e-10
2130 5.454867113563466e-10
2140 5.96893312554414e-10
2150 6.52986831273239e-10
2160 7.127475276647033e-10
2170 7.753057085224668e-10
2180 8.396070505511943e-10
2190 9.044935356250505e-10
2200 9.688139179786504e-10
2210 1.031451146715767e-09
2220 1.091060242153219e-09
2230 1.146307160304616e-09
2240 1.196330701169757e-09
2250 1.240532010449158e-09
2260 1.278739003574003e-09
2270 1.311479702614804e-09
2280 1.339356958673932e-09
2290 1.363083756977801e-09
2300 1.383188674708435e-09
2310 1.400665250450572e-09
2320 1.416419315170003e-09
2330 1.431069374113747e-09
2340 1.445102371100404e-09
2350 1.458983711621897e-09
2360 1.473141497676522e-09
2370 1.48798651178339e-09
2380 1.504022129061866e-09
2390 1.521813119964577e-09
2400 1.542061589532295e-09
2410 1.566039409262032e-09
2420 1.5958481203171e-09
2430 1.633640445142248e-09
2440 1.681722983093437e-09
2450 1.742415434158318e-09
2460 1.818235451089834e-09
2470 1.911207192506481e-09
2480 2.021522504946915e-09
2490 2.150360778330196e-09
2500 2.299005874561999e-09
2510 2.46704234818651e-09
2520 2.65325339476874e-09
2530 2.856848535515155e-09
2540 3.077497368053628e-09
2550 3.31544436349418e-09
2560 3.571562601223377e-09
2570 3.847788754285375e-09
2580 4.147353127592623e-09
2590 4.474063342030377e-09
2600 4.832608091476231e-09
2610 5.22855003737277e-09
2620 5.668487901289154e-09
2630 6.160925991594013e-09
2640 6.715819900193765e-09
2650 7.344714170187672e-09
2660 8.060617062710662e-09
2670 8.877387713823737e-09
2680 9.810722900738256e-09
2690 1.087893863882528e-08
2700 1.210332278844817e-08
2710 1.350995137983091e-08
2720 1.51332244513469e-08
2730 1.701942942133883e-08
2740 1.922573922286119e-08
2750 2.182905234349164e-08
2760 2.491259110115607e-08
2770 2.856316427823913e-08
2780 3.284162986005867e-08
2790 3.785786972798633e-08
2800 4.367377570702047e-08
2810 5.028298488696237e-08
2820 5.767055100136531e-08
2830 6.5812962191103e-08
2840 7.472697660659833e-08
2850 8.444870758239631e-08
2860 9.4714266651863e-08
2870 1.054765590424722e-07
2880 1.172937373894456e-07
2890 1.303525039020315e-07
2930 1.884309881461377e-07
2950 2.162897203561442e-07
2960 2.2932404419862e-07
3000 2.771906224552367e-07
3010 2.87559117850833e-07
3020 2.958302331990126e-07
