"Time Step" "point-gw-out"
2890 1.635716095904627e-08
2900 1.839230812095138e-08
2910 2.053528724843545e-08
2920 2.272234311817556e-08
2930 2.491622019817896e-08
2940 2.71049636069165e-08
2950 2.927131781405024e-08
2960 3.138241311262391e-08
2970 3.338973186828298e-08
2980 3.528824166210143e-08
2990 3.7207477987522e-08
3000 3.910905732595893e-08
3010 4.087229399374337e-08
3020 4.236731854234677e-08
3030 4.356050453679927e-08
3040 4.445042733891569e-08
3050 4.506143014282316e-08
3060 4.54162325524976e-08
3070 4.547894860706947e-08
3080 4.525750085804248e-08
3090 4.474993886560696e-08
3100 4.396886055246796e-08
3110 4.29599431583938e-08
3120 4.178035339919006e-08
3130 4.04423836641854e-08
3140 3.889704203174915e-08
3150 3.719383911970908e-08
3160 3.539372173122501e-08
3170 3.348909061173799e-08
3180 3.151113858734789e-08
3190 2.949168376176203e-08
3200 2.74288716184401e-08
3210 2.5329217834269e-08
3220 2.321863590282192e-08
3230 2.114979480438706e-08
3240 1.914421865478744e-08
3250 1.721475051397192e-08
3260 1.536417926217837e-08
3270 1.3620558014793e-08
3280 1.200963239966768e-08
3290 1.054041032233499e-08
3300 9.209956353117832e-09
3310 8.007543961241481e-09
3320 6.925553019954123e-09
3330 5.957698778757958e-09
3340 5.101618683056586e-09
3350 4.356442762087909e-09
3360 3.713375384961637e-09
3370 3.164505324448896e-09
3380 2.70136712998692e-09
3390 2.315684533016338e-09
3400 1.997422893751377e-09
3410 1.736704335897343e-09
3420 1.52434254108158e-09
3430 1.353628431566278e-09
3440 1.220055612094484e-09
3450 1.119602077714887e-09
3460 1.048073516862758e-09
3470 1.000796556738237e-09
3480 9.747501694690186e-10
3490 9.683275292715621e-10
3500 9.784685284230932e-10
3510 1.002103289238221e-09
3520 1.038068297987138e-09
3530 1.085854073323844e-09
3540 1.146001071816727e-09
3550 1.218691814131034e-09
3560 1.304239827248921e-09
3570 1.402461258237508e-09
3580 1.516749170704657e-09
3590 1.647033620599814e-09
3600 1.79282455547991e-09
0 0
10 2.980380157079077e-13
20 6.147449628339519e-13
30 9.063464497145735e-13
40 1.171765267281299e-12
50 1.41750359280296e-12
60 1.651658844414872e-12
70 1.88160186216646e-12
80 2.112842669918513e-12
90 2.349120030442631e-12
100 2.592724429248405e-12
110 2.845582276755909e-12
120 3.110003790954274e-12
130 3.388182963359743e-12
140 3.682415483652335e-12
150 3.995413375146306e-12
160 4.330447025274742e-12
170 4.691478542456773e-12
180 5.08303945809252e-12
190 5.510415040932415e-12
200 5.979970425090686e-12
210 6.499371353607675e-12
220 7.077557290235958e-12
230 7.724989918578284e-12
240 8.453985775314088e-12
250 9.278153766112407e-12
260 1.021248970806132e-11
270 1.127338673800882e-11
280 1.247905338092048e-11
290 1.385122485458856e-11
300 1.541500434243392e-11
310 1.719987693937775e-11
320 1.924061777958119e-11
330 2.157761816445891e-11
340 2.425746062351131e-11
350 2.733357984396889e-11
360 3.08672150339806e-11
