nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,mean-velocity-magnitude
1,-0.021212997,-0.021212997,0.006562001,0.877649546
2,-0.021189971,-0.021189971,0.006562001,1.238414049
3,-0.021162361,-0.021162363,0.006562001,1.963040352
4,-0.021129269,-0.021129267,0.006562,2.505075455
5,-0.02108961,-0.021089612,0.006562001,2.928156376
6,-0.021042114,-0.021042114,0.006562,3.261668682
7,-0.020985276,-0.020985276,0.006562001,3.504824877
8,-0.02090802,-0.02090802,0.006562,3.69961071
9,-0.020785252,-0.020785252,0.006562001,3.861249447
10,-0.020633833,-0.020633835,0.006562001,4.011407375
11,-0.020572862,-0.020572864,0.006562001,4.057310581
12,-0.020375982,-0.020375984,0.006562001,4.166012764
13,-0.020316862,-0.020316862,0.006562001,4.189035416
14,-0.020137088,-0.020137088,0.006562001,4.244439125
15,-0.019967264,-0.019967264,0.006562001,4.285722733
16,-0.019869238,-0.019869238,0.006562001,4.309581757
17,-0.019798733,-0.019798733,0.006562001,0.260395676
18,-0.019699417,-0.019699419,0.006562001,0.259585202
19,-0.019489368,-0.019489368,0.006562,0.273947418
20,-0.019200001,-0.019200001,0.006562,0.323340327
21,-0.01888,-0.01888,0.006562,0.403832883
22,-0.01856,-0.01856,0.006562,0.47288546
23,-0.018239999,-0.018239999,0.006562,0.484786987
24,-0.01792,-0.01792,0.006562,0.430615753
25,-0.0176,-0.0176,0.006562,0.363200992
26,-0.017279999,-0.017279999,0.006562,0.333063126
27,-0.016960001,-0.016960001,0.006562,0.340999216
28,-0.01664,-0.01664,0.006562,0.373453349
29,-0.016319999,-0.016319999,0.006562,0.419492811
30,-0.016000001,-0.016000001,0.006562,0.471040309
31,-0.01568,-0.01568,0.006562,0.522237837
32,-0.01536,-0.01536,0.006562,0.56916821
33,-0.01504,-0.01504,0.006562,0.608700931
34,-0.01472,-0.01472,0.006562,0.636144579
35,-0.0144,-0.0144,0.006562,0.643647969
36,-0.01408,-0.01408,0.006562,0.626379728
37,-0.01376,-0.01376,0.006562,0.589514196
38,-0.01344,-0.01344,0.006562,0.545402408
39,-0.01312,-0.01312,0.006562,0.505693913
40,-0.0128,-0.0128,0.006562,0.479046822
41,-0.01248,-0.01248,0.006562,0.468872964
42,-0.01216,-0.01216,0.006562,0.473176956
43,-0.01184,-0.01184,0.006562,0.488026202
44,-0.01152,-0.01152,0.006562,0.511508584
45,-0.0112,-0.0112,0.006562,0.545205712
46,-0.01088,-0.01088,0.006562,0.594076634
47,-0.01056,-0.01056,0.006562,0.639966786
48,-0.01024,-0.01024,0.006562,0.645294666
49,-0.00992,-0.00992,0.006562,0.620900571
50,-0.0096,-0.0096,0.006562,0.601033747
51,-0.00928,-0.00928,0.006562,0.600801826
52,-0.00896,-0.00896,0.006562,0.625372529
53,-0.00864,-0.00864,0.006562,0.675033867
54,-0.00832,-0.00832,0.006562,0.739364624
55,-0.008,-0.008,0.006562,0.796812177
56,-0.00768,-0.00768,0.006562,0.814854503
57,-0.00736,-0.00736,0.006562,0.777430773
58,-0.00704,-0.00704,0.006562,0.692525804
59,-0.00672,-0.00672,0.006562,0.582050502
60,-0.0064,-0.0064,0.006562,0.48463124
61,-0.00608,-0.00608,0.006562,0.450862706
62,-0.00576,-0.00576,0.006562,0.471303463
63,-0.00544,-0.00544,0.006562,0.468145609
64,-0.00512,-0.00512,0.006562,0.403973788
65,-0.0048,-0.0048,0.006562,0.324599415
66,-0.00448,-0.00448,0.006562,0.29777208
67,-0.00416,-0.00416,0.006562,0.334424883
68,-0.00384,-0.00384,0.006562,0.383080751
69,-0.00352,-0.00352,0.006562,0.391947031
70,-0.003261731,-0.003261731,0.006562,0.351067215
71,-0.003110328,-0.003110328,0.006562,0.298898369
72,-0.00304391,-0.00304391,0.006562001,0.269464493
73,-0.002989858,-0.002989858,0.006562001,0.237547964
74,-0.002944678,-0.002944678,0.006562001,0.201815784
75,-0.002906908,-0.002906908,0.006562,0.161276132
76,-0.002875368,-0.002875368,0.006562,0.114785299
77,-0.002849019,-0.002849019,0.006562,0.063664667
78,-0.002827035,-0.002827035,0.006562,0.033647299
