"Time Step" "point-pressure-c"
3250 -9752.8173828125
3260 -6777.61376953125
3270 -3521.17333984375
3280 -6037.07763671875
3290 -10612.5859375
3300 -9363.7978515625
3310 -8052.0302734375
3320 -7532.685546875
3330 -7222.90380859375
3340 -5231.080078125
3350 -5971.57568359375
3360 -7041.92041015625
3370 -8140.697265625
3380 -9111.177734375
3390 -9516.7021484375
3400 -7188.560546875
3410 -7701.634765625
3420 -9246.771484375
3430 -8103.4345703125
3440 -7191.55712890625
3450 -5760.78857421875
3460 -7606.16455078125
3470 -7368.1494140625
3480 -8032.5595703125
3490 -8325.357421875
3500 -10020.900390625
3510 -12399.5166015625
3520 -10657.2548828125
3530 -7783.50390625
3540 -4332.78125
3550 -5906.71875
3560 -8195.2939453125
3570 -7913.912109375
3580 -9229.6171875
3590 -10239.423828125
3600 -10859.8359375
730 -8921.3271484375
740 -5528.7822265625
750 -1565.536010742188
760 -6718.25830078125
770 -11239.787109375
780 -11123.0908203125
790 -12045.76171875
800 -10715.205078125
810 -9503.1220703125
820 -7652.1220703125
830 -5555.38134765625
840 -2426.569091796875
850 -4714.169921875
860 -8727.330078125
870 -12116.1904296875
880 -10973.51953125
890 -8509.4599609375
900 -9112.376953125
910 -8302.19140625
920 -7491.93701171875
930 -5830.11962890625
940 -9880.3466796875
950 -10796.2080078125
960 -12427.970703125
970 -11423.0068359375
980 -8814.4697265625
990 -7738.8017578125
1000 -7083.20458984375
1010 -6214.5654296875
1020 -3825.850830078125
1030 -7226.4150390625
1040 -8601.5185546875
1050 -7927.62890625
1060 -8230.75
1070 -8469.28515625
1080 -10982.080078125
1090 -10733.0673828125
1100 -7145.30029296875
1110 -3806.023681640625
1120 -8709.591796875
1130 -10043.2529296875
1140 -8693.7275390625
1150 -8603.0341796875
1160 -8876.9169921875
1170 -9510.3720703125
1180 -8828.5166015625
1190 -7452.8681640625
1200 -5120.939453125
1210 -7723.05810546875
1220 -7600.4599609375
1230 -8759.4169921875
1240 -10062.8115234375
1250 -9690.1884765625
1260 -10610.10546875
1270 -11124.15234375
1280 -7238.07177734375
1290 -2411.166259765625
1300 -5328.931640625
1310 -7136.06298828125
1320 -7084.45703125
1330 -8514.5146484375
1340 -9988.49609375
1350 -11681.80078125
1360 -8650.2841796875
1370 -6184.6181640625
1380 -4470.966796875
1390 -5852.3720703125
1400 -7863.87109375
1410 -9165.927734375
1420 -9291.8798828125
1430 -8390.4033203125
1440 -9681.43359375
1450 -8271.380859375
1460 -5434.26904296875
1470 -627.112548828125
1480 -2570.54541015625
1490 -5525.3232421875
1500 -7887.21337890625
1510 -9276.8515625
1520 -9450.185546875
1530 -10164.26171875
1540 -9279.630859375
1550 -5783.02685546875
1560 -4034.85595703125
1570 -8839.3671875
1580 -9990.3095703125
1590 -10753.484375
1600 -9365.9140625
1610 -7852.927734375
1620 -8861.11328125
1630 -9034.169921875
1640 -7160.966796875
1650 -3240.832763671875
1660 -4377.1708984375
1670 -8628.1640625
1680 -8709.44921875
1690 -7332.634765625
1700 -8511.498046875
1710 -9795.3857421875
1720 -9635.5234375
1730 -7323.40673828125
1740 -4293.162109375
1750 -6311.8037109375
1760 -6441.111328125
1770 -5039.9296875
1780 -5807.47021484375
1790 -7852.658203125
1800 -12499.3779296875
1810 -12679.3662109375
1820 -8121.212890625
1830 -2170.06787109375
1840 -5502.09130859375
1850 -8045.31396484375
1860 -6996.4375
1870 -9301.8935546875
1880 -8833.0751953125
1890 -9453.423828125
1900 -7828.421875
1910 -7338.52734375
1920 -4222.54638671875
1930 -8190.3759765625
1940 -8753.595703125
1950 -7415.685546875
1960 -6730.048828125
1970 -8408.072265625
1980 -11822.1640625
1990 -11184.763671875
2000 -7775.8603515625
2010 -4413.01806640625
2020 -7778.43359375
2030 -8647.8134765625
2040 -10524.63671875
2050 -11014.1865234375
2060 -7416.94873046875
2070 -9113.298828125
2080 -9193.037109375
2090 -5617.44921875
2100 -5212.900390625
2110 -9346.1552734375
2120 -10367.6396484375
2130 -10821.9814453125
2140 -7688.794921875
2150 -7903.6240234375
2160 -10618.1953125
2170 -11080.6416015625
2180 -8466.888671875
2190 -3367.22021484375
2200 -4964.64892578125
2210 -7796.7880859375
2220 -7579.59814453125
2230 -6460.6962890625
2240 -7824.4755859375
2250 -9926.3935546875
2260 -10486.41796875
2270 -8079.5810546875
2280 -5445.73046875
2290 -6599.7158203125
2300 -7822.85205078125
2310 -8879.5771484375
2320 -10546.6650390625
2330 -10907.0390625
2340 -9458.1318359375
2350 -8254.349609375
2360 -7562.7509765625
2370 -5623.25
2380 -6628.9560546875
2390 -8466.0849609375
2400 -8575.7666015625
2410 -5916.78759765625
2420 -4415.43701171875
