"Time Step" "point-tau_vm-a"
3250 5.927587509155273
3260 5.930562019348145
3270 5.928743839263916
3280 5.921770572662354
3290 5.915939807891846
3300 5.904046535491943
3310 5.893767833709717
3320 5.895236968994141
3330 5.907410621643066
3340 5.922087669372559
3350 5.940701484680176
3360 5.938367366790771
3370 5.932368755340576
3380 5.928090572357178
3390 5.927036762237549
3400 5.938728809356689
3410 5.943821907043457
3420 5.940415382385254
3430 5.93683910369873
3440 5.934054374694824
3450 5.933814525604248
3460 5.935745239257812
3470 5.933945655822754
3480 5.934038639068604
3490 5.933411121368408
3500 5.929917812347412
3510 5.923399925231934
3520 5.930023193359375
3530 5.940237045288086
3540 5.939929962158203
3550 5.928856372833252
3560 5.921190738677979
3570 5.917069911956787
3580 5.918605804443359
3590 5.917092323303223
3600 5.914950847625732
730 5.906625270843506
740 5.912542819976807
750 5.910669803619385
760 5.903090476989746
770 5.898748397827148
780 5.886685371398926
790 5.876586437225342
800 5.877415180206299
810 5.890316009521484
820 5.902469158172607
830 5.920777320861816
840 5.921568870544434
850 5.913647651672363
860 5.907816886901855
870 5.905478000640869
880 5.917832851409912
890 5.926076412200928
900 5.922523021697998
910 5.917774200439453
920 5.916555881500244
930 5.917515277862549
940 5.916459560394287
950 5.913555145263672
960 5.915306568145752
970 5.915822505950928
980 5.912834167480469
990 5.905797481536865
1000 5.910262107849121
1010 5.918368339538574
1020 5.918020248413086
1030 5.908850193023682
1040 5.900254726409912
1050 5.892795562744141
1060 5.895371437072754
1070 5.900564193725586
1080 5.903843879699707
1090 5.908100128173828
1100 5.912899971008301
1110 5.910202980041504
1120 5.90280818939209
1130 5.902712345123291
1140 5.892859935760498
1150 5.879793643951416
1160 5.878012657165527
1170 5.890629291534424
1180 5.906931400299072
1190 5.918033599853516
1200 5.909953594207764
1210 5.904087066650391
1220 5.901056289672852
1230 5.901437282562256
1240 5.912333965301514
1250 5.918306350708008
1260 5.918245792388916
1270 5.915239810943604
1280 5.91429615020752
1290 5.914007186889648
1300 5.917572498321533
1310 5.918526172637939
1320 5.920837879180908
1330 5.922831058502197
1340 5.920077800750732
1350 5.913417339324951
1360 5.918067455291748
1370 5.9254469871521
1380 5.923351764678955
1390 5.913239479064941
1400 5.904684066772461
1410 5.897837162017822
1420 5.900482654571533
1430 5.903351306915283
1440 5.901218891143799
1450 5.908324241638184
1460 5.914235591888428
1470 5.912536144256592
1480 5.9057297706604
1490 5.902121067047119
1500 5.888974189758301
1510 5.877057552337646
1520 5.876985549926758
1530 5.889687538146973
1540 5.901813507080078
1550 5.921597957611084
1560 5.92383861541748
1570 5.915172100067139
1580 5.908891201019287
1590 5.906139850616455
1600 5.91847562789917
1610 5.928467750549316
1620 5.928552627563477
1630 5.92301082611084
1640 5.922423362731934
1650 5.92686653137207
1660 5.925014972686768
1670 5.919703483581543
1680 5.919995307922363
1690 5.918330192565918
1700 5.914105415344238
1710 5.906723976135254
1720 5.909382820129395
1730 5.914725303649902
1740 5.912681102752686
1750 5.905808448791504
1760 5.896944046020508
1770 5.894950866699219
1780 5.900777339935303
1790 5.902286529541016
1800 5.899131298065186
1810 5.906541347503662
1820 5.913829326629639
1830 5.914488315582275
1840 5.909115314483643
1850 5.904598712921143
1860 5.891256332397461
1870 5.879040718078613
1880 5.879985332489014
1890 5.890161037445068
1900 5.903488159179688
1910 5.923921585083008
1920 5.925285339355469
1930 5.920142650604248
1940 5.916281700134277
1950 5.915015697479248
1960 5.926292419433594
1970 5.933659076690674
1980 5.930981159210205
1990 5.926193714141846
2000 5.92576789855957
2010 5.927287101745605
2020 5.927706241607666
2030 5.925757884979248
2040 5.927865505218506
2050 5.927567481994629
2060 5.924301624298096
2070 5.917140483856201
2080 5.921241283416748
2090 5.927906036376953
2100 5.924256801605225
2110 5.913675308227539
2120 5.907052993774414
2130 5.904311656951904
2140 5.907027721405029
2150 5.903899192810059
2160 5.901396751403809
2170 5.911766529083252
2180 5.917843818664551
2190 5.917462825775146
2200 5.911287307739258
2210 5.903306484222412
2220 5.889105319976807
2230 5.8783278465271
2240 5.8797926902771
2250 5.888721942901611
2260 5.901468276977539
2270 5.924673557281494
2280 5.933383941650391
2290 5.930339813232422
2300 5.925432205200195
2310 5.922754287719727
2320 5.933018684387207
2330 5.941790103912354
2340 5.941243171691895
2350 5.934988498687744
2360 5.934289455413818
2370 5.936224460601807
2380 5.934886455535889
2390 5.931767463684082
2400 5.934895992279053
