"Time Step" "point-ho-out"
3250 0.001345994765870273
3260 0.001250843284651637
3270 0.00116109917871654
3280 0.001077339285984635
3290 0.001000322867184877
3300 0.0009306417778134346
3310 0.0008683351916261017
3320 0.0008135837852023542
3330 0.0007664232980459929
3340 0.0007265659514814615
3350 0.0006933790864422917
3360 0.000666051113512367
3370 0.0006438085110858083
3380 0.0006260002264752984
3390 0.0006120572797954082
3400 0.0006014423561282456
3410 0.0005939091206528246
3420 0.0005893413908779621
3430 0.0005876398645341396
3440 0.0005885345162823796
3450 0.000591704563703388
3460 0.0005967160104773939
3470 0.0006029830547049642
3480 0.0006098074372857809
3490 0.0006169606349430978
3500 0.0006247413693927228
3510 0.0006340016843751073
3520 0.0006456663832068443
3530 0.0006603649817407131
3540 0.0006788853206671774
3550 0.0007020804332569242
3560 0.0007305099279619753
3570 0.0007638499955646694
3580 0.0008005897398106754
3590 0.0008383159292861819
3600 0.0008732894202694297
730 1.895730239453997e-09
740 1.916171665783395e-09
750 1.927110027111212e-09
760 1.92809190835419e-09
770 1.918718961491095e-09
780 1.898982082693124e-09
790 1.869267851617451e-09
800 1.829832840805068e-09
810 1.781256253607921e-09
820 1.724507980860324e-09
830 1.660972692718587e-09
840 1.592153631158055e-09
850 1.520302661539574e-09
860 1.446566644247582e-09
870 1.371266766803103e-09
880 1.295421991898138e-09
890 1.220420653424981e-09
900 1.147777428656127e-09
910 1.079845546314573e-09
920 1.018476414316183e-09
930 9.649135934708397e-10
940 9.196692851709543e-10
950 8.832081732634833e-10
960 8.541821694407759e-10
970 8.334039569568574e-10
980 8.212776014815404e-10
990 8.185718769482264e-10
1000 8.270051865544303e-10
1010 8.469455692328154e-10
1020 8.781710358896078e-10
1030 9.207224982432649e-10
1040 9.739502537797762e-10
1050 1.039528130242218e-09
1060 1.118706238756317e-09
1070 1.208576572153675e-09
1080 1.306770580633554e-09
1090 1.413489436608018e-09
1100 1.528146942320063e-09
1110 1.651520364909231e-09
1120 1.784960290684978e-09
1130 1.929860049543208e-09
1140 2.085887240710349e-09
1150 2.250479802512473e-09
1160 2.423041545185356e-09
1170 2.603317783567149e-09
1180 2.792936326656559e-09
1190 2.994098080577601e-09
1200 3.205409049300556e-09
1210 3.425168815240909e-09
1220 3.651099866885943e-09
1230 3.879911503190669e-09
1240 4.111895712810565e-09
1250 4.348732041137282e-09
1260 4.590848146079907e-09
1270 4.840314815623969e-09
1280 5.103432343389613e-09
1290 5.384569234934133e-09
1300 5.684305470765594e-09
1310 6.003143315780335e-09
1320 6.343433778255303e-09
1330 6.708378741393517e-09
1340 7.103498678162623e-09
1350 7.538408119955875e-09
1360 8.024848341392499e-09
1370 8.568827425392556e-09
1380 9.164899950064864e-09
1390 9.814261403562341e-09
1400 1.051550047037608e-08
1410 1.126378545990292e-08
1420 1.206040867174352e-08
1430 1.291289564164799e-08
1440 1.382807290895016e-08
1450 1.480209643744956e-08
1460 1.582227149299342e-08
1470 1.686970030334578e-08
1480 1.794135684463072e-08
1490 1.905941893198815e-08
1500 2.025008427608554e-08
1510 2.152653877374178e-08
1520 2.285896805176435e-08
1530 2.422140710223175e-08
1540 2.561396428291118e-08
1550 2.704278934118065e-08
1560 2.852183911272732e-08
1570 3.005697735147805e-08
1580 3.166888618011399e-08
1590 3.337164855565788e-08
1600 3.51568267831226e-08
1610 3.700969841702317e-08
1620 3.892222011359081e-08
1630 4.088170868499219e-08
1640 4.287722532581029e-08
1650 4.493332284027929e-08
1660 4.708109813122974e-08
1670 4.933954045327482e-08
1680 5.172354278215607e-08
1690 5.425382099133458e-08
1700 5.695723359622207e-08
1710 5.98622094116763e-08
1720 6.299173094248545e-08
1730 6.635420390921354e-08
1740 6.994730483711464e-08
1750 7.376521438118289e-08
1760 7.781068234180566e-08
1770 8.207419455175113e-08
1780 8.658915362502739e-08
1790 9.143288792756721e-08
1800 9.673613021732308e-08
1810 1.026013194405095e-07
1820 1.090470789222309e-07
1830 1.159695557362284e-07
1840 1.232220938618411e-07
1850 1.307279404727524e-07
1860 1.385277528243023e-07
1870 1.465952834678319e-07
1880 1.550390038573823e-07
1890 1.638292985717271e-07
1900 1.728302265746606e-07
1910 1.814451167092557e-07
1920 1.895036660926053e-07
1930 1.969744545249341e-07
1940 2.037539985622061e-07
1950 2.097112172805282e-07
1960 2.141439381375676e-07
1970 2.167718093915028e-07
1980 2.180768916559828e-07
