"Time Step" "point-shear-a"
3250 990.1106567382812
3260 990.6445922851562
3270 990.4371337890625
3280 989.541015625
3290 988.6829833984375
3300 986.6376953125
3310 985.0050659179688
3320 985.3631591796875
3330 987.408935546875
3340 989.8781127929688
3350 992.8348388671875
3360 992.3839111328125
3370 991.413330078125
3380 990.6302490234375
3390 990.456298828125
3400 992.3096923828125
3410 993.1904296875
3420 992.7503051757812
3430 992.182373046875
3440 991.6884155273438
3450 991.820068359375
3460 992.1820068359375
3470 991.8900146484375
3480 991.900146484375
3490 991.8106079101562
3500 991.1700439453125
3510 990.0106201171875
3520 990.9005126953125
3530 992.4298706054688
3540 992.3922119140625
3550 990.5928344726562
3560 989.343505859375
3570 988.617919921875
3580 988.64599609375
3590 988.290771484375
3600 988.1114501953125
730 986.6196899414062
740 987.6033325195312
750 987.345458984375
760 986.3936767578125
770 985.7957763671875
780 983.733642578125
790 982.1006469726562
800 982.3580322265625
810 984.521240234375
820 986.5681762695312
830 989.47021484375
840 989.4979248046875
850 988.244873046875
860 987.2079467773438
870 986.8349609375
880 988.8222045898438
890 990.1522827148438
900 989.7205200195312
910 988.98974609375
920 988.745361328125
930 989.015380859375
940 988.9427490234375
950 988.4485473632812
960 988.67138671875
970 988.7741088867188
980 988.2269897460938
990 986.9991455078125
1000 987.5811157226562
1010 988.814697265625
1020 988.7844848632812
1030 987.2901611328125
1040 985.9503173828125
1050 984.7240600585938
1060 984.9391479492188
1070 985.5862426757812
1080 986.2205810546875
1090 986.8535766601562
1100 987.6260986328125
1110 987.23876953125
1120 986.29736328125
1130 986.4267578125
1140 984.775390625
1150 982.6002197265625
1160 982.3968505859375
1170 984.4729614257812
1180 987.10595703125
1190 988.8206787109375
1200 987.5228271484375
1210 986.66748046875
1220 986.1122436523438
1230 986.2258911132812
1240 987.9876098632812
1250 988.9929809570312
1260 989.0206909179688
1270 988.5353393554688
1280 988.3385009765625
1290 988.4715576171875
1300 989.147216796875
1310 989.3314208984375
1320 989.65283203125
1330 989.9471435546875
1340 989.430908203125
1350 988.2467651367188
1360 988.8419189453125
1370 989.9560546875
1380 989.6553955078125
1390 988.0028076171875
1400 986.6519775390625
1410 985.50537109375
1420 985.7086181640625
1430 986.0235595703125
1440 985.8279418945312
1450 986.8971557617188
1460 987.8870239257812
1470 987.661865234375
