"Time Step" "gw-hemolysis"
3250 0.002733173777557485
3260 0.002971462349832554
3270 0.003215087217988864
3280 0.003464540503310797
3290 0.003724042367206002
3300 0.003994687562554966
3310 0.004275154347704815
3320 0.00456552439508471
3330 0.004864265508809342
3340 0.005168939443733906
3350 0.005474380231085497
3360 0.005773105831573268
3370 0.006059392683840817
3380 0.006323509471044199
3390 0.006557431757811097
3400 0.006755639139055359
3410 0.006915328599768351
3420 0.007039609637224772
3430 0.007133806196659758
3440 0.007202278268653435
3450 0.007247778927678565
3460 0.007270076903428022
3470 0.007271562010344171
3480 0.007257232098213271
3490 0.007234050890279293
3500 0.007211364015997056
3510 0.007198506227133646
3520 0.007203695013831046
3530 0.007231753731445955
3540 0.00728418381587813
3550 0.007361019321956564
3560 0.007459319798195236
3570 0.00757522115349623
3580 0.007705528285467792
3590 0.00784634631138669
3600 0.007992459025219233
730 2.252219120276745e-06
740 2.284231955512309e-06
750 2.316317433199936e-06
760 2.348456977986671e-06
770 2.380609474671227e-06
780 2.412867990968872e-06
790 2.445157074013596e-06
800 2.477511569983325e-06
810 2.509930158572636e-06
820 2.542418218161772e-06
830 2.57493882598921e-06
840 2.607564166286806e-06
850 2.640232101200627e-06
860 2.672903367402879e-06
870 2.705646609801614e-06
880 2.738428163780001e-06
890 2.77127349802384e-06
900 2.804177231594728e-06
910 2.837121166219773e-06
920 2.870093594572248e-06
930 2.903135608739889e-06
940 2.936218969287229e-06
950 2.969274311406281e-06
960 3.002377855584048e-06
970 3.03550637568311e-06
980 3.068675851363699e-06
990 3.101845354315217e-06
1000 3.135062397583245e-06
1010 3.168260805105305e-06
1020 3.20151302962484e-06
1030 3.23473684257184e-06
1040 3.267907589470382e-06
1050 3.30110662769791e-06
1060 3.334306801755843e-06
1070 3.36749594855167e-06
1080 3.400676983642039e-06
1090 3.433839893481105e-06
1100 3.466997504785661e-06
1110 3.500175433983197e-06
1120 3.533302078924715e-06
1130 3.566395396596493e-06
1140 3.599533202506705e-06
1150 3.632635547730652e-06
1160 3.665734547172745e-06
1170 3.698840648298752e-06
1180 3.731920230138156e-06
1190 3.764981172640577e-06
1200 3.798089577108102e-06
1210 3.831157914458846e-06
1220 3.864178548495484e-06
1230 3.897234673237616e-06
1240 3.930276723017747e-06
1250 3.963339115633588e-06
1260 3.996371353660973e-06
1270 4.029402101952491e-06
1280 4.062413180426245e-06
1290 4.095527545405574e-06
1300 4.12854942115872e-06
1310 4.161506074372302e-06
1320 4.194561787249483e-06
1330 4.227566654051042e-06
1340 4.260574308579569e-06
1350 4.29361483073541e-06
1360 4.32670939648215e-06
1370 4.359809985113359e-06
1380 4.393063764321245e-06
1390 4.426324878717597e-06
1400 4.459615964610969e-06
1410 4.493037445542342e-06
1420 4.526609589413081e-06
1430 4.560305043665138e-06
1440 4.594161758487224e-06
1450 4.628173098210663e-06
1460 4.662415679911769e-06
1470 4.696878103355461e-06
1480 4.731528380772077e-06
1490 4.766397325493284e-06
1500 4.801493380018939e-06
1510 4.836865042701098e-06
1520 4.872454034838078e-06
1530 4.908309710278675e-06
1540 4.944409182427803e-06
1550 4.980693006862948e-06
1560 5.01732376122958e-06
1570 5.054091115920502e-06
1580 5.091002543989069e-06
1590 5.128207001121855e-06
1600 5.165641987313591e-06
1610 5.20329538816383e-06
1620 5.241176944582626e-06
1630 5.279310055118708e-06
1640 5.317661061014351e-06
1650 5.356352976039267e-06
1660 5.395270812171436e-06
1670 5.434391576134065e-06
1680 5.473831475388221e-06
1690 5.513578473243993e-06
1700 5.553612123369551e-06
1710 5.593946683121494e-06
1720 5.63461087915568e-06
1730 5.67560892238129e-06
1740 5.717031605821718e-06
1750 5.758720899880038e-06
1760 5.800710685528343e-06
1770 5.843222222297428e-06
1780 5.886110171553772e-06
1790 5.929336269044218e-06
1800 5.973045780026982e-06
1810 6.017183183854089e-06
1820 6.061776849935136e-06
1830 6.106885221585918e-06
1840 6.152402305756233e-06
1850 6.198280081769031e-06
1860 6.244633314489537e-06
1870 6.291414006998037e-06
1880 6.338509443345226e-06
1890 6.385886332994652e-06
1900 6.433436746319687e-06
1910 6.481089535319826e-06
1920 6.528861524279515e-06
1930 6.576549473252856e-06
1940 6.624139994757942e-06
1950 6.671832231935248e-06
1960 6.719594033841626e-06
1970 6.767459882069335e-06
1980 6.815346980795871e-06
1990 6.863212584877723e-06
2000 6.911170089262208e-06
2010 6.959158435948986e-06
2020 7.007006433801834e-06
2030 7.054551757194793e-06
2040 7.101922791956176e-06
2050 7.148950512777236e-06
2060 7.195704182119845e-06
2070 7.242016701686448e-06
2080 7.288051644482879e-06
2090 7.333754568861645e-06
2100 7.379235835289558e-06
2110 7.42434407835429e-06
2120 7.468909076221668e-06
2130 7.513260681957731e-06
2140 7.557125106629162e-06
2150 7.600577107108506e-06
2160 7.643455627507531e-06
2170 7.685787952676544e-06
2180 7.727588668894755e-06
2190 7.768942002755006e-06
2200 7.809692006406988e-06
2210 7.849832142391315e-06
2220 7.889574806129046e-06
2230 7.928955165089468e-06
2240 7.968053988381712e-06
2250 8.006918422685149e-06
2260 8.045528209897793e-06
2270 8.083979254547751e-06
2280 8.122330073659505e-06
2290 8.160528777079665e-06
2300 8.198428021947953e-06
2310 8.23626313218952e-06
2320 8.273895168065681e-06
2330 8.311343299542979e-06
2340 8.348646422902279e-06
2350 8.385872877599983e-06
2360 8.42300750959242e-06
2370 8.460144072362353e-06
2380 8.497119014580734e-06
2390 8.533874156697745e-06
2400 8.570721277990286e-06
2410 8.607560256646735e-06
2420 8.644512272847123e-06
2430 8.681472266619849e-06
2440 8.718601338158659e-06
2450 8.756021161057353e-06
2460 8.79394415745031e-06
2470 8.832323016470093e-06
2480 8.871204932426005e-06
2490 8.910942573522835e-06
2500 8.951389068349157e-06
2510 8.992849705882022e-06
2520 9.035300536065815e-06
2530 9.078917613659817e-06
2540 9.123852251417783e-06
2550 9.170260258677247e-06
2560 9.218120208543458e-06
2570 9.267338343690246e-06
2580 9.318241224109314e-06
2590 9.370959369017283e-06
2600 9.425430170929709e-06
2610 9.481865492388681e-06
2620 9.540275041461369e-06
2630 9.600650947205573e-06
2640 9.66309029735859e-06
2650 9.727347023374988e-06
2660 9.793392357358433e-06
2670 9.861623631125111e-06
