"Time Step" "point-gw-out"
3250 0.005625593475997448
3260 0.005256854929029942
3270 0.004903500434011221
3280 0.004568533040583134
3290 0.004257630091160536
3300 0.003975427709519863
3310 0.003722875844687223
3320 0.00350028183311224
3330 0.003307963255792856
3340 0.00314569054171443
3350 0.003011542139574885
3360 0.002902795793488622
3370 0.00281656114384532
3380 0.002750533632934093
3390 0.002703564241528511
3400 0.002674723509699106
3410 0.002663116902112961
3420 0.002667186548933387
3430 0.00268606492318213
3440 0.002719628857448697
3450 0.002767135854810476
3460 0.002827538875862956
3470 0.002898906590417027
3480 0.002978429663926363
3490 0.003063602605834603
3500 0.003152788849547505
3510 0.0032446279656142
3520 0.003344323486089706
3530 0.003458761842921376
3540 0.003594223177060485
3550 0.00375581975094974
3560 0.003946156706660986
3570 0.004164517391473055
3580 0.004406111780554056
3590 0.004657324403524399
3600 0.004898533690720797
730 1.29173144403083e-10
740 1.308894520546389e-10
750 1.318661430049772e-10
760 1.320567821760932e-10
770 1.314430370102926e-10
780 1.300224650169213e-10
790 1.277871836125044e-10
800 1.247528469416892e-10
810 1.209533168067267e-10
820 1.164734420022739e-10
830 1.114280334668649e-10
840 1.05934476468672e-10
850 1.000884167212668e-10
860 9.401063955083444e-11
870 8.786425059748026e-11
880 8.173070553674222e-11
890 7.568921184253341e-11
900 6.990677481333307e-11
910 6.454034529035368e-11
920 5.971526745307543e-11
930 5.551993240149322e-11
940 5.197052163619098e-11
950 4.898798380836844e-11
960 4.663198299725835e-11
970 4.498781208672753e-11
980 4.406680575996802e-11
990 4.405459330669714e-11
1000 4.50077301816787e-11
1010 4.683838039643007e-11
1020 4.949814169652456e-11
1030 5.286749857336126e-11
1040 5.697911933943978e-11
1050 6.198257879175273e-11
1060 6.786950862425201e-11
1070 7.451838451855153e-11
1080 8.189189604212999e-11
1090 8.996204475808511e-11
1100 9.876833378941186e-11
1110 1.083136774715499e-10
1120 1.186019199517219e-10
1130 1.297402740796372e-10
1140 1.416907979834292e-10
1150 1.544022965038749e-10
1160 1.678549244044092e-10
1170 1.820663619866991e-10
1180 1.972359775503918e-10
1190 2.134630944228277e-10
1200 2.306443092070509e-10
1210 2.485633365800766e-10
1220 2.66916072577672e-10
1230 2.856545555651735e-10
1240 3.049258623377682e-10
1250 3.248738500438719e-10
1260 3.454696251292688e-10
1270 3.670360126939443e-10
1280 3.900452738569982e-10
1290 4.14640571877456e-10
1300 4.407627596236807e-10
1310 4.685319354713613e-10
1320 4.985131751844563e-10
1330 5.311479589487078e-10
1340 5.671406122509381e-10
1350 6.072142788582369e-10
1360 6.52064846562439e-10
1370 7.025853787645531e-10
1380 7.591586803634698e-10
1390 8.220175096163018e-10
1400 8.905016168903046e-10
1410 9.643190690411529e-10
1420 1.044066721966885e-09
1430 1.130584958985992e-09
1440 1.223967371899448e-09
1450 1.323476439551996e-09
1460 1.427646556528828e-09
1470 1.53573098682358e-09
1480 1.649074654608285e-09
1490 1.769504431869962e-09
1500 1.90026550050959e-09
1510 2.042742863750391e-09
1520 2.193330850275288e-09
1530 2.348194527712621e-09
1540 2.506900242948973e-09
1550 2.672421173244288e-09
1560 2.845811142293542e-09
1570 3.028029160745405e-09
1580 3.222544009418016e-09
1590 3.429867723170332e-09
1600 3.648821245150202e-09
1610 3.878585008720847e-09
1620 4.118365204419661e-09
1630 4.366198069760685e-09
1640 4.617717319632675e-09
1650 4.877294568217394e-09
1660 5.151232329581035e-09
1670 5.44245493117046e-09
1680 5.753710841105431e-09
1690 6.088892057221074e-09
1700 6.452864909078926e-09
1710 6.85077594653194e-09
1720 7.286176106902076e-09
1730 7.759823894559759e-09
1740 8.269891438317245e-09
1750 8.814280860747203e-09
1760 9.391719402174203e-09
1770 1.000137839213266e-08
1780 1.065064214600397e-08
1790 1.134760374554844e-08
1800 1.211106237519743e-08
1810 1.296294893649019e-08
