"Time Step" "point-tau_vm-e"
3250 6.354009628295898
3260 4.83201265335083
3270 4.881584644317627
3280 4.827852249145508
3290 8.407032012939453
3300 5.279630184173584
3310 12.86171531677246
3320 3.373769521713257
3330 5.104154109954834
3340 4.280418872833252
3350 8.322681427001953
3360 6.362651348114014
3370 3.303494691848755
3380 3.717774152755737
3390 7.502861976623535
3400 4.54443359375
3410 7.659032821655273
3420 7.881189823150635
3430 6.130388259887695
3440 2.541717290878296
3450 4.663591384887695
3460 3.839179754257202
3470 5.550339698791504
3480 9.569598197937012
3490 8.194706916809082
3500 3.604601621627808
3510 2.98055624961853
3520 3.396490335464478
3530 4.67992115020752
3540 5.54966402053833
3550 7.362936973571777
3560 8.193589210510254
3570 11.7154655456543
3580 9.45891284942627
3590 2.934181928634644
3600 2.610270023345947
730 6.7156982421875
740 8.092880249023438
750 4.076679229736328
760 6.200649738311768
770 10.08586883544922
780 17.2070255279541
790 22.73194313049316
800 4.458469867706299
810 4.285497188568115
820 8.148712158203125
830 9.54019832611084
840 4.732501983642578
850 2.943274974822998
860 10.02974414825439
870 6.829201698303223
880 10.5997838973999
890 10.08391952514648
900 5.317825317382812
910 13.97968864440918
920 3.445433855056763
930 10.66991233825684
940 5.454000473022461
950 4.810909748077393
960 7.499119281768799
970 14.05661773681641
980 8.014404296875
990 3.598371505737305
1000 9.453958511352539
1010 10.77952480316162
1020 7.386011600494385
1030 4.439057350158691
1040 4.09441089630127
1050 7.391183853149414
1060 19.10432434082031
1070 4.332499980926514
1080 2.418165683746338
1090 4.674609661102295
1100 7.647809028625488
1110 5.311088085174561
1120 7.335027694702148
1130 13.85323238372803
1140 7.072932243347168
1150 9.403204917907715
1160 5.913261413574219
1170 3.718970537185669
1180 2.887279033660889
1190 5.429814338684082
1200 8.154088973999023
1210 5.940465927124023
1220 8.311881065368652
1230 9.468447685241699
1240 20.68752479553223
1250 5.98572301864624
1260 3.143198251724243
1270 2.967269897460938
1280 7.253552436828613
1290 7.720122337341309
1300 8.167143821716309
1310 11.52352333068848
1320 10.74415016174316
1330 8.114424705505371
1340 3.970247268676758
1350 5.420374393463135
1360 2.869368553161621
1370 3.070344686508179
1380 6.623568058013916
1390 10.0984354019165
1400 8.146111488342285
1410 7.743427276611328
1420 9.619095802307129
1430 2.575031518936157
1440 3.360846996307373
1450 4.973823547363281
1460 7.636765003204346
1470 8.412435531616211
1480 7.539310932159424
1490 7.538693428039551
1500 7.996042251586914
1510 7.555867671966553
1520 5.476364135742188
1530 5.763299465179443
1540 2.869101285934448
1550 7.76309871673584
1560 5.27292537689209
1570 8.376897811889648
1580 10.71350288391113
1590 12.84618282318115
1600 10.21933460235596
1610 6.060020446777344
1620 5.730196475982666
1630 5.842162132263184
1640 9.578042984008789
1650 3.686937093734741
1660 6.978131771087646
1670 4.810811042785645
1680 9.218923568725586
1690 8.603707313537598
1700 4.70984935760498
1710 3.734196662902832
1720 3.323889493942261
1730 4.108184814453125
1740 5.858017921447754
1750 7.097382545471191
1760 6.969067573547363
1770 9.821315765380859
1780 9.546787261962891
1790 3.355252265930176
1800 2.847953796386719
1810 2.797877311706543
1820 3.853893756866455
1830 6.251022815704346
1840 3.509636640548706
1850 7.353933811187744
1860 7.838747978210449
1870 12.29672050476074
1880 7.736650466918945
1890 3.834522724151611
