"Time Step" "point-tau_vm-out"
2890 0.1829264312982559
2900 0.1830384135246277
2910 0.1829608082771301
2920 0.1826307475566864
2930 0.1822412461042404
2940 0.1815389096736908
2950 0.1807768493890762
2960 0.1795294582843781
2970 0.1777505725622177
2980 0.175386980175972
2990 0.1724550276994705
3000 0.1687923967838287
3010 0.1642930656671524
3020 0.159308984875679
3030 0.15432970225811
3040 0.1495678722858429
3050 0.1451667845249176
3060 0.1413341015577316
3070 0.1384214609861374
3080 0.1363757848739624
3090 0.1352604627609253
3100 0.1351876556873322
3110 0.1359782516956329
3120 0.1373201310634613
3130 0.1391421258449554
3140 0.1410820782184601
3150 0.1425853818655014
3160 0.143515333533287
3170 0.144147202372551
3180 0.1446749269962311
3190 0.1449085772037506
3200 0.1448178738355637
3210 0.1443305164575577
3220 0.1434686332941055
3230 0.141998827457428
3240 0.1397841274738312
3250 0.1369708180427551
3260 0.1337047517299652
3270 0.130241259932518
3280 0.1267430484294891
3290 0.1233867406845093
3300 0.12041375041008
3310 0.1179047748446465
3320 0.116028405725956
3330 0.114865630865097
3340 0.1146140173077583
3350 0.1149607226252556
3360 0.1161838173866272
3370 0.1183784082531929
3380 0.1209539175033569
3390 0.1236997246742249
3400 0.1264222264289856
3410 0.129367470741272
3420 0.1324339210987091
3430 0.1356871724128723
3440 0.1390142738819122
3450 0.1422815471887589
3460 0.1455199271440506
3470 0.1487822234630585
3480 0.1520407646894455
3490 0.1552642285823822
3500 0.1584765464067459
3510 0.1616685390472412
3520 0.164840430021286
3530 0.167993426322937
3540 0.1711986213922501
3550 0.1744402050971985
3560 0.1777095347642899
3570 0.1809714436531067
3580 0.184184342622757
3590 0.1872657239437103
3600 0.190180242061615
0 0.1728240847587585
10 0.1731877475976944
20 0.1736985743045807
30 0.1739058494567871
40 0.173965722322464
50 0.1739747077226639
60 0.1739995628595352
70 0.174028143286705
80 0.1740446239709854
90 0.1740456968545914
100 0.1740323603153229
110 0.1740064173936844
120 0.1739775389432907
130 0.173935204744339
140 0.1738614737987518
150 0.1738010942935944
160 0.173740029335022
170 0.1736903637647629
180 0.1736364215612411
190 0.1735977530479431
200 0.1735516786575317
210 0.1735086590051651
220 0.1734468936920166
230 0.1733705550432205
240 0.1732930094003677
250 0.1732066869735718
260 0.1731322407722473
270 0.173067107796669
280 0.1730001419782639
290 0.1729357689619064
300 0.1728800982236862
310 0.1728570908308029
320 0.172812357544899
330 0.1727779656648636
340 0.1727517247200012
350 0.172754317522049
360 0.172747328877449
370 0.1727459132671356
380 0.172752171754837
390 0.1727617383003235
400 0.1727895438671112
410 0.1727723032236099
420 0.1727657467126846
430 0.1727650165557861
440 0.1727386564016342
450 0.1727356761693954
460 0.1727270185947418
470 0.1727077662944794
480 0.1726959049701691
490 0.1727098077535629
500 0.1726885288953781
510 0.1726887077093124
520 0.1726713925600052
530 0.1726529598236084
540 0.1727165728807449
550 0.1727791875600815
560 0.1728431433439255
570 0.1729190498590469
580 0.1729936301708221
590 0.1730452179908752
600 0.1731183230876923
610 0.1731993705034256
620 0.1732720285654068
630 0.1733723729848862
640 0.1734648197889328
650 0.1735558360815048
660 0.1736562103033066
670 0.1737719625234604
680 0.1738653630018234
690 0.1739616990089417
700 0.1740658134222031
710 0.1741760820150375
720 0.1742928773164749
730 0.1744095087051392
740 0.1745290160179138
750 0.1746600419282913
760 0.174804151058197
770 0.1749253123998642
780 0.1750534474849701
790 0.1751846075057983
800 0.1753108650445938
810 0.1754404604434967
820 0.1755673289299011
830 0.1756936013698578
840 0.1758209019899368
850 0.1759630590677261
860 0.176092728972435
870 0.1762232929468155
880 0.1763425022363663
890 0.1764737963676453
900 0.1765991449356079
910 0.1767210811376572
920 0.1768371313810349
930 0.1769565641880035
940 0.177077978849411
950 0.1771879941225052
960 0.1772869080305099
970 0.1773813813924789
980 0.1774670034646988
990 0.1775434017181396
1000 0.1776083558797836
1010 0.177661195397377
1020 0.1777035593986511
1030 0.1777368038892746
1040 0.1777491122484207
1050 0.1777546405792236
1060 0.177747830748558
1070 0.1777293980121613
1080 0.1776806861162186
1090 0.1776102781295776
1100 0.1775279343128204
1110 0.1775118112564087
1120 0.1775267422199249
1130 0.1775016486644745
1140 0.1774751245975494
1150 0.1774270534515381
1160 0.1773576885461807
1170 0.1772813647985458
1180 0.1771949082612991
1190 0.1771089285612106
1200 0.1770119220018387
1210 0.1769075393676758
1220 0.1767870187759399
1230 0.1766586601734161
1240 0.1765192747116089
1250 0.1763825863599777
1260 0.1762512177228928
1270 0.1761269420385361
1280 0.1760083436965942
1290 0.1759020090103149
1300 0.1758007258176804
1310 0.1756849139928818
1320 0.1755827218294144
1330 0.1754871010780334
1340 0.175400584936142
1350 0.1753152459859848
1360 0.1752308905124664
1370 0.1751502752304077
1380 0.1750767976045609
1390 0.1750044375658035
1400 0.1749160438776016
1410 0.1748298704624176
1420 0.1747394204139709
1430 0.1746432334184647
1440 0.1745480298995972
1450 0.1744474470615387
1460 0.1743475645780563
1470 0.1742446422576904
1480 0.1741432249546051
1490 0.1740282475948334
1500 0.1739147901535034
1510 0.1737973093986511
1520 0.1736722141504288
1530 0.1735484600067139
1540 0.1734223514795303
1550 0.1732958406209946
1560 0.1731693595647812
1570 0.1730446368455887
1580 0.1729179322719574
1590 0.1727923899888992
1600 0.1726670861244202
1610 0.1725419163703918
1620 0.1724172383546829
1630 0.1722925156354904
1640 0.1721667945384979
1650 0.1720399260520935
1660 0.1719166189432144
1670 0.1717931032180786
1680 0.1716731935739517
1690 0.1715560257434845
1700 0.1714416146278381
1710 0.1713331490755081
1720 0.1712324470281601
1730 0.1711457669734955
1740 0.1710653007030487
1750 0.1710064113140106
1760 0.1709684729576111
1770 0.1709518730640411
1780 0.1709533929824829
1790 0.1709751486778259
1800 0.1710187792778015
1810 0.1710819453001022
1820 0.1711563318967819
1830 0.1712301969528198
1840 0.1713092178106308
1850 0.1713873147964478
1860 0.1714719831943512
1870 0.1715516597032547
1880 0.171611100435257
1890 0.1716574877500534
1900 0.1716896742582321
1910 0.171711340546608
1920 0.1717290580272675
1930 0.171733632683754
1940 0.1717196851968765
1950 0.1717006266117096
1960 0.1716659516096115
