"Time Step" "point-tau_vm-d"
2890 5.182820320129395
2900 5.62174129486084
2910 7.184723854064941
2920 10.03267192840576
2930 4.48709774017334
2940 4.024179458618164
2950 4.754604816436768
2960 5.737207412719727
2970 8.592831611633301
2980 4.128104686737061
2990 5.505127906799316
3000 9.395402908325195
3010 5.049087047576904
3020 10.09083366394043
3030 3.867016792297363
3040 4.822326183319092
3050 9.126230239868164
3060 4.081264495849609
3070 4.034348487854004
3080 5.854784965515137
3090 11.21984004974365
3100 5.931828498840332
3110 5.881495952606201
3120 3.573898792266846
3130 3.658299922943115
3140 5.155285835266113
3150 4.746635913848877
3160 7.566427707672119
3170 5.613561630249023
3180 5.29926586151123
3190 8.402689933776855
3200 9.927722930908203
3210 8.618082046508789
3220 4.525094985961914
3230 4.119243144989014
3240 7.234219551086426
3250 8.024332046508789
3260 4.210594177246094
3270 10.63027191162109
3280 10.09110736846924
3290 3.772186279296875
3300 3.39137601852417
3310 9.07666015625
3320 5.199810028076172
3330 11.49460601806641
3340 5.195103645324707
3350 9.073902130126953
3360 4.557936668395996
3370 14.85487365722656
3380 7.297130107879639
3390 3.569926738739014
3400 3.785005331039429
3410 5.177561283111572
3420 2.518946886062622
3430 2.352408647537231
3440 3.323861598968506
3450 5.197796821594238
3460 8.480373382568359
3470 11.16539669036865
3480 10.47430419921875
3490 5.514937400817871
3500 2.788851499557495
3510 2.439613103866577
3520 3.212997674942017
3530 4.732416152954102
3540 5.418292999267578
3550 8.727222442626953
3560 15.99279022216797
3570 5.020193576812744
3580 6.796689987182617
3590 3.824852466583252
3600 3.957955837249756
0 9.151242256164551
10 8.338671684265137
20 6.747251033782959
30 5.903323650360107
40 9.522435188293457
50 6.417543411254883
60 5.96021556854248
70 6.087850093841553
80 5.738996028900146
90 2.950334072113037
100 11.31011009216309
110 8.124038696289062
120 8.551161766052246
130 5.406464576721191
140 4.632323265075684
150 5.827570915222168
160 4.949471473693848
170 7.871527671813965
180 7.138607501983643
190 9.021517753601074
200 6.540907382965088
210 9.730802536010742
220 7.97429370880127
230 3.815053462982178
240 5.100433349609375
250 8.859613418579102
260 5.384020805358887
270 4.124862194061279
280 5.443517208099365
290 5.328886032104492
300 11.64465141296387
310 7.259628772735596
320 11.4986572265625
330 8.781949043273926
340 4.020149230957031
