"Time Step" "point-ho-out"
2890 0.004467216320335865
2900 0.00436237221583724
2910 0.004369517788290977
2920 0.004512774292379618
2930 0.004819618072360754
2940 0.00531784538179636
2950 0.006038188468664885
2960 0.006999500561505556
2970 0.008196352981030941
2980 0.00957680307328701
2990 0.01102189347147942
3000 0.01236051507294178
3010 0.01344072818756104
3020 0.01421280018985271
3030 0.01462194044142962
3040 0.01465553231537342
3050 0.01435583643615246
3060 0.01382394321262836
3070 0.01314873527735472
3080 0.01238515134900808
3090 0.01156866271048784
3100 0.01075948029756546
3110 0.009990471415221691
3120 0.009349166415631771
3130 0.008865533396601677
3140 0.008516791276633739
3150 0.008360722102224827
3160 0.00841754674911499
3170 0.008715284056961536
3180 0.009288591332733631
3190 0.01021262258291245
3200 0.0115505987778306
3210 0.01331956405192614
3220 0.01547385100275278
3230 0.0178738497197628
3240 0.02022260613739491
3250 0.02220230922102928
3260 0.02362649515271187
3270 0.02449491247534752
3280 0.02491080947220325
3290 0.02485641837120056
3300 0.0242124181240797
3310 0.02315934561192989
3320 0.02184632420539856
3330 0.0206033531576395
3340 0.01952021382749081
3350 0.0186384879052639
3360 0.01796826720237732
3370 0.01748351752758026
3380 0.01711357198655605
3390 0.01677737571299076
3400 0.0164555236697197
3410 0.01615588925778866
3420 0.01588110253214836
3430 0.01563643105328083
3440 0.01541419140994549
3450 0.01521227229386568
3460 0.01502946671098471
3470 0.0148675749078393
3480 0.01472839619964361
3490 0.01461023092269897
3500 0.01451005320996046
3510 0.01442404743283987
3520 0.0143567118793726
3530 0.01431652065366507
3540 0.01431906782090664
3550 0.01439310424029827
3560 0.01457109581679106
3570 0.01487192511558533
3580 0.01528934389352798
3590 0.01582892797887325
3600 0.01647958718240261
0 0
10 8.668606804596024e-11
20 1.796168075385296e-10
30 2.727210124398027e-10
40 3.665344694425698e-10
50 4.6154596811121e-10
60 5.580130246762849e-10
70 6.559291443331006e-10
80 7.551488878654311e-10
90 8.55574444624807e-10
100 9.572109771482928e-10
110 1.060101451066942e-09
120 1.164257690255965e-09
130 1.269676919157803e-09
140 1.376408653719352e-09
150 1.484619427394307e-09
160 1.594522514025698e-09
170 1.706266239409615e-09
180 1.819872808006551e-09
190 1.935259286156565e-09
200 2.052327641166585e-09
210 2.171058888222888e-09
220 2.291536294052321e-09
230 2.413886202035087e-09
240 2.538224075365747e-09
