"Time Step" "point-tau_vm-c"
2890 11.62817192077637
2900 15.62887191772461
2910 12.61592864990234
2920 4.250388622283936
2930 3.788131237030029
2940 5.911222457885742
2950 2.572900533676147
2960 2.702525854110718
2970 5.451831340789795
2980 12.8648567199707
2990 10.26790904998779
3000 10.37765693664551
3010 5.166079521179199
3020 5.99078369140625
3030 3.892817735671997
3040 3.234032392501831
3050 2.843584775924683
3060 7.59112024307251
3070 16.93320655822754
3080 10.08341217041016
3090 3.218328237533569
3100 5.449986457824707
3110 1.456543684005737
3120 2.760468244552612
3130 5.341796875
3140 2.555845260620117
3150 11.89756202697754
3160 13.71377658843994
3170 14.94155406951904
3180 12.15010452270508
3190 6.756010055541992
3200 8.560942649841309
3210 6.979896545410156
3220 6.197677612304688
3230 2.206445932388306
3240 5.869693756103516
3250 11.34045219421387
3260 11.84509658813477
3270 3.734145164489746
3280 5.062636852264404
3290 3.228148460388184
3300 7.14664888381958
3310 1.818109393119812
3320 4.079229831695557
3330 6.817048072814941
3340 12.46294975280762
3350 14.22285842895508
3360 9.937973022460938
3370 4.675934791564941
3380 3.484506130218506
3390 5.692480087280273
3400 10.13717269897461
3410 3.77467942237854
3420 3.724107027053833
3430 12.30752086639404
3440 15.82886505126953
3450 9.995034217834473
3460 9.796364784240723
3470 3.766074180603027
3480 9.294325828552246
3490 6.752382278442383
3500 3.642934322357178
3510 10.91072845458984
3520 15.72601413726807
3530 9.245752334594727
3540 4.866875648498535
3550 8.115946769714355
3560 6.280765056610107
3570 4.242822647094727
3580 5.659116268157959
3590 6.515125751495361
3600 8.357559204101562
0 15.9433126449585
10 13.62508010864258
20 7.599654674530029
30 6.853054046630859
40 2.911825180053711
50 4.151268482208252
60 3.538523435592651
70 9.860330581665039
80 7.04273796081543
90 8.512203216552734
100 9.191734313964844
110 14.57951259613037
120 6.183423042297363
130 3.497195243835449
140 8.567612648010254
150 6.843316078186035
160 2.67189621925354
170 3.580417633056641
180 12.37271308898926
190 19.4987850189209
200 9.455035209655762
210 6.99485445022583
220 15.43804168701172
230 7.955310344696045
240 4.350935459136963
250 3.406983375549316
260 3.534222364425659
270 6.261684894561768
280 15.39025497436523
290 5.40338659286499
300 8.431729316711426
310 9.175594329833984
320 3.41393780708313
330 6.167234420776367
340 4.017683506011963
350 4.635095596313477
360 5.950675964355469
370 14.98936367034912
380 10.71176910400391
390 6.001831531524658
400 9.963777542114258
410 12.30648708343506
420 4.571672439575195
430 4.020149230957031
440 3.597118854522705
450 10.19526958465576
460 9.303644180297852
470 7.875745296478271
480 5.094075202941895
490 3.100171804428101
500 6.128853321075439
510 4.76962423324585
520 4.579135894775391
530 8.902646064758301
540 6.14112663269043
550 8.848804473876953
560 8.609086990356445
570 5.058293342590332
580 8.753263473510742
590 5.708624839782715
600 7.051836490631104
610 4.983303070068359
620 5.948746681213379
630 7.922650337219238
640 12.15065956115723
650 7.246986389160156
660 4.344103813171387
670 3.195234537124634
680 4.054394245147705
690 5.600606918334961
700 4.559793472290039
710 8.459217071533203
720 6.858325958251953
730 10.52218914031982
740 12.41517162322998
750 8.461489677429199
760 5.873727798461914
770 6.613174438476562
780 4.3731689453125
790 8.580854415893555
800 2.412407159805298
810 2.160894155502319
820 20.77714920043945
830 8.496441841125488
840 5.414809703826904
850 5.292502403259277
860 4.191047191619873
870 3.65937614440918
880 3.767911195755005
890 6.387085914611816
900 3.997903347015381
910 8.50248908996582
920 12.31096649169922
930 11.92034816741943
940 4.673847198486328
950 4.250061988830566
960 2.739489555358887
970 1.853670597076416
980 3.244336366653442
990 7.685878753662109
1000 16.28214263916016
1010 17.53487205505371
1020 7.460694789886475
1030 3.596086025238037
1040 5.367730140686035
1050 1.608708143234253
1060 5.873407363891602
1070 2.543526649475098
1080 2.095089197158813
1090 4.596432685852051
1100 10.99585151672363
1110 7.58165454864502
1120 3.940203905105591
1130 11.79897117614746
1140 8.239276885986328
1150 7.717334747314453
1160 3.91941499710083
1170 5.506497859954834
1180 8.073799133300781
1190 4.362030982971191
1200 6.860623359680176
1210 14.295090675354
1220 7.343787670135498
1230 6.884573459625244
1240 3.174704074859619
1250 3.377728462219238
1260 6.158421516418457
1270 13.78010845184326
1280 6.39040470123291
1290 16.26123237609863
1300 7.21124267578125
1310 15.75309085845947
1320 7.28741455078125
1330 6.983977317810059
1340 3.431874752044678
1350 7.861786842346191
1360 7.960496425628662
1370 19.29833984375
1380 7.67793083190918
1390 12.33575248718262
1400 8.107622146606445
1410 7.669338703155518
1420 4.057148933410645
1430 3.064314842224121
1440 10.15692615509033
1450 13.6030158996582
1460 10.07251071929932
1470 6.366965770721436
1480 9.124288558959961
1490 9.479403495788574
1500 10.20682334899902
1510 4.425874710083008
1520 1.852686047554016
1530 11.82382011413574
1540 4.287014007568359
1550 11.41277313232422
1560 9.407708168029785
1570 10.88906955718994
1580 7.851138591766357
1590 6.946685314178467
1600 3.470147371292114
1610 2.844272613525391
1620 4.789303302764893
1630 8.399255752563477
1640 11.53458213806152
1650 2.783983469009399
1660 2.739651441574097
1670 1.772680759429932
1680 1.683563232421875
1690 3.548448085784912
1700 2.705166578292847
1710 9.379693031311035
1720 9.759950637817383
1730 7.025011539459229
1740 2.970338106155396
1750 3.860519886016846
1760 3.200052738189697
1770 4.397965908050537
1780 4.294592380523682
1790 2.802100658416748
1800 4.00023889541626
1810 12.59618282318115
1820 10.56236267089844
1830 4.903608322143555
1840 3.605199337005615
1850 2.745635747909546
1860 4.510892868041992
1870 5.994021415710449
1880 3.590592622756958
1890 8.685270309448242
1900 9.85529899597168
1910 10.61207103729248
1920 11.40687274932861
1930 7.895813465118408
1940 3.656298637390137
1950 4.227528095245361
1960 3.462225675582886
1970 7.723714828491211
1980 6.699821472167969
1990 7.900208473205566
2000 8.634383201599121
2010 8.964578628540039
2020 6.388659477233887
2030 13.39241218566895
2040 7.943576335906982
2050 2.633809089660645
2060 3.19524073600769
2070 18.26964950561523
2080 8.804234504699707
2090 12.49365711212158
2100 4.072975635528564
2110 13.68212699890137
2120 8.724461555480957
2130 3.892703056335449
2140 4.823796272277832
2150 5.880815505981445
