"Time Step" "ho-hemolysis"
2890 0.006123650826763623
2900 0.006105849220936282
2910 0.006092580863339819
2920 0.006080105584233836
2930 0.00607323255565195
2940 0.006081314711442101
2950 0.00611275846211136
2960 0.006167326194798729
2970 0.00624238572916139
2980 0.006335770068844304
2990 0.006444832217091713
3000 0.00656647726367158
3010 0.006700050525235317
3020 0.006839590866806004
3030 0.006985011562569652
3040 0.007137218614475674
3050 0.007292001833477664
3060 0.007446877831802892
3070 0.007602567758887391
3080 0.007757254779899728
3090 0.007908294507964453
3100 0.008064563722831299
3110 0.008228710822328811
3120 0.008398338548679385
3130 0.008569511296497931
3140 0.008737890679991025
3150 0.008906733217190706
3160 0.009084353984921452
3170 0.009284912279328901
3180 0.00952052610047038
3190 0.009798463349074272
3200 0.01011333499736443
3210 0.01045094585343233
3220 0.0107967179292299
3230 0.01114148068884752
3240 0.01146899456512345
3250 0.01177237560106535
3260 0.01204864103727439
3270 0.01229730327021189
3280 0.0125236647238201
3290 0.0127302678605811
3300 0.012915457291954
3310 0.01308719830917882
3320 0.0132556046676579
3330 0.01342124857090914
3340 0.01357810243044209
3350 0.01371935825938465
3360 0.01383900353994313
3370 0.01394921848186333
3380 0.01406076326664902
3390 0.01417432383041319
3400 0.01428751986881862
3410 0.0144081678255081
3420 0.01454634172502032
3430 0.01471284528085304
3440 0.0149094321336813
3450 0.01513748019259139
3460 0.01539078380185486
3470 0.01565692984826478
3480 0.01591306378809286
3490 0.01613231031214469
3500 0.01630598249890583
3510 0.01643895278049233
3520 0.01655004699419529
3530 0.01666295653509105
3540 0.01680671806097256
3550 0.01699445041771712
3560 0.01721268092901218
3570 0.0174295008034521
3580 0.01762279391137291
3590 0.01778118060268108
3600 0.01789848938755388
0 0
10 1.048079486505584e-07
20 2.148197396182038e-07
30 3.240620670683649e-07
40 4.330451011827213e-07
50 5.420333223390435e-07
60 6.511019125872502e-07
70 7.602106481748311e-07
80 8.693257965475999e-07
90 9.784359759525271e-07
100 1.087551778680063e-06
110 1.196704371918945e-06
120 1.305937176400635e-06
130 1.415235390579802e-06
140 1.524636323390124e-06
150 1.634160466520108e-06
160 1.743761313206659e-06
170 1.85346401314217e-06
180 1.963216410880761e-06
190 2.0730769205539e-06
200 2.18297809724551e-06
210 2.292975212195706e-06
220 2.40301213475133e-06
230 2.513107599897797e-06
240 2.623302336938073e-06
250 2.733572537776952e-06
260 2.843916012338978e-06
270 2.954363990786827e-06
280 3.06492237413707e-06
290 3.175571801079557e-06
300 3.286346897333639e-06
310 3.397227848351688e-06
320 3.508152575568863e-06
330 3.619215080830879e-06
340 3.730382550006643e-06
350 3.841703745391535e-06
360 3.953101532908259e-06
370 4.064622325615422e-06
380 4.176245679305824e-06
390 4.288017149001046e-06
400 4.399943817891759e-06
410 4.511847997536079e-06
420 4.62394263272361e-06
430 4.736112569226053e-06
440 4.848355262938137e-06
450 4.960729585903672e-06
460 5.073190196088726e-06
470 5.185790276481023e-06
480 5.298423886589057e-06
490 5.411212063420056e-06
500 5.524095692966213e-06
510 5.637182203813834e-06
520 5.75036807144208e-06
530 5.863723028820207e-06
540 5.97728775158683e-06
550 6.091021013185551e-06
560 6.204966427723078e-06
570 6.319179891041116e-06
580 6.433522130520853e-06
590 6.548126470746653e-06
600 6.662969634195301e-06
610 6.778058475948785e-06
620 6.89337141564795e-06
630 7.00896980228407e-06
640 7.124858251094033e-06
650 7.240998003179249e-06
660 7.35749500800266e-06
670 7.474244579153714e-06
680 7.591196891472845e-06
690 7.708556479175185e-06
700 7.82618438698639e-06
710 7.944123610331805e-06
720 8.062385365493783e-06
730 8.180953238466544e-06
740 8.299837359296847e-06
750 8.419074181158317e-06
760 8.538678864073668e-06
770 8.658382123421199e-06
780 8.778572582215668e-06
790 8.899012048011859e-06
800 9.019791834874076e-06
