"Time Step" "point-gw-out"
2890 0.01406306773424149
2900 0.01397720351815224
2910 0.01441390160471201
2920 0.01545366644859314
2930 0.0172119177877903
2940 0.01984908245503902
2950 0.02355682291090488
2960 0.0285040196031332
2970 0.03466596081852913
2980 0.04181242361664772
2990 0.04948259145021439
3000 0.05707463994622231
3010 0.06396699696779251
3020 0.06958840042352676
3030 0.07356566935777664
3040 0.07559897750616074
3050 0.07552921772003174
3060 0.0735633373260498
3070 0.07016153633594513
3080 0.06599052995443344
3090 0.06147560849785805
3100 0.05694166570901871
3110 0.05245349183678627
3120 0.04805104061961174
3130 0.04397241026163101
3140 0.04052049294114113
3150 0.03787640854716301
3160 0.03613759949803352
3170 0.03530459478497505
3180 0.03542466089129448
3190 0.03656716644763947
3200 0.03885518759489059
3210 0.04236762970685959
3220 0.04706010967493057
3230 0.05270818620920181
3240 0.05881794914603233
3250 0.06472643464803696
3260 0.06972293555736542
3270 0.07334814965724945
3280 0.07563105225563049
3290 0.0766085758805275
3300 0.07634676992893219
3310 0.07525403797626495
3320 0.07377332448959351
3330 0.07228995114564896
3340 0.07102952152490616
3350 0.07004056870937347
3360 0.06929416954517365
3370 0.06870301067829132
3380 0.068175308406353
3390 0.06764072924852371
3400 0.06707780063152313
3410 0.06650544703006744
3420 0.06596179306507111
3430 0.06548471003770828
3440 0.06506826728582382
3450 0.06469583511352539
3460 0.06436675786972046
3470 0.06410679221153259
3480 0.06391769647598267
3490 0.06378215551376343
3500 0.06367991864681244
3510 0.06359024345874786
3520 0.06352149695158005
3530 0.06351310759782791
3540 0.06358024477958679
3550 0.06368817389011383
3560 0.06379085779190063
3570 0.06391118466854095
3580 0.06411562114953995
3590 0.06460121273994446
3600 0.06553526222705841
0 0
10 6.585150827409514e-12
20 1.366373420658151e-11
30 2.076370152204188e-11
40 2.793319915650461e-11
50 3.521351613078316e-11
60 4.26271275222323e-11
70 5.017254667283311e-11
80 5.783564946404418e-11
90 6.56073320670636e-11
100 7.348839592413725e-11
110 8.148332703017402e-11
120 8.959374214745353e-11
130 9.781997434288314e-11
140 1.061668253310444e-10
150 1.146497688453429e-10
160 1.232886431834501e-10
170 1.320977494057018e-10
180 1.410797034750999e-10
190 1.502270668973793e-10
200 1.595313048330382e-10
210 1.689915429814448e-10
220 1.786168712936131e-10
230 1.884201128454777e-10
240 1.984126613008286e-10
250 2.086017469871138e-10
260 2.189989301015771e-10
270 2.29621807679159e-10
280 2.404871024541677e-10
290 2.516060138013643e-10
300 2.629794437769561e-10
310 2.746099736494756e-10
320 2.865088721826226e-10
