x-coord,y-coord,radius,Velocity_Magnitude
0.00750,-0.00750,0.010606602,1.47032772
0.00780,-0.00780,0.011030866,1.689174954
0.00810,-0.00810,0.01145513,1.894064756
0.00840,-0.00840,0.011879394,2.126487143
0.00870,-0.00870,0.012303658,2.272784263
0.00900,-0.00900,0.012727922,2.401318668
0.00930,-0.00930,0.013152186,2.539667012
0.00960,-0.00960,0.01357645,2.702462469
0.00990,-0.00990,0.014000714,2.906136799
0.01020,-0.01020,0.014424978,3.119637635
0.01050,-0.01050,0.014849242,3.321009574
0.01080,-0.01080,0.015273506,3.474365057
0.01110,-0.01110,0.015697771,3.635859025
0.01140,-0.01140,0.016122035,3.738272228
0.01170,-0.01170,0.016546299,3.851260886
0.01200,-0.01200,0.016970563,3.940958453
0.01230,-0.01230,0.017394827,4.027355506
0.01260,-0.01260,0.017819091,4.093390321
0.01290,-0.01290,0.018243355,4.171549409
0.01320,-0.01320,0.018667619,4.233102482
0.01350,-0.01350,0.019091883,4.309599319
0.01380,-0.01380,0.019516147,4.382101112
0.01410,-0.01410,0.019940411,4.472128745
0.01440,-0.01440,0.020364675,4.571983234
0.01470,-0.01470,0.020788939,4.643674635
0.01500,-0.01500,0.021213203,4.753780094
0.01530,-0.01530,0.021637468,4.874157148
0.01560,-0.01560,0.022061732,5.011895485
0.01590,-0.01590,0.022485996,5.137635037
0.01620,-0.01620,0.02291026,5.231361781
0.01650,-0.01650,0.023334524,5.326111497
0.01680,-0.01680,0.023758788,5.411827194
0.01710,-0.01710,0.024183052,5.449271872
0.01740,-0.01740,0.024607316,5.471819192
0.01770,-0.01770,0.02503158,5.403731553
0.01800,-0.01800,0.025455844,5.253643708
0.01830,-0.01830,0.025880108,5.073704115
0.01860,-0.01860,0.026304372,4.867885108
0.01890,-0.01890,0.026728636,4.68587519
0.01920,-0.01920,0.0271529,4.525651246
0.01950,-0.01950,0.027577164,4.473294948
0.01980,-0.01980,0.028001429,4.484477779
0.02010,-0.02010,0.028425693,4.507906786
0.02040,-0.02040,0.028849957,4.520033153
0.02070,-0.02070,0.029274221,4.604753542
0.02100,-0.02100,0.029698485,3.976480283
