index Bins bin_centres Counts "Bin Variance" x-coordinate_bin_mean x-coordinate_std x-coordinate_sem y-coordinate_bin_mean y-coordinate_std y-coordinate_sem z-coordinate_bin_mean z-coordinate_std z-coordinate_sem velocity-magnitude_bin_mean velocity-magnitude_std velocity-magnitude_sem radius_bin_mean radius_std radius_sem
0 "(0.0274, 0.02742]" 0.02741 34 828.9313725490197 0.01937407255 0.0 0.0 -0.01937407298764706 8.008444741389504e-10 1.373436942340265e-10 0.006562000141 0.0 0.0 5.110858389323529 0.38252602104343636 0.0656026713891429 0.027399076468073505 5.662825723433388e-10 9.7116659947743e-11
1 "(0.02729, 0.02732]" 0.027305 34 830.2718360071303 0.01930207387 0.0 0.0 -0.01930207387 0.0 0.0 0.006562000141 0.0 0.0 5.114736686823529 0.3811052131645079 0.06535900484814734 0.02729725464888133 0.0 0.0
2 "(0.02719, 0.02722]" 0.027205 34 841.8110516934045 0.01923859492 0.0 0.0 -0.01923859492 0.0 0.0 0.006562000086176471 1.5239829596815449e-10 2.61360921366678e-11 5.112384085558823 0.39563047328680057 0.06785006640794743 0.027207481856866132 0.0 0.0
3 "(0.02706, 0.02709]" 0.027075000000000002 34 846.0641711229945 0.01914011873 0.0 0.0 -0.01914011873 0.0 0.0 0.0065620002777647055 2.150612398736386e-10 3.688269835732272e-11 5.0921259374117644 0.41805062685581246 0.07169509102371074 0.0270682154933973 0.0 0.0
4 "(0.02693, 0.02696]" 0.026945 34 852.349376114082 0.01905349456 0.0 0.0 -0.01905349456 0.0 0.0 0.006562000606 0.0 0.0 5.108387686088236 0.44135176704958906 0.07569120359915067 0.026945710417353986 0.0 0.0
5 "(0.02685, 0.02688]" 0.026865 34 912.9705882352941 0.0189924594 0.0 0.0 -0.0189924594 0.0 0.0 0.006562000592323529 7.974684217660474e-11 1.3676470602870662e-11 5.112980256735294 0.41910476223351983 0.07187587374953622 0.026859393666300378 0.0 0.0
6 "(0.02997, 0.03]" 0.029984999999999998 102 784.0873616773442 0.02120533162 4.653223035187085e-06 4.607377355212955e-07 -0.02120533162 4.653223035187085e-06 4.607377355212955e-07 0.006562000168352941 1.0995207302547327e-10 1.0886877495136423e-11 0.4561648203097059 0.2839076438999793 0.028111045603986112 0.029988867571623033 6.58065112510907e-06 6.515815542713433e-07
9 "(0.02994, 0.02997]" 0.029955000000000002 68 723.6496927129064 0.021187639795 4.47825530635776e-06 5.430682248998771e-07 -0.021187639795 4.47825530635776e-06 5.430682248998771e-07 0.006562000182029412 1.3287172271333187e-10 1.6113063158966133e-11 1.4162063158029412 0.3895725216847953 0.047242607521901105 0.0299638475527649 6.333209390020075e-06 7.680144489472459e-07
11 "(0.02992, 0.02994]" 0.02993 68 657.7014925373132 0.021166126573235293 6.446582531664702e-06 7.817629618328021e-07 -0.021166126573235293 6.446582531664702e-06 7.817629618328021e-07 0.006562000428205882 2.2765249518124097e-10 2.760692010493153e-11 2.4230708483382353 0.5846028106496726 0.07089350403945767 0.029933423262774914 9.116844447236753e-06 1.1055797831847937e-06
13 "(0.02989, 0.02992]" 0.029905 34 641.1524064171123 0.02114437334 0.0 0.0 -0.02114437334 0.0 0.0 0.006562000441882354 2.25558131426476e-10 3.868290040702869e-11 3.206117185411765 0.6372265328648965 0.10928344880159616 0.0299026595453081 0.0 0.0
14 "(0.02987, 0.02989]" 0.02988 34 625.7869875222817 0.02112595551 0.0 0.0 -0.02112595551 0.0 0.0 0.006562000606 0.0 0.0 3.6586187545294115 0.675523917169414 0.11585139602447982 0.029876612800332616 0.0 0.0
15 "(0.02984, 0.02987]" 0.029855 34 612.132798573975 0.02110386454 0.0 0.0 -0.02110386454 0.0 0.0 0.006562000606 0.0 0.0 4.010486479029412 0.7079355652247615 0.12140994780810888 0.029845371450952642 0.0 0.0
16 "(0.02979, 0.02981]" 0.0298 34 600.1898395721925 0.02107902244 0.0 0.0 -0.02107902244 0.0 0.0 0.006562000606 0.0 0.0 4.303078737441176 0.7271218452583644 0.12470036768801974 0.02981023941621481 0.0 0.0
17 "(0.02971, 0.02974]" 0.029725 34 589.9581105169342 0.02101956034 9.474175419568174e-10 1.6248076798478768e-10 -0.02101956034 9.474175419568174e-10 1.6248076798478768e-10 0.006562000387176471 2.3558778465384e-10 4.040297174499161e-11 4.443653053794117 0.6452170620008544 0.11065381324295293 0.029726147307947627 1.3398507359723747e-09 2.2978250552141144e-10
18 "(0.02961, 0.02963]" 0.02962 34 581.4376114081998 0.02093681321 0.0 0.0 -0.02093681321 0.0 0.0 0.006562000387176471 2.3558778465384e-10 4.040297174499161e-11 4.591414700764706 0.5296645291183991 0.09083671734397862 0.02960912519445417 0.0 0.0
19 "(0.02953, 0.02955]" 0.02954 34 574.6283422459894 0.02088592015 0.0 0.0 -0.02088592015 0.0 0.0 0.006562000141 0.0 0.0 4.649596367999999 0.4605053272684145 0.07897601207712107 0.029537151538771508 0.0 0.0
20 "(0.02942, 0.02945]" 0.029435000000000003 34 576.663101604278 0.02081407354352941 9.022325256843083e-10 1.5473160162441112e-10 -0.02081407354352941 9.022325256843083e-10 1.5473160162441112e-10 0.006562000141 0.0 0.0 4.685801082294118 0.43791311970908947 0.07510148044545094 0.02943554509349032 1.2759494734324154e-09 2.1882352940698839e-10
21 "(0.02932, 0.02935]" 0.029335 34 564.7130124777183 0.02074207366 0.0 0.0 -0.02074207366 0.0 0.0 0.006562000141 0.0 0.0 4.708875977617647 0.49688164742461566 0.0852144995166005 0.02933372188171374 0.0 0.0
