index Bins bin_centres Counts "Bin Variance" x-coordinate_bin_mean x-coordinate_std x-coordinate_sem y-coordinate_bin_mean y-coordinate_std y-coordinate_sem z-coordinate_bin_mean z-coordinate_std z-coordinate_sem velocity-magnitude_bin_mean velocity-magnitude_std velocity-magnitude_sem
0 "(-0.030577, -0.030566]" -0.0305715 34 228.45365418894835 0.02500000037 0.0 0.0 -0.030571436181764708 7.19732571039496e-10 1.234331176142538e-10 0.006562000141 0.0 0.0 0.712840221367647 0.3933389554979796 0.06745707434933575
1 "(-0.030473, -0.030467]" -0.03047 34 220.57486631016044 0.02500000037 0.0 0.0 -0.030468957499999998 0.0 0.0 0.006562000141 0.0 0.0 0.775733847167647 0.5165775162779486 0.0885923131580995
2 "(-0.030333, -0.030328]" -0.0303305 34 220.00356506238856 0.02500000037 0.0 0.0 -0.03033304401 0.0 0.0 0.006561999784647059 2.0064168017739e-10 3.440976427103814e-11 0.8831937832558824 0.5443692169683276 0.0933585505052036
3 "(-0.030194, -0.030188]" -0.030191 34 216.05704099821747 0.025000000810000002 8.051500891651434e-10 1.3808210111918692e-10 -0.030189042909999998 0.0 0.0 0.006561999675 0.0 0.0 0.9979374008294117 0.5857382368595629 0.10045327888528276
4 "(-0.030049, -0.030043]" -0.030046 34 180.6176470588236 0.025000000810000002 8.051500888752092e-10 1.380821010694636e-10 -0.030045043680000005 0.0 0.0 0.006561999784647059 2.0064168017739e-10 3.440976427103814e-11 1.1311431827764706 0.6831707426808704 0.11716281578052624
5 "(-0.029904, -0.029898]" -0.029901 34 189.77183600713005 0.025000000535 5.383771904855764e-10 9.233092644127532e-11 -0.02990104301764706 8.008444745815227e-10 1.37343694309927e-10 0.0065619997435294114 1.6752263257891704e-10 2.8729894466632627e-11 1.2899024518529412 0.6755657303566478 0.11585856692693072
6 "(-0.029759, -0.029753]" -0.029756 34 215.9928698752229 0.025000000645 6.722474737379028e-10 1.1528949061167619e-10 -0.029757043514117648 5.354981684897216e-10 9.183717824239206e-11 0.0065619997298235295 1.5239829604906524e-10 2.6136092150543882e-11 1.4433621128294116 0.6835077457488143 0.11722061132986732
7 "(-0.029614, -0.029608]" -0.029611 34 208.60962566844918 0.025000000975000002 8.879846080954638e-10 1.5228810391669724e-10 -0.02961304411 0.0 0.0 0.0065619997435294114 1.6752263257846767e-10 2.872989446655556e-11 1.5405932387588235 0.6936593655782771 0.11896159976752482
8 "(-0.029474, -0.029468]" -0.029471 34 203.04188948306597 0.025000000755 7.674959273633257e-10 1.3162446564544807e-10 -0.029469043238823527 6.082850448777039e-10 1.043200245598737e-10 0.006561999784647059 2.0064168019864916e-10 3.4409764274684063e-11 1.7084079127029412 0.76594423039237 0.13135835181035926
9 "(-0.029329, -0.029323]" -0.029325999999999998 34 209.6434937611408 0.02500000103 9.070832368366506e-10 1.5556349172397283e-10 -0.02932504378 0.0 0.0 0.006561999784647059 2.0064168013386699e-10 3.4409764263574007e-11 1.8811767189941175 0.7496103811169856 0.12855711976969986
10 "(-0.029184, -0.029178]" -0.029181 34 187.86185383244208 0.025000000589999998 6.115553934799946e-10 1.0488088471808934e-10 -0.02918104290882353 6.08285044908898e-10 1.0432002456522344e-10 0.006561999839470588 2.260432024697071e-10 3.876608940463642e-11 2.0512871545882354 0.744431695806977 0.12766898256613507
11 "(-0.029039, -0.029033]" -0.029036 34 179.68360071301248 0.02500000103 9.070832370424433e-10 1.55563491759266e-10 -0.02903704345 0.0 0.0 0.0065619997298235295 1.5239829603673464e-10 2.61360921484292e-11 2.179871789776471 0.7592428815275193 0.130209079961491
12 "(-0.028894, -0.028888]" -0.028891 34 174.05347593582889 0.0250000007 7.236021000443239e-10 1.2409673636374967e-10 -0.02889304422 0.0 0.0 0.006561999866882353 2.3279224242887202e-10 3.992354020870346e-11 2.289929142335294 0.7592651212154596 0.1302128940365068
13 "(-0.028754, -0.028748]" -0.028751 34 182.32174688057037 0.025000000645 6.722474742309738e-10 1.1528949069623716e-10 -0.02874904333882353 6.082850437649956e-10 1.0432002436904581e-10 0.0065619997298235295 1.5239829603673464e-10 2.61360921484292e-11 2.479316574817647 0.6813419707141136 0.11684918397567917
14 "(-0.028609, -0.028603]" -0.028606 34 161.37967914438508 0.02500000037 0.0 0.0 -0.02860504389 0.0 0.0 0.006561999757235294 1.803200956051517e-10 3.092464126904544e-11 2.7205306572058823 0.5582141059857352 0.09573292938314405
15 "(-0.028464, -0.028458]" -0.028461 34 160.270944741533 0.02500000125 9.474175417483312e-10 1.624807679490326e-10 -0.02846104279 0.0 0.0 0.006561999702411765 1.1129597913096405e-10 1.9087102953010522e-11 2.8550085688529414 0.49822439075068453 0.08544477809723086
16 "(-0.028319, -0.028313]" -0.028316 34 152.674688057041 0.025000000535 5.38377190604231e-10 9.233092646162441e-11 -0.02831704356 0.0 0.0 0.0065619999080000005 2.3650395599802624e-10 4.0560093834267665e-11 2.9394254220588234 0.47455128473090924 0.08138487390891079
17 "(-0.028174, -0.028168]" -0.028171 34 144.06149732620318 0.025000000645 6.722474736211605e-10 1.1528949059165505e-10 -0.028173042624117645 5.354981693112452e-10 9.18371783832822e-11 0.006561999716117647 1.3416244433889287e-10 2.300866938338072e-11 2.9792781849411765 0.47731989413092213 0.08185968650382525
