x-coord,y-coord,Velocity_Magnitude
0.035,-0.02296,0.598005324
0.035,-0.02311,0.761464561
0.035,-0.02326,0.856783418
0.035,-0.02341,0.937545899
0.035,-0.02356,0.993352503
0.035,-0.02371,1.022707083
0.035,-0.02386,1.036109929
0.035,-0.02401,1.042543232
0.035,-0.02416,1.030567982
0.035,-0.02431,1.020761335
0.035,-0.02446,1.009402883
0.035,-0.02461,0.984416585
0.035,-0.02476,0.956958113
0.035,-0.02491,0.917810575
0.035,-0.02506,0.883687803
0.035,-0.02521,0.856306119
0.035,-0.02536,0.831632751
0.035,-0.02551,0.819814772
0.035,-0.02566,0.815107076
0.035,-0.02581,0.804549436
0.035,-0.02596,0.794243836
0.035,-0.02611,0.812628113
0.035,-0.02626,0.829811492
0.035,-0.02641,0.84370345
0.035,-0.02656,0.859487178
0.035,-0.02671,0.90496925
0.035,-0.02686,0.951969841
0.035,-0.02701,1.020762739
0.035,-0.02716,1.076494322
0.035,-0.02731,1.172006132
0.035,-0.02746,1.27732359
0.035,-0.02761,1.378458211
0.035,-0.02776,1.509111937
0.035,-0.02791,1.642077968
0.035,-0.02806,1.778895939
0.035,-0.02821,1.940712034
0.035,-0.02836,2.107579769
0.035,-0.02851,2.283229768
0.035,-0.02866,2.458266651
0.035,-0.02881,2.610839091
0.035,-0.02896,2.775865865
0.035,-0.02911,2.946180903
0.035,-0.02926,3.106956941
0.035,-0.02941,3.248412686
0.035,-0.02956,3.380927231
0.035,-0.02971,3.5017018
0.035,-0.02986,3.592602342
0.035,-0.03001,3.687943444
0.035,-0.03016,3.78071457
0.035,-0.03031,3.847606492
0.035,-0.03046,3.903677615
0.035,-0.03061,3.915711252
0.035,-0.03076,3.939068427
0.035,-0.03091,3.892165113
0.035,-0.03106,3.862797717
0.035,-0.03121,3.805492503
0.035,-0.03136,3.741218857
0.035,-0.03151,3.660958548
0.035,-0.03166,3.539469427
0.035,-0.03181,3.41278996
0.035,-0.03196,3.251624417
0.035,-0.03211,3.072943876
0.035,-0.03226,2.941981446
0.035,-0.03241,2.536403178
