x-coord,y-coord,Velocity_Magnitude
0.02,-0.02581,2.387230875
0.02,-0.02596,2.64694092
0.02,-0.02611,2.817998193
0.02,-0.02626,2.983875381
0.02,-0.02641,3.099311009
0.02,-0.02656,3.200649459
0.02,-0.02671,3.261865067
0.02,-0.02686,3.302576647
0.02,-0.02701,3.323565527
0.02,-0.02716,3.351437941
0.02,-0.02731,3.371152665
0.02,-0.02746,3.388596109
0.02,-0.02761,3.408510265
0.02,-0.02776,3.420698198
0.02,-0.02791,3.433133414
0.02,-0.02806,3.420807918
0.02,-0.02821,3.390461649
0.02,-0.02836,3.354094964
0.02,-0.02851,3.283496411
0.02,-0.02866,3.188057729
0.02,-0.02881,3.025653501
0.02,-0.02896,2.839316088
0.02,-0.02911,2.591135313
0.02,-0.02926,2.280121227
0.02,-0.02941,1.964889802
0.02,-0.02956,1.687225208
0.02,-0.02971,1.298933844
0.02,-0.02986,0.829127653
