x-coord,y-coord,Velocity_Magnitude
0.025,-0.02476,0.673126486
0.025,-0.02491,0.948968426
0.025,-0.02506,1.101725197
0.025,-0.02521,1.328732383
0.025,-0.02536,1.658408643
0.025,-0.02551,1.987790849
0.025,-0.02566,2.232256434
0.025,-0.02581,2.390785487
0.025,-0.02596,2.545969048
0.025,-0.02611,2.623930196
0.025,-0.02626,2.679088654
0.025,-0.02641,2.724674514
0.025,-0.02656,2.755244896
0.025,-0.02671,2.775665518
0.025,-0.02686,2.796730518
0.025,-0.02701,2.80047963
0.025,-0.02716,2.802884712
0.025,-0.02731,2.781507409
0.025,-0.02746,2.758102504
0.025,-0.02761,2.723497896
0.025,-0.02776,2.674864881
0.025,-0.02791,2.614499514
0.025,-0.02806,2.538696728
0.025,-0.02821,2.462761803
0.025,-0.02836,2.376202989
0.025,-0.02851,2.2688631
0.025,-0.02866,2.159268274
0.025,-0.02881,2.039253163
0.025,-0.02896,1.881436041
0.025,-0.02911,1.70636821
0.025,-0.02926,1.521683551
0.025,-0.02941,1.331615842
0.025,-0.02956,1.115299211
0.025,-0.02971,0.926023657
0.025,-0.02986,0.73398611
0.025,-0.03001,0.562826399
0.025,-0.03016,0.391244899
0.025,-0.03031,0.266316986
0.025,-0.03046,0.189500729
0.025,-0.03061,0.10290935
