x-coord,y-coord,Velocity_Magnitude
0.035,-0.02296,0.370697775
0.035,-0.02311,0.512769575
0.035,-0.02326,0.619194617
0.035,-0.02341,0.719836835
0.035,-0.02356,0.797783216
0.035,-0.02371,0.873851546
0.035,-0.02386,0.940196943
0.035,-0.02401,1.006605836
0.035,-0.02416,1.063077216
0.035,-0.02431,1.118347074
0.035,-0.02446,1.181073307
0.035,-0.02461,1.24834469
0.035,-0.02476,1.319544051
0.035,-0.02491,1.374735339
0.035,-0.02506,1.431519695
0.035,-0.02521,1.488673585
0.035,-0.02536,1.544917603
0.035,-0.02551,1.593342423
0.035,-0.02566,1.642880507
0.035,-0.02581,1.686043215
0.035,-0.02596,1.72355922
0.035,-0.02611,1.74441792
0.035,-0.02626,1.764409365
0.035,-0.02641,1.771308913
0.035,-0.02656,1.768654979
0.035,-0.02671,1.763805496
0.035,-0.02686,1.757295665
0.035,-0.02701,1.729541944
0.035,-0.02716,1.696847961
0.035,-0.02731,1.660003992
0.035,-0.02746,1.613245396
0.035,-0.02761,1.560452374
0.035,-0.02776,1.49922294
0.035,-0.02791,1.427433725
0.035,-0.02806,1.360207238
0.035,-0.02821,1.285901731
0.035,-0.02836,1.204417385
0.035,-0.02851,1.120717664
0.035,-0.02866,1.032467925
0.035,-0.02881,0.943437906
0.035,-0.02896,0.856416993
0.035,-0.02911,0.77044799
0.035,-0.02926,0.685163254
0.035,-0.02941,0.60374189
0.035,-0.02956,0.524162598
0.035,-0.02971,0.451531591
0.035,-0.02986,0.367920499
0.035,-0.03001,0.297132032
0.035,-0.03016,0.234215769
0.035,-0.03031,0.185583011
0.035,-0.03046,0.140500143
0.035,-0.03061,0.111615428
0.035,-0.03076,0.096311273
0.035,-0.03091,0.113836126
0.035,-0.03106,0.139460405
0.035,-0.03121,0.169835869
0.035,-0.03136,0.205341961
0.035,-0.03151,0.230864226
0.035,-0.03166,0.242240647
0.035,-0.03181,0.243585857
0.035,-0.03196,0.230410649
0.035,-0.03211,0.214268005
0.035,-0.03226,0.1894482
0.035,-0.03241,0.220576112
