"gw-eds-hemolysis"
"Time_Step" "eds-hemolysis"
("Time_Step" "eds-hemolysis")
0 0
10 2.692709427718791e-11
20 5.514039207859105e-11
30 8.324487373098383e-11
40 1.112251481237934e-10
50 1.390755948562662e-10
60 1.668023719713287e-10
70 1.944175691043021e-10
80 2.219353558136236e-10
90 2.493629405019984e-10
100 2.767032192703569e-10
110 3.039586380606427e-10
120 3.311245692337559e-10
130 3.582017103654356e-10
140 3.851909739778543e-10
150 4.120916363903929e-10
160 4.389036237005211e-10
170 4.656266689017067e-10
180 4.922532055075114e-10
190 5.187867737698144e-10
200 5.452304726341228e-10
210 5.715737884281875e-10
220 5.978240715325863e-10
230 6.239868570886786e-10
240 6.500628294785271e-10
250 6.760629382543415e-10
260 7.019917453049089e-10
270 7.278440476666309e-10
280 7.536377882036412e-10
290 7.793627276356865e-10
300 8.050154301836946e-10
310 8.306158139924072e-10
320 8.561449571489505e-10
330 8.816069670892746e-10
340 9.070064915810473e-10
350 9.323495839975896e-10
360 9.576446621504943e-10
370 9.828809085443333e-10
380 1.008081215572194e-09
390 1.033238407615681e-09
400 1.058364324518914e-09
410 1.083456199822757e-09
420 1.108521618984318e-09
430 1.133552857889028e-09
440 1.158553016927741e-09
450 1.183517233844809e-09
460 1.208451183952705e-09
470 1.233345912986566e-09
480 1.258216946391493e-09
490 1.283054812163724e-09
500 1.307879024456582e-09
510 1.332685269274384e-09
520 1.357475861765279e-09
530 1.382262781665385e-09
540 1.407040631476517e-09
550 1.43183329449941e-09
560 1.456637367961955e-09
570 1.481477028393119e-09
580 1.506315028314218e-09
590 1.531176901465054e-09
600 1.556068330328032e-09
610 1.580983988397527e-09
620 1.605923596456691e-09
630 1.630900212535641e-09
640 1.655916501087478e-09
650 1.680964587820536e-09
660 1.706055184754381e-09
670 1.731194636340877e-09
680 1.756381914249518e-09
690 1.781620525541563e-09
700 1.806928656195424e-09
710 1.832303655556296e-09
720 1.857759740693603e-09
730 1.883274272765574e-09
740 1.908876501164369e-09
750 1.934557592914623e-09
760 1.960327251153557e-09
770 1.986176583033049e-09
780 2.012125238088402e-09
790 2.038156189631433e-09
800 2.064265574624653e-09
810 2.090478725118863e-09
820 2.11679563948806e-09
830 2.143214206253329e-09
840 2.169743047805196e-09
850 2.196371986989098e-09
860 2.223116797224957e-09
870 2.249981067288376e-09
880 2.276977005149552e-09
890 2.304081818186507e-09
900 2.331303789616628e-09
910 2.358648234948296e-09
920 2.386113446636816e-09
930 2.413697766313802e-09
940 2.441396774944311e-09
950 2.469201642163051e-09
960 2.497137190304808e-09
970 2.525188681665779e-09
980 2.55334434770609e-09
990 2.581620342157776e-09
1000 2.610009282923453e-09
1010 2.63848966074935e-09
1020 2.667094642191212e-09
1030 2.695805231540511e-09
1040 2.724619961523481e-09
1050 2.753563887650571e-09
1060 2.782608301398677e-09
1070 2.811763574951567e-09
1080 2.841028935356286e-09
1090 2.870414881016966e-09
1100 2.899911383742248e-09
1110 2.92949291795688e-09
1120 2.95920354489778e-09
1130 2.988996198141367e-09
1140 3.018882637122552e-09
1150 3.048872759917003e-09
1160 3.078934552767629e-09
1170 3.109101079458082e-09
1180 3.13930049431614e-09
1190 3.169583130612174e-09
1200 3.199911862342838e-09
1210 3.230272603540856e-09
1220 3.260675906519227e-09
1230 3.291088508477203e-09
1240 3.321508654039977e-09
1250 3.351908847624692e-09
1260 3.382286525578104e-09
1270 3.412604984672505e-09
1280 3.442856457494983e-09
1290 3.47304549554403e-09
1300 3.503122636662744e-09
1310 3.533101837109179e-09
1320 3.562935076145627e-09
1330 3.592649419561707e-09
1340 3.6221898485871e-09
1350 3.651613294916118e-09
1360 3.680841954806178e-09
1370 3.709906092471821e-09
1380 3.738782369685519e-09
1390 3.767472805300746e-09
1400 3.795990553061726e-09
1410 3.824314798982931e-09
1420 3.852439949698044e-09
1430 3.880356578142744e-09
1440 3.908104166043895e-09
1450 3.93560468810618e-09
1460 3.962905829872686e-09
1470 3.989973748728313e-09
1480 4.016839395805953e-09
1490 4.043471301709758e-09
1500 4.069891213398973e-09
1510 4.096086905661636e-09
1520 4.122046550822814e-09
1530 4.147792065328133e-09
1540 4.173288439142601e-09
1550 4.198593568154191e-09
1560 4.223694488109012e-09
1570 4.248567748858965e-09
1580 4.273269054434354e-09
1590 4.297779247229943e-09
1600 4.322115177225603e-09
1610 4.3462853461915e-09
1620 4.370267580772521e-09
1630 4.394067506517476e-09
1640 4.417739398350914e-09
1650 4.44119827779906e-09
1660 4.464553843112787e-09
1670 4.487778458161113e-09
1680 4.510868309512403e-09
1690 4.533878562375831e-09
1700 4.556817660611824e-09
1710 4.579612425932279e-09
1720 4.602378623073466e-09
1730 4.625074120281945e-09
1740 4.647705362706412e-09
1750 4.670319211032477e-09
1760 4.692893870602492e-09
1770 4.715459507713049e-09
1780 4.737994941739501e-09
1790 4.760567231938008e-09
1800 4.783132668994105e-09
1810 4.805760157593871e-09
