"point-shear-c"
"Time Step" "point-shear-c"
("Time Step" "point-shear-c")
0 2893.133056640625
10 2836.835205078125
20 2526.88330078125
30 1245.307006835938
40 805.240478515625
50 1373.363525390625
60 1629.519775390625
70 822.4041137695312
80 2716.76513671875
90 2934.337890625
100 2470.78076171875
110 4524.06494140625
120 2780.632080078125
130 5225.984375
140 2443.464599609375
150 2342.015625
160 2453.135498046875
170 725.8411865234375
180 1264.163818359375
190 2419.87353515625
200 2193.70947265625
210 2546.7255859375
220 884.21142578125
230 1461.9873046875
240 3497.142578125
250 1822.7666015625
260 3949.007080078125
270 1191.43603515625
280 1280.647827148438
290 1771.659912109375
300 835.0877075195312
310 1109.163330078125
320 1519.881591796875
330 1586.6806640625
340 2116.15234375
350 2157.168212890625
360 2134.044189453125
370 4308.89599609375
380 2220.86474609375
390 2361.010498046875
400 2172.510986328125
410 1909.020874023438
420 2175.88427734375
430 2608.82080078125
440 2643.352294921875
450 1730.388061523438
460 1378.811767578125
470 1158.033935546875
480 2682.04345703125
490 3472.6064453125
500 5395.89892578125
510 4125.7109375
520 3564.593017578125
530 3240.302490234375
540 2350.704833984375
550 1702.721313476562
560 2039.137573242188
570 2478.677490234375
580 2275.024169921875
590 1339.262451171875
600 3088.62255859375
610 3910.103515625
620 4723.15625
630 3306.6396484375
640 3764.864013671875
650 2163.88671875
660 1276.37451171875
670 2002.603759765625
680 1280.991455078125
690 1128.718505859375
700 1352.616943359375
710 2459.460205078125
720 2255.32177734375
730 3568.737060546875
740 3442.711669921875
750 2081.96728515625
760 2526.593505859375
770 5664.6015625
780 2961.36962890625
790 2169.080810546875
800 779.927734375
810 1200.03857421875
820 834.2801513671875
830 1592.43701171875
840 2499.385498046875
850 2852.6787109375
860 2695.1025390625
870 2234.029296875
880 3010.72607421875
890 2677.01416015625
900 2519.66015625
910 1377.492919921875
920 2928.9912109375
930 1789.921997070312
940 1006.731994628906
950 2210.0615234375
960 1123.202758789062
970 3087.12158203125
980 2853.01904296875
990 2054.426025390625
1000 1637.054931640625
1010 2171.286865234375
1020 2477.51025390625
1030 2992.035400390625
1040 3245.78662109375
1050 1099.527465820312
1060 1128.041015625
1070 763.6597290039062
1080 1566.446044921875
1090 5191.494140625
1100 2358.689208984375
1110 3683.70361328125
1120 2817.09228515625
1130 1065.638793945312
1140 2143.6279296875
1150 2098.33056640625
1160 1426.234375
1170 1958.973510742188
1180 956.961669921875
1190 1991.558959960938
1200 2268.2646484375
1210 3468.88525390625
1220 2397.7431640625
1230 2631.33203125
1240 1733.58544921875
1250 2815.37841796875
1260 2403.4775390625
1270 1286.344970703125
1280 1925.7109375
1290 1626.922607421875
1300 1691.567016601562
1310 1736.724853515625
1320 2227.234375
1330 2805.55224609375
1340 1327.10595703125
1350 4318.228515625
1360 1717.355712890625
1370 3107.60693359375
1380 2211.08935546875
1390 1704.220825195312
1400 2824.908203125
1410 1677.783813476562
1420 2001.926025390625
1430 2659.13720703125
1440 983.607666015625
1450 2038.77783203125
1460 3464.4990234375
1470 2227.11767578125
1480 1477.235229492188
1490 2004.63818359375
1500 1797.266479492188
1510 2712.149658203125
1520 2044.528076171875
1530 1358.816528320312
1540 1199.335815429688
1550 1062.12158203125
1560 2748.788818359375
1570 3359.868896484375
1580 3115.228515625
1590 2156.917236328125
1600 2071.6962890625
1610 2193.27783203125
1620 1139.649780273438
1630 2264.02587890625
1640 2078.511962890625
1650 3247.529052734375
1660 1765.917846679688
1670 740.2901000976562
1680 750.2299194335938
1690 1735.312622070312
1700 3548.5859375
1710 2324.35986328125
1720 2676.84765625
1730 3247.79931640625
1740 2179.9697265625
1750 2210.91650390625
1760 1140.03662109375
1770 1461.64453125
1780 2304.90869140625
1790 1371.56982421875
1800 1549.73583984375
1810 2042.912841796875
1820 2527.70849609375
1830 1380.064086914062
1840 2099.6767578125
1850 1394.171142578125
1860 2504.841552734375
1870 1565.361206054688
1880 847.0977783203125
1890 1853.373046875
1900 1088.143310546875
1910 1649.805908203125
1920 1231.287109375
1930 2266.3427734375
1940 2265.305908203125
1950 4370.1982421875
1960 3020.611083984375
1970 3049.0595703125
1980 1373.910034179688
1990 4645.7373046875
2000 1920.748779296875
2010 1523.693603515625
2020 1204.373779296875
2030 2457.516357421875
2040 1765.079956054688
2050 2944.26025390625
2060 2991.41943359375
2070 3975.04345703125
2080 2394.8974609375
2090 5276.82568359375
2100 2759.875732421875
2110 2011.986083984375
2120 1383.496704101562
2130 2626.8330078125
2140 2083.844482421875
2150 3750.65380859375
2160 3617.45458984375
2170 2204.827392578125
2180 2020.137939453125
2190 2823.3466796875
2200 1760.51171875
2210 1419.41162109375
2220 785.872802734375
2230 2756.533447265625
2240 4503.7099609375
2250 2174.625244140625
2260 2612.152587890625
2270 1889.553466796875
2280 1700.474487304688
2290 4669.6708984375
2300 2286.111572265625
2310 2550.938232421875
2320 3444.335205078125
2330 3266.728271484375
2340 1331.102294921875
2350 1429.48388671875
2360 1047.747436523438
2370 755.1240844726562
2380 2041.624877929688
2390 1328.675170898438
2400 1065.859130859375
