"point-vel-b"
"Time Step" "point-vel-b"
("Time Step" "point-vel-b")
0 3.790547132492065
10 4.11857271194458
20 4.038482189178467
30 4.409861087799072
40 4.566670894622803
50 4.410024642944336
60 4.040451049804688
70 3.853899955749512
80 3.847831249237061
90 3.824403762817383
100 3.941920042037964
110 3.9201340675354
120 3.473816633224487
130 3.558706521987915
140 4.74000883102417
150 5.0969557762146
160 4.828665733337402
170 5.183049201965332
180 5.423446655273438
190 5.159209728240967
200 5.78156042098999
210 5.135550022125244
220 4.848267555236816
230 5.215190410614014
240 4.431998729705811
250 5.183243751525879
260 5.334859371185303
270 4.728195667266846
280 5.43959903717041
290 4.779128551483154
300 4.786477088928223
310 4.755072116851807
320 5.119467735290527
330 5.030211448669434
340 5.282279968261719
350 5.404735565185547
360 5.456773281097412
370 5.681597709655762
380 5.988786697387695
390 5.152722835540771
400 5.452067852020264
410 4.737985134124756
420 5.112549304962158
430 4.984109878540039
440 4.64723014831543
450 4.680812358856201
460 5.15875768661499
470 4.704453468322754
480 4.404201030731201
490 4.502591133117676
500 4.044286251068115
510 4.756780624389648
520 5.704236030578613
530 4.837620735168457
540 5.614011287689209
550 4.485520839691162
560 5.02358865737915
570 5.192914962768555
580 5.537160873413086
590 5.155637264251709
600 4.806798934936523
610 4.097442150115967
620 4.938699722290039
630 5.496219158172607
640 5.383169651031494
650 5.509159088134766
660 5.269652843475342
670 5.251598358154297
680 5.800694465637207
690 5.443455696105957
700 4.663129329681396
710 4.97767972946167
720 4.82303524017334
730 5.894386291503906
740 4.188052177429199
750 4.536864757537842
760 5.682547569274902
770 4.730281352996826
780 4.55617094039917
790 5.136177539825439
800 5.536127090454102
810 5.04324197769165
820 4.924097061157227
830 5.223841667175293
840 4.182749271392822
850 4.900995254516602
860 5.513826370239258
870 5.75654125213623
880 4.854223728179932
890 4.397303104400635
900 4.964760303497314
910 5.526451110839844
920 4.531747817993164
930 5.370674133300781
940 5.345350742340088
950 5.44282054901123
960 6.042875289916992
970 6.09368896484375
980 5.600425243377686
990 5.166628837585449
1000 4.9024338722229
1010 4.66553258895874
1020 4.171483516693115
1030 4.387914180755615
1040 4.734741687774658
1050 5.100852012634277
1060 4.869560241699219
1070 4.898681640625
1080 4.172277927398682
1090 5.084157943725586
1100 5.342445850372314
1110 4.735758781433105
1120 5.306802272796631
1130 5.441795349121094
1140 4.765869617462158
1150 5.286191940307617
1160 5.689186096191406
1170 5.812214851379395
1180 4.921966075897217
1190 5.202777862548828
1200 4.421647071838379
1210 4.665872573852539
1220 4.076625823974609
1230 4.609457969665527
1240 4.957480430603027
1250 4.376213550567627
1260 5.504946708679199
1270 5.551692485809326
1280 4.848776817321777
1290 4.699871063232422
1300 5.32465934753418
1310 5.049427509307861
1320 4.134524345397949
1330 5.32618236541748
1340 4.91301441192627
1350 4.478354930877686
1360 5.294765472412109
1370 4.515327930450439
1380 4.470486640930176
1390 5.060349464416504
1400 5.307738304138184
1410 4.384578227996826
1420 5.121365547180176
1430 4.994731426239014
1440 4.618099212646484
1450 4.217304229736328
1460 4.0177321434021
1470 4.219687461853027
1480 5.431660175323486
1490 4.039912700653076
1500 5.118205547332764
1510 5.194526672363281
1520 5.611438751220703
1530 4.429653644561768
1540 4.779413223266602
1550 5.042503833770752
1560 4.06005334854126
1570 5.133044242858887
1580 5.786664009094238
1590 4.790667533874512
1600 5.165495872497559
1610 5.172845840454102
1620 5.91277027130127
1630 5.640665054321289
1640 5.4833083152771
1650 4.633695125579834
1660 5.337008476257324
1670 4.974127292633057
1680 4.456056118011475
1690 5.989581108093262
1700 4.9139723777771
1710 5.63411283493042
1720 5.495709419250488
1730 5.285815238952637
1740 5.343485355377197
1750 5.502969741821289
1760 5.221913814544678
1770 5.307805061340332
1780 5.112000465393066
1790 5.07909107208252
1800 4.408970832824707
1810 4.238405227661133
1820 4.646660327911377
1830 4.631420612335205
1840 5.039982318878174
1850 5.563002586364746
1860 5.053309440612793
1870 4.93203067779541
1880 4.674734115600586
1890 5.296578884124756
1900 5.382058143615723
1910 5.302729606628418
1920 6.151044368743896
1930 6.035463809967041
1940 4.437750339508057
1950 4.804252624511719
1960 4.631693840026855
1970 4.016577243804932
1980 4.520142555236816
1990 5.153501987457275
2000 5.594150066375732
2010 5.091404438018799
2020 5.223194122314453
2030 4.882795810699463
2040 3.91664719581604
2050 5.039480686187744
2060 4.17505407333374
2070 5.344982147216797
2080 5.158398628234863
2090 4.568017482757568
2100 4.199038028717041
2110 4.665870189666748
2120 4.896945953369141
2130 4.853543281555176
2140 5.071122169494629
2150 5.297088146209717
2160 3.925964832305908
2170 5.693124294281006
2180 5.554416656494141
2190 4.859982013702393
2200 5.33049201965332
2210 5.301913261413574
2220 5.21732759475708
2230 5.306728839874268
2240 4.778194427490234
2250 5.059086322784424
2260 5.262659549713135
2270 5.208549976348877
2280 4.624629497528076
2290 4.211138248443604
2300 4.663985252380371
2310 4.70001745223999
2320 4.297528266906738
2330 4.256467819213867
2340 5.910017967224121
2350 5.161361217498779
2360 5.498044490814209
2370 4.79934024810791
2380 5.38637638092041
2390 5.276944160461426
2400 4.626525402069092
