"point-vel-e"
"Time_Step" "point-vel-e"
("Time_Step" "point-vel-e")
0 5.15434455871582
10 5.122753143310547
20 4.961462020874023
30 4.622326850891113
40 3.562525749206543
50 4.516469955444336
60 4.137146472930908
70 3.802947759628296
80 3.743905067443848
90 4.974287033081055
100 4.669531345367432
110 5.156089782714844
120 4.648198127746582
130 5.208213329315186
140 3.911164283752441
150 3.953600883483887
160 4.915698051452637
170 4.193700790405273
180 4.784994602203369
190 5.155464649200439
200 4.944705009460449
210 4.05781888961792
220 4.328080654144287
230 4.160053253173828
240 3.698151588439941
250 4.224939346313477
260 4.785123825073242
270 4.439696311950684
280 5.037027359008789
290 5.473990440368652
300 4.864775657653809
310 4.260993003845215
320 4.666225910186768
330 5.249545097351074
340 4.001886367797852
350 4.480868339538574
360 4.355420112609863
370 3.844728469848633
380 4.513009071350098
390 4.692221641540527
400 4.076253414154053
410 4.519996643066406
420 4.71580696105957
430 5.354753494262695
440 4.151219367980957
450 5.273241996765137
460 4.517345905303955
470 4.641048431396484
480 4.379635334014893
490 3.979697227478027
500 4.355963706970215
510 4.434769630432129
520 4.851972579956055
530 5.014616012573242
540 5.305542945861816
550 4.434920310974121
560 4.187313079833984
570 4.257286071777344
580 4.585039615631104
590 4.724425792694092
600 4.911842346191406
610 4.887779235839844
620 4.741158485412598
630 3.537420272827148
640 3.952558517456055
650 4.511249542236328
660 4.810116767883301
670 5.499884128570557
680 4.003982067108154
690 4.193341255187988
700 4.277328491210938
710 4.313325881958008
720 4.713738441467285
730 4.717549324035645
740 4.682022094726562
750 3.956843852996826
760 3.794420719146729
770 4.075869083404541
780 4.23499059677124
790 4.339545249938965
800 4.693005084991455
810 4.34002161026001
820 4.088147640228271
830 4.483081340789795
840 4.451581001281738
850 4.359416961669922
860 4.604217529296875
870 4.144209384918213
880 3.833077907562256
890 3.934466361999512
900 3.554105520248413
910 3.810155391693115
920 4.75435733795166
930 5.35074520111084
940 4.559811115264893
950 4.692540168762207
960 3.927578449249268
970 4.258303642272949
980 4.010158061981201
990 4.14188289642334
1000 4.474006652832031
1010 3.582536220550537
1020 4.263330459594727
1030 4.488846778869629
1040 4.530105590820312
1050 4.53912353515625
1060 4.600949764251709
1070 5.151985168457031
1080 4.392722129821777
1090 4.863883972167969
1100 4.487395286560059
1110 4.340738296508789
1120 5.051383018493652
1130 5.580667972564697
1140 5.328077793121338
1150 4.716680526733398
1160 4.526760101318359
1170 4.25505256652832
1180 4.142292499542236
1190 4.079062461853027
1200 4.365863800048828
1210 3.690605640411377
1220 4.116278648376465
1230 4.252344131469727
1240 4.528597831726074
1250 5.063198089599609
1260 5.454634189605713
1270 4.586959838867188
1280 5.112655639648438
1290 5.077574729919434
1300 4.152138710021973
1310 4.42126989364624
1320 4.626870155334473
1330 3.944001913070679
1340 4.13262414932251
1350 3.87276816368103
1360 4.125811576843262
1370 4.473456859588623
1380 4.38890266418457
1390 4.454419136047363
1400 4.323021411895752
1410 4.09969425201416
1420 3.87813138961792
1430 4.224271774291992
1440 4.803827285766602
1450 4.336360931396484
1460 4.489282131195068
1470 3.903598308563232
1480 3.647302627563477
1490 3.752554178237915
1500 4.87766695022583
1510 4.077017307281494
1520 3.808880567550659
1530 4.173248291015625
1540 4.208759307861328
1550 4.985942840576172
1560 4.712170600891113
1570 4.902701377868652
1580 4.364882469177246
1590 3.968563556671143
1600 3.735618829727173
1610 4.050909996032715
1620 3.947634696960449
1630 4.398318290710449
1640 4.25944995880127
1650 4.297758102416992
1660 3.804757833480835
1670 4.872763633728027
1680 4.004900455474854
1690 4.569852828979492
1700 4.352206707000732
1710 4.156689167022705
1720 4.014143943786621
1730 5.470902442932129
1740 4.517518043518066
1750 4.240618705749512
1760 4.402023792266846
1770 3.862279415130615
1780 3.973968982696533
1790 4.589938163757324
1800 4.312190055847168
1810 4.387971878051758
1820 3.841938734054565
1830 4.020637035369873
1840 5.029573440551758
1850 4.941076278686523
1860 4.467798233032227
1870 3.769678592681885
1880 4.266741752624512
1890 4.027462959289551
1900 4.018271446228027
1910 4.608115196228027
1920 4.426132202148438
1930 4.311750411987305
1940 4.570313453674316
1950 4.116914749145508
1960 4.190321922302246
1970 4.507290840148926
1980 4.146837711334229
1990 4.172959327697754
2000 4.21123218536377
2010 4.511751174926758
2020 5.184800148010254
2030 4.37771463394165
2040 4.258405685424805
2050 4.817338943481445
2060 4.528070449829102
2070 4.356512069702148
2080 4.739948272705078
2090 3.851805925369263
2100 4.010373592376709
2110 4.464225769042969
2120 4.09074592590332
2130 4.598410129547119
2140 4.45598840713501
2150 4.633265972137451
2160 4.073540687561035
2170 4.060463905334473
2180 4.126058101654053
2190 4.519944190979004
2200 4.691396236419678
2210 4.286360740661621
2220 4.927999019622803
2230 4.17491340637207
2240 4.242146492004395
2250 4.520189762115479
2260 4.424617290496826
2270 3.874269485473633
2280 4.391681671142578
2290 4.350672721862793
2300 4.268865585327148
2310 4.196436405181885
2320 4.015449523925781
2330 4.321685314178467
2340 4.952548980712891
2350 4.798940181732178
2360 4.907091617584229
2370 4.918182373046875
2380 3.888506889343262
2390 3.942225933074951
2400 4.070553302764893
