Time_Step point-gw-e point-gw-d point-pressure-a point-vel-b point-vel-c point-vel-e point-vel-d point-shear-a point-gw-b point-gw-c mass-flux eds-hemolysis point-pressure-b point-pressure-c p-in point-vel-a point-shear-d point-shear-e point-gw-a point-shear-c point-shear-b max-vel-rotor point-pressure-e point-pressure-d
130 0.0005092630162835121 0.0005092630162835121 -26349.71875 3.558706521987915 5.639932155609131 5.208213329315186 5.208213329315186 571.017822265625 0.000775106018409133 0.008837886154651642 2.638510560454277e-07 3.582017103654356e-10 -9869.2802734375 -10868.9580078125 -26241.13390867555 0.1782110333442688 2662.45556640625 2662.45556640625 1.477584703479806e-07 5225.984375 2444.412841796875 8.822889580926512 -1215.517333984375 -6771.46435546875
140 6.292690522968769e-05 6.292690522968769e-05 -24716.9765625 4.74000883102417 4.882816314697266 3.911164283752441 3.911164283752441 568.823486328125 0.005857161711901426 0.0006510965758934617 1.027084969233705e-06 3.851909739778543e-10 -7565.2978515625 -10985.4892578125 -24608.42059197218 0.1777173578739166 1607.718017578125 1607.718017578125 1.456075437999971e-07 2443.464599609375 5978.078125 8.624874675655713 -1322.635498046875 -6033.8310546875
150 2.658856465131976e-05 2.658856465131976e-05 -23958.14453125 5.0969557762146 5.041070938110352 3.953600883483887 3.953600883483887 566.595947265625 0.005561082158237696 0.0005068426253274083 1.068796218750556e-06 4.120916363903929e-10 -8317.2666015625 -8673.015625 -23848.86515292797 0.1772972941398621 705.6900634765625 705.6900634765625 1.433747343071445e-07 2342.015625 3268.655517578125 8.731587403932631 -310.3421630859375 -5540.1826171875
160 0.004692987538874149 0.004692987538874149 -22834.75390625 4.828665733337402 5.596546173095703 4.915698051452637 4.915698051452637 564.2464599609375 0.001059750560671091 0.0002231957332696766 2.928642767532907e-07 4.389036237005211e-10 -5418.8486328125 -6962.61328125 -22730.71466575021 0.177059680223465 1709.42041015625 1709.42041015625 1.410720642525121e-07 2453.135498046875 7848.84814453125 8.973634717972979 27.08123588562012 -4393.32568359375
170 0.006264797411859035 0.006264797411859035 -24021.98828125 5.183049201965332 5.677892684936523 4.193700790405273 4.193700790405273 561.20849609375 0.0003788257599808276 0.0007842003251425922 -1.906403999905881e-06 4.656266689017067e-10 -7184.15380859375 -7958.35693359375 -23909.05333816673 0.1770534217357635 3801.9189453125 3801.9189453125 1.385814272225616e-07 725.8411865234375 2719.157470703125 8.734389802169654 -1093.597290039062 -5130.14501953125
180 0.001029144041240215 0.001029144041240215 -24990.20703125 5.423446655273438 5.611240386962891 4.784994602203369 4.784994602203369 557.5399169921875 0.001014880137518048 0.0009238226339221001 -2.615046110696073e-07 4.922532055075114e-10 -7988.18115234375 -8625.04296875 -24872.23304132905 0.1772783100605011 2394.65869140625 2394.65869140625 1.359314012461255e-07 1264.163818359375 933.2285766601562 8.953263631712238 -807.8644409179688 -6810.16162109375
190 0.001084191258996725 0.001084191258996725 -24407.845703125 5.159209728240967 5.553203105926514 5.155464649200439 5.155464649200439 553.8939819335938 0.001887684222310781 0.003058926900848746 8.394396564317952e-07 5.187867737698144e-10 -7963.02294921875 -7931.70361328125 -24294.98752848482 0.1776846349239349 3371.19091796875 3371.19091796875 1.334157957444404e-07 2419.87353515625 894.2774658203125 8.77846013919603 -2579.9736328125 -6115.7841796875
200 0.0005534032243303955 0.0005534032243303955 -24669.640625 5.78156042098999 5.501813411712646 4.944705009460449 4.944705009460449 551.1920166015625 0.006545765791088343 0.003322204342111945 -1.926205725727437e-06 5.452304726341228e-10 -8009.8349609375 -8040.58984375 -24562.18638965179 0.1782656311988831 1431.445190429688 1431.445190429688 1.315069368956756e-07 2193.70947265625 2107.02490234375 8.788173664333 -1562.316650390625 -5633.845703125
210 0.001211492577567697 0.001211492577567697 -26794.828125 5.135550022125244 5.372751712799072 4.05781888961792 4.05781888961792 549.6942138671875 0.0009757427615113556 0.002429526997730136 -6.788753916311951e-07 5.715737884281875e-10 -9553.0283203125 -10165.2265625 -26685.04745518349 0.1790025234222412 3036.6796875 3036.6796875 1.305409824681192e-07 2546.7255859375 3233.89892578125 8.940633199145418 -1057.196899414062 -7328.78076171875
220 0.004289380274713039 0.004289380274713039 -25849.712890625 4.848267555236816 5.430455684661865 4.328080654144287 4.328080654144287 549.4310913085938 0.0004264372400939465 0.004294576589018106 7.815902493477078e-07 5.978240715325863e-10 -8281.111328125 -9176.80859375 -25741.03923180643 0.1798781752586365 1147.662841796875 1147.662841796875 1.304672565538567e-07 884.21142578125 1775.898803710938 8.875049588566782 -258.8709411621094 -6227.2685546875
230 0.003049863036721945 0.003049863036721945 -24357.66015625 5.215190410614014 5.400100708007812 4.160053253173828 4.160053253173828 550.0977783203125 0.00237647071480751 0.004075281787663698 4.26950299572959e-07 6.239868570886786e-10 -7040.58251953125 -8119.89990234375 -24235.20288876591 0.1808529049158096 2943.224365234375 2943.224365234375 1.309960850903735e-07 1461.9873046875 2106.990966796875 8.934904532079985 304.6597900390625 -5257.7666015625
240 0.0002783476375043392 0.0002783476375043392 -24096.15625 4.431998729705811 5.258303642272949 3.698151588439941 3.698151588439941 550.9871826171875 0.01457511726766825 0.002717674942687154 1.591974738819613e-06 6.500628294785271e-10 -9473.076171875 -10074.03515625 -23983.60304613274 0.1818769574165344 1138.050659179688 1138.050659179688 1.317378632847976e-07 3497.142578125 3928.59033203125 8.747628485262803 175.9104614257812 -4752.697265625
250 0.001431455020792782 0.001431455020792782 -23323.90234375 5.183243751525879 5.543344974517822 4.224939346313477 4.224939346313477 551.5067138671875 0.01051072776317596 0.001241296529769897 1.138943703168915e-06 6.760629382543415e-10 -7260.54248046875 -8801.56640625 -23217.15485230509 0.1828709542751312 2470.243896484375 2470.243896484375 1.323420804055786e-07 1822.7666015625 5164.25146484375 8.581744981190786 -681.6763305664062 -4159.271484375
260 0.005055618938058615 0.005055618938058615 -23703.3203125 5.334859371185303 5.303791046142578 4.785123825073242 4.785123825073242 551.4879760742188 0.006784386001527309 0.002331445692107081 -9.028073230388234e-07 7.019917453049089e-10 -7396.130859375 -9048.5107421875 -23590.97736212529 0.1837692856788635 733.2210083007812 733.2210083007812 1.326703369386451e-07 3949.007080078125 4490.662109375 8.660416271148229 -751.5673217773438 -5137.8251953125
270 0.002088791923597455 0.002088791923597455 -23409.3515625 4.728195667266846 6.139556884765625 4.439696311950684 4.439696311950684 550.9385375976562 0.003926577977836132 0.001339546055532992 8.757401850287283e-07 7.278440476666309e-10 -7426.21142578125 -8527.4189453125 -23301.0437485809 0.1845293045043945 1386.88134765625 1386.88134765625 1.326649794464174e-07 1191.43603515625 2618.211669921875 8.562302029260334 -805.743408203125 -5102.42138671875
280 0.008149562403559685 0.008149562403559685 -23801.732421875 5.43959903717041 6.135334014892578 5.037027359008789 5.037027359008789 550.01513671875 0.004400312434881926 0.0009418166009709239 -1.357458349691976e-06 7.536377882036412e-10 -7325.9091796875 -8739.833984375 -23690.04624721602 0.1851772665977478 2384.0703125 2384.0703125 1.323375755646339e-07 1280.647827148438 2729.496337890625 8.502630516622249 -1466.137451171875 -4930.662109375
290 0.002369394525885582 0.002369394525885582 -25625.1328125 4.779128551483154 5.869852542877197 5.473990440368652 5.473990440368652 548.8684692382812 0.0006640197825618088 0.003922314383089542 -1.584387375470897e-06 7.793627276356865e-10 -9114.0546875 -9947.060546875 -25509.75987090303 0.185749351978302 3041.52294921875 3041.52294921875 1.317907987186118e-07 1771.659912109375 1067.3486328125 8.595515377394896 -1271.239013671875 -7035.8125
300 0.002900791820138693 0.002900791820138693 -26326.9375 4.786477088928223 5.189811706542969 4.864775657653809 4.864775657653809 547.9595336914062 0.003692457219585776 0.0009766188450157642 1.723442465170755e-06 8.050154301836946e-10 -9701.4716796875 -9785.298828125 -26214.56128227676 0.1862403899431229 1643.1923828125 1643.1923828125 1.312496635819116e-07 835.0877075195312 2785.87939453125 8.552873100895658 -1181.762817382812 -7847.58203125
310 0.002756473608314991 0.002756473608314991 -26565.96484375 4.755072116851807 5.049938201904297 4.260993003845215 4.260993003845215 547.414794921875 0.006344169843941927 0.003830110188573599 -9.39455384874055e-07 8.306158139924072e-10 -9861.58203125 -9923.0869140625 -26451.71991468519 0.1866534352302551 1892.635986328125 1892.635986328125 1.30852157553818e-07 1109.163330078125 2750.2998046875 8.867511692382072 -1354.6748046875 -7858.2861328125
320 0.003117895452305675 0.003117895452305675 -26939.4921875 5.119467735290527 4.979326248168945 4.666225910186768 4.666225910186768 547.5775146484375 0.01911735348403454 0.001635017222724855 -1.031137354029488e-06 8.561449571489505e-10 -9835.0478515625 -10116.736328125 -26829.30339471426 0.1869954466819763 2227.92236328125 2227.92236328125 1.30658150965246e-07 1519.881591796875 1433.088745117188 8.730905618197882 -1364.59033203125 -7694.482421875
330 0.00236168154515326 0.00236168154515326 -27408.94140625 5.030211448669434 5.477344512939453 5.249545097351074 5.249545097351074 547.9661254882812 0.005040619056671858 0.005442281253635883 -2.427033061816464e-07 8.816069670892746e-10 -10138.078125 -10943.6435546875 -27295.62387088909 0.1872662752866745 1777.184448242188 1777.184448242188 1.306353283325734e-07 1586.6806640625 1290.810180664062 8.596490776271777 -1303.311279296875 -8325.171875
340 0.002858752850443125 0.002858752850443125 -26574.931640625 5.282279968261719 5.531558036804199 4.001886367797852 4.001886367797852 548.5438232421875 0.008551724255084991 0.009252406656742096 5.926005829520742e-07 9.070064915810473e-10 -9473.6806640625 -9629.677734375 -26468.76384161063 0.1874392330646515 754.353271484375 754.353271484375 1.30708201595553e-07 2116.15234375 1061.478393554688 8.725897125552427 -1346.574951171875 -7445.0390625
350 0.000749673112295568 0.000749673112295568 -25607.916015625 5.404735565185547 5.740198135375977 4.480868339538574 4.480868339538574 549.4421997070312 0.007711316458880901 0.003079543355852365 7.37793164388989e-07 9.323495839975896e-10 -8649.845703125 -8953.7666015625 -25501.04593368525 0.1874662935733795 1213.07080078125 1213.07080078125 1.309314541231288e-07 2157.168212890625 1148.79296875 8.873693788157308 -1298.3955078125 -5786.51123046875
360 0.00450854143127799 0.00450854143127799 -26083.66796875 5.456773281097412 5.072888374328613 4.355420112609863 4.355420112609863 550.4297485351562 0.01887389644980431 0.002726044738665223 -1.301109052470606e-06 9.576446621504943e-10 -11038.3544921875 -9918.87890625 -25972.37496529461 0.1873278915882111 2383.572265625 2383.572265625 1.31310670781204e-07 2134.044189453125 7075.2861328125 8.442383194351551 -1479.59619140625 -6003.27734375
370 0.001586758764460683 0.001586758764460683 -26431.5703125 5.681597709655762 5.655174732208252 3.844728469848633 3.844728469848633 551.5049438476562 0.009915140457451344 0.00429505342617631 6.72361550255185e-07 9.828809085443333e-10 -9569.5693359375 -10552.240234375 -26321.61324762662 0.1869808733463287 1749.25244140625 1749.25244140625 1.316832936026913e-07 4308.89599609375 6302.61572265625 8.437875164319829 -1875.815673828125 -6458.904296875
380 0.007840872742235661 0.007840872742235661 -26131.73828125 5.988786697387695 5.078697204589844 4.513009071350098 4.513009071350098 551.9803466796875 0.009121556766331196 0.008111009374260902 -1.739622095195403e-07 1.008081215572194e-09 -10405.9013671875 -10708.2197265625 -26022.73550799254 0.1863791346549988 2145.44140625 2145.44140625 1.318574049946619e-07 2220.86474609375 2145.7548828125 8.271432439500167 -1840.234375 -6887.2529296875
390 0.001170852454379201 0.001170852454379201 -26451.44921875 5.152722835540771 5.313850402832031 4.692221641540527 4.692221641540527 551.96826171875 0.007229134440422058 0.008689969778060913 8.158862700655134e-07 1.033238407615681e-09 -10680.19921875 -10654.2265625 -26337.85470316268 0.185561403632164 1567.849731445312 1567.849731445312 1.317279867407706e-07 2361.010498046875 3983.85498046875 8.438840752032284 -1700.12890625 -7374.458984375
400 0.008761409670114517 0.008761409670114517 -24803.919921875 5.452067852020264 6.069253921508789 4.076253414154053 4.076253414154053 551.676513671875 0.00684451637789607 0.008885733783245087 5.767504879516938e-07 1.058364324518914e-09 -9596.0771484375 -8875.080078125 -24691.86825581821 0.1846022754907608 2044.718505859375 2044.718505859375 1.313591440066375e-07 2172.510986328125 3995.594482421875 8.456723088603736 -1320.44384765625 -5978.30712890625
410 0.00802216399461031 0.00802216399461031 -24880.244140625 4.737985134124756 5.943804740905762 4.519996643066406 4.519996643066406 551.28076171875 0.007416246924549341 0.007285261526703835 7.684238791036413e-07 1.083456199822757e-09 -8330.083984375 -8262.1318359375 -24773.07384700171 0.1835867315530777 2319.7900390625 2319.7900390625 1.308940653643731e-07 1909.020874023438 1953.785034179688 8.460167116885788 -1368.5107421875 -5849.38720703125
420 0.009560374543070793 0.009560374543070793 -26386.109375 5.112549304962158 5.351664066314697 4.71580696105957 4.71580696105957 551.8125610351562 0.007726611103862524 0.009414093568921089 -5.200099104582523e-07 1.108521618984318e-09 -9164.0185546875 -9159.7724609375 -26278.55757057303 0.1826206743717194 1891.654418945312 1891.654418945312 1.306473080830983e-07 2175.88427734375 3859.180908203125 8.384346920626625 -1582.395141601562 -8141.3408203125
430 0.005960775539278984 0.005960775539278984 -26231.435546875 4.984109878540039 5.576295852661133 5.354753494262695 5.354753494262695 553.319580078125 0.01808650977909565 0.01055995002388954 -8.605535746566972e-07 1.133552857889028e-09 -9015.6328125 -9054.177734375 -26118.91565363918 0.181790292263031 3320.69873046875 3320.69873046875 1.310110491203886e-07 2608.82080078125 2049.07421875 8.330683573179305 -1970.505859375 -6364.6171875
440 0.005818248726427555 0.005818248726427555 -26176.39453125 4.64723014831543 4.942911148071289 4.151219367980957 4.151219367980957 555.607666015625 0.01800930500030518 0.006158097181469202 -1.256838700176843e-06 1.158553016927741e-09 -8838.208984375 -8866.9365234375 -26065.52249785818 0.1810890436172485 3646.675048828125 3646.675048828125 1.321265443721131e-07 2643.352294921875 1139.760498046875 8.440788222754206 -1263.45458984375 -6114.3291015625
450 0.008877027779817581 0.008877027779817581 -27297.6875 4.680812358856201 5.188735008239746 5.273241996765137 5.273241996765137 558.3404541015625 0.005394447594881058 0.007204853929579258 -3.9324770369914e-07 1.183517233844809e-09 -9984.7060546875 -9910.0302734375 -27185.09176541923 0.180505782365799 1144.702392578125 1144.702392578125 1.338690509555818e-07 1730.388061523438 1239.136108398438 8.493202115796569 -981.10888671875 -7280.208984375
460 0.01063694432377815 0.01063694432377815 -27873.693359375 5.15875768661499 5.078957557678223 4.517345905303955 4.517345905303955 561.0733032226562 0.02098722383379936 0.005425566807389259 -5.008501306053015e-07 1.208451183952705e-09 -10345.099609375 -10408.0556640625 -27762.32562292606 0.1799976527690887 1094.662841796875 1094.662841796875 1.358987873345541e-07 1378.811767578125 2713.9931640625 8.492225725456814 -805.6990356445312 -8322.3388671875
470 0.008797204121947289 0.008797204121947289 -26731.2734375 4.704453468322754 5.18485164642334 4.641048431396484 4.641048431396484 563.4907836914062 0.01049836538732052 0.005505395587533712 1.515433485525797e-06 1.233345912986566e-09 -9295.662109375 -10367.96875 -26626.23152719182 0.179496705532074 968.3915405273438 968.3915405273438 1.37891618123831e-07 1158.033935546875 1077.722290039062 8.614206436374399 -1174.745971679688 -6541.17626953125
480 0.008222810924053192 0.008222810924053192 -25862.759765625 4.404201030731201 4.982332229614258 4.379635334014893 4.379635334014893 565.4029541015625 0.009790346957743168 0.007520022802054882 1.234446681541712e-06 1.258216946391493e-09 -9160.265625 -9718.349609375 -25757.69456147297 0.1789334416389465 2196.631591796875 2196.631591796875 1.396275024490023e-07 2682.04345703125 1403.672607421875 8.500146115834825 -1200.728271484375 -6526.970703125
490 0.0105944536626339 0.0105944536626339 -23751.814453125 4.502591133117676 5.901224136352539 3.979697227478027 3.979697227478027 566.6588134765625 0.009260381571948528 0.01539721712470055 1.904659378063056e-06 1.283054812163724e-09 -7112.33984375 -6448.11328125 -23645.65091976072 0.1783406287431717 1616.592163085938 1616.592163085938 1.410053300787695e-07 3472.6064453125 1146.2861328125 8.572492396314313 -1549.925659179688 -4348.63623046875
500 0.00981227308511734 0.00981227308511734 -22643.98828125 4.044286251068115 4.857200145721436 4.355963706970215 4.355963706970215 567.0244140625 0.005241665057837963 0.01663740910589695 4.283294285437056e-07 1.307879024456582e-09 -6017.1630859375 -6327.67529296875 -22525.90021018754 0.1777624189853668 2038.752685546875 2038.752685546875 1.419154358472952e-07 5395.89892578125 1291.2685546875 8.684579740747008 -1514.106811523438 -3350.333984375
510 0.008482551202178001 0.008482551202178001 -23177.125 4.756780624389648 5.081165313720703 4.434769630432129 4.434769630432129 567.4442138671875 0.004895127844065428 0.01189635507762432 -1.323676670737794e-06 1.332685269274384e-09 -5881.5234375 -6552.73486328125 -23067.67607802546 0.1773057579994202 1207.49267578125 1207.49267578125 1.424165105845532e-07 4125.7109375 1128.687866210938 8.525979840791916 -1643.976196289062 -4586.0673828125
520 0.01269896514713764 0.01269896514713764 -23547.693359375 5.704236030578613 4.888057708740234 4.851972579956055 4.851972579956055 567.7425537109375 0.003464160021394491 0.01062845345586538 -1.590521486967422e-06 1.357475861765279e-09 -6740.2509765625 -6590.1005859375 -23435.56157049463 0.1770409047603607 3607.230224609375 3607.230224609375 1.427318210289741e-07 3564.593017578125 1143.76171875 8.170881853898923 -1407.061279296875 -4337.3173828125
530 0.01487809419631958 0.01487809419631958 -25692.08984375 4.837620735168457 4.901887893676758 5.014616012573242 5.014616012573242 567.7872924804688 0.007603691890835762 0.009295746684074402 -1.67514081220177e-06 1.382262781665385e-09 -9225.4697265625 -8574.3798828125 -25581.22319364496 0.1769944429397583 3085.337890625 3085.337890625 1.429166900379641e-07 3240.302490234375 1799.939575195312 8.264555026012975 -1718.740966796875 -5831.068359375
540 0.0129661001265049 0.0129661001265049 -27483.1484375 5.614011287689209 5.41961145401001 5.305542945861816 5.305542945861816 567.4442138671875 0.008476731367409229 0.0104758907109499 9.053319552365657e-07 1.407040631476517e-09 -11385.4521484375 -10630.896484375 -27380.10029874608 0.1771454066038132 1820.376586914062 1820.376586914062 1.429105793704366e-07 2350.704833984375 3012.912841796875 8.964133960467651 -1725.458251953125 -7622.6064453125
550 0.01105708070099354 0.01105708070099354 -26911.43359375 4.485520839691162 4.823005676269531 4.434920310974121 4.434920310974121 566.9140014648438 0.008539285510778427 0.01050878968089819 1.249642875011947e-06 1.43183329449941e-09 -10036.8896484375 -9727.7978515625 -26798.39400072425 0.1774190068244934 1517.901123046875 1517.901123046875 1.425942599553309e-07 1702.721313476562 1295.035522460938 9.062877670094029 -1338.308715820312 -7264.37548828125
560 0.01007847208529711 0.01007847208529711 -25129.44140625 5.02358865737915 4.701320171356201 4.187313079833984 4.187313079833984 566.3121337890625 0.01489650271832943 0.01115286163985729 2.246758027846241e-06 1.456637367961955e-09 -7560.24853515625 -7956.1025390625 -25020.12156006398 0.1778101176023483 2829.57177734375 2829.57177734375 1.41954814125711e-07 2039.137573242188 608.1203002929688 8.767010164488704 -1248.129150390625 -5802.787109375
570 0.01050552539527416 0.01050552539527416 -26014.341796875 5.192914962768555 5.022721290588379 4.257286071777344 4.257286071777344 565.446044921875 0.01609216816723347 0.006059235893189907 -1.66074895063123e-06 1.481477028393119e-09 -8577.0498046875 -9229.8818359375 -25905.56081957073 0.1782761812210083 1967.493896484375 1967.493896484375 1.410367076459806e-07 2478.677490234375 2464.809814453125 9.102055491583938 -514.2888793945312 -6182.5078125
580 0.01291249692440033 0.01291249692440033 -27147.693359375 5.537160873413086 4.982234477996826 4.585039615631104 4.585039615631104 564.2056884765625 0.02921922691166401 0.0059406952932477 -5.085507708765813e-07 1.506315028314218e-09 -9915.546875 -9767.8447265625 -27038.14983043669 0.1788001209497452 1607.025634765625 1607.025634765625 1.399122311340761e-07 2275.024169921875 4307.51025390625 8.621867554886707 -1448.492919921875 -7631.3056640625
590 0.008513921871781349 0.008513921871781349 -25723.66015625 5.155637264251709 5.053999423980713 4.724425792694092 4.724425792694092 562.9755859375 0.02069581858813763 0.007555628195405006 7.403597318267341e-07 1.531176901465054e-09 -8133.99560546875 -9597.9501953125 -25611.33208250113 0.1793183237314224 1382.945556640625 1382.945556640625 1.387928563190144e-07 1339.262451171875 3885.7451171875 8.611629752717976 -1701.677124023438 -6196.19677734375
600 0.01592047698795795 0.01592047698795795 -24633.76171875 4.806798934936523 4.918351173400879 4.911842346191406 4.911842346191406 562.1881713867188 0.01638540998101234 0.006786666344851255 5.623069053786733e-07 1.556068330328032e-09 -8819.9560546875 -8508.5615234375 -24516.49449387834 0.179836168885231 2328.4091796875 2328.4091796875 1.379624450237316e-07 3088.62255859375 6510.39501953125 8.468080509101792 -1227.128051757812 -5599.93310546875
610 0.005465688649564981 0.005465688649564981 -24681.4453125 4.097442150115967 5.097061157226562 4.887779235839844 4.887779235839844 561.9595336914062 0.01488821115344763 0.01635059155523777 4.400776545954166e-07 1.580983988397527e-09 -8577.48046875 -7329.08740234375 -24567.48980684752 0.1803527474403381 1342.21484375 1342.21484375 1.375549487647731e-07 3910.103515625 1325.354248046875 8.415072295084286 -973.134521484375 -5300.04150390625
620 0.00764528987929225 0.00764528987929225 -23544.28125 4.938699722290039 6.114431858062744 4.741158485412598 4.741158485412598 561.8243408203125 0.01175723504275084 0.02128952369093895 1.481350132288839e-06 1.605923596456691e-09 -6856.58740234375 -6526.0400390625 -23432.53630950069 0.1808411031961441 2311.09423828125 2311.09423828125 1.374097280404385e-07 4723.15625 2274.505126953125 8.343422792945482 -1174.796752929688 -4569.125
630 0.01010786090046167 0.01010786090046167 -22964.501953125 5.496219158172607 6.554309368133545 3.537420272827148 3.537420272827148 561.41357421875 0.01211348734796047 0.01651772297918797 1.41999797827197e-06 1.630900212535641e-09 -6343.3720703125 -6736.2333984375 -22853.92409982981 0.1812916696071625 976.0344848632812 976.0344848632812 1.372230542528996e-07 3306.6396484375 970.3351440429688 8.194446906280078 -1420.320068359375 -4617.16845703125
